Data recorded on Mon Jul 24 08-38-21 CAT 2017
Time: 8:38:30
Time		Millis		bpm		Period		SpO2
38,39	,	32946	,	80	,	880	,	100.011345
38,39	,	33842	,	79	,	896	,	100.03125
38,40	,	34738	,	77	,	896	,	100.160324
38,40	,	35601	,	76	,	863	,	100.201065
38,41	,	36401	,	75	,	800	,	100.35582
38,42	,	37153	,	75	,	752	,	100.5584
38,43	,	37888	,	75	,	735	,	100.4273
38,43	,	38624	,	74	,	736	,	100.402885
38,44	,	39344	,	74	,	720	,	100.50945
38,45	,	40144	,	74	,	800	,	100.61862
38,46	,	41007	,	74	,	863	,	100.61841
38,47	,	41887	,	74	,	880	,	100.50953
38,48	,	42751	,	74	,	864	,	100.44877
38,48	,	43582	,	75	,	831	,	100.58366
38,49	,	44382	,	75	,	800	,	100.6054
38,50	,	45118	,	75	,	736	,	100.376015
38,51	,	45869	,	75	,	751	,	100.364426
38,51	,	46589	,	75	,	720	,	100.38631
38,52	,	47341	,	75	,	752	,	100.303215
38,53	,	48124	,	75	,	783	,	100.13796
38,54	,	48972	,	75	,	848	,	100.14085
38,55	,	49868	,	75	,	896	,	100.24379
38,56	,	50779	,	74	,	911	,	100.314926
38,56	,	51643	,	74	,	864	,	100.21034
38,57	,	52475	,	74	,	832	,	100.2279
38,58	,	53242	,	73	,	767	,	100.409615
38,59	,	53994	,	73	,	752	,	100.551956
39,0	,	54714	,	73	,	720	,	100.477356
39,0	,	55433	,	74	,	719	,	100.52656
39,1	,	56201	,	74	,	768	,	100.62788
39,2	,	57017	,	74	,	816	,	100.69591
39,3	,	57912	,	74	,	895	,	100.622696
39,4	,	58808	,	74	,	896	,	100.52435
39,5	,	59688	,	74	,	880	,	100.51637
39,5	,	60583	,	74	,	895	,	100.47993
39,6	,	61431	,	73	,	848	,	100.45979
39,7	,	62231	,	72	,	800	,	100.44336
39,8	,	62966	,	72	,	735	,	100.449165
39,9	,	63686	,	72	,	720	,	100.25261
39,9	,	64422	,	72	,	736	,	100.16507
39,10	,	65157	,	73	,	735	,	100.210304
39,11	,	65989	,	74	,	832	,	100.21002
39,12	,	66885	,	74	,	896	,	100.1736
39,13	,	67765	,	74	,	880	,	99.98754
39,14	,	68660	,	74	,	895	,	99.74188
39,14	,	69587	,	73	,	927	,	99.59013
39,15	,	70483	,	72	,	896	,	99.55618
39,16	,	71379	,	71	,	896	,	99.55557
39,17	,	72258	,	70	,	879	,	99.64644
39,18	,	73042	,	69	,	784	,	99.90095
39,19	,	73810	,	69	,	768	,	99.77973
39,19	,	74530	,	70	,	720	,	99.5994
39,20	,	75249	,	71	,	719	,	99.55188
39,21	,	76017	,	72	,	768	,	99.53745
39,22	,	76817	,	73	,	800	,	99.70296
39,23	,	77664	,	74	,	847	,	99.73906
39,23	,	78544	,	74	,	880	,	99.65501
39,24	,	79456	,	74	,	912	,	99.82514
39,25	,	80383	,	73	,	927	,	99.95042
39,26	,	81295	,	72	,	912	,	99.75992
39,27	,	82175	,	71	,	880	,	99.81136
39,28	,	83038	,	70	,	863	,	100.22954
39,29	,	83822	,	70	,	784	,	100.36055
39,29	,	84606	,	69	,	784	,	100.315475
39,30	,	85373	,	70	,	767	,	100.14702
39,31	,	86141	,	70	,	768	,	99.9504
39,32	,	86877	,	72	,	736	,	99.982925
39,32	,	87613	,	73	,	736	,	99.8941
39,33	,	88348	,	75	,	735	,	100.05394
39,34	,	89116	,	76	,	768	,	100.12082
39,35	,	89948	,	77	,	832	,	100.13223
39,36	,	90811	,	77	,	863	,	99.956474
39,37	,	91723	,	75	,	912	,	99.92075
39,38	,	92666	,	74	,	943	,	100.114586
39,38	,	93610	,	72	,	944	,	100.247314
