Data recorded on Tue Jul 25 09-58-29 CAT 2017
Time: 9:59:7
Time		Millis		bpm		Period		SpO2
59,16	,	116569	,	74	,	831	,	100.75518
59,16	,	117369	,	74	,	800	,	100.921936
59,17	,	118217	,	73	,	848	,	100.48714
59,18	,	119048	,	72	,	831	,	100.15846
59,18	,	119880	,	72	,	832	,	100.186356
59,19	,	120664	,	73	,	784	,	100.31552
59,20	,	121479	,	73	,	815	,	100.26188
59,21	,	122327	,	72	,	848	,	99.70322
59,22	,	123031	,	73	,	704	,	99.78699
59,22	,	123734	,	75	,	703	,	99.40912
59,23	,	124438	,	76	,	704	,	99.34161
59,24	,	125142	,	77	,	704	,	99.295616
59,24	,	125814	,	79	,	672	,	99.67035
59,25	,	126469	,	80	,	655	,	100.00694
59,26	,	127173	,	82	,	704	,	99.86888
59,26	,	127941	,	82	,	768	,	99.6548
59,27	,	128724	,	82	,	783	,	99.54802
59,28	,	129444	,	84	,	720	,	99.91488
59,29	,	130180	,	84	,	736	,	99.54651
59,29	,	130915	,	83	,	735	,	99.765755
59,30	,	131683	,	82	,	768	,	99.6563
59,31	,	132451	,	82	,	768	,	99.51355
59,32	,	133170	,	81	,	719	,	99.52165
59,32	,	133922	,	80	,	752	,	99.49312
59,33	,	134706	,	79	,	784	,	99.57116
59,34	,	135537	,	79	,	831	,	99.66498
59,35	,	136369	,	78	,	832	,	99.81627
59,36	,	137121	,	78	,	752	,	99.75447
59,36	,	137856	,	78	,	735	,	100.05817
59,37	,	138672	,	77	,	816	,	100.21382
59,38	,	139519	,	76	,	847	,	100.29775
59,39	,	140335	,	76	,	816	,	100.33356
59,40	,	141103	,	75	,	768	,	100.36583
59,40	,	141887	,	75	,	784	,	100.311745
59,41	,	142718	,	74	,	831	,	100.25866
59,42	,	143598	,	74	,	880	,	100.26709
59,43	,	144414	,	74	,	816	,	100.1973
59,44	,	145181	,	74	,	767	,	100.28961
59,44	,	145948	,	74	,	767	,	100.17159
59,45	,	146748	,	74	,	800	,	100.13668
59,46	,	147644	,	73	,	896	,	100.13681
59,47	,	148444	,	74	,	800	,	100.2165
59,48	,	149243	,	73	,	799	,	100.2143
59,49	,	150075	,	73	,	832	,	100.24438
59,49	,	150955	,	72	,	880	,	100.35308
59,50	,	151770	,	73	,	815	,	100.37518
59,51	,	152538	,	73	,	768	,	100.47564
59,52	,	153321	,	73	,	783	,	100.58742
59,53	,	154137	,	73	,	816	,	100.67517
59,53	,	154921	,	73	,	784	,	100.69443
59,54	,	155720	,	74	,	799	,	100.83208
59,55	,	156456	,	74	,	736	,	100.73849
59,56	,	157272	,	74	,	816	,	100.82973
59,57	,	158151	,	74	,	879	,	100.9142
59,57	,	158983	,	74	,	832	,	101.03779
59,58	,	159767	,	75	,	784	,	101.32233
59,59	,	160471	,	75	,	704	,	101.40774
0,0	,	161206	,	76	,	735	,	101.49072
0,0	,	161958	,	76	,	752	,	101.08454
0,1	,	162806	,	76	,	848	,	101.00622
0,2	,	163637	,	75	,	831	,	101.20165
0,3	,	164389	,	75	,	752	,	101.321045
0,4	,	165125	,	76	,	736	,	101.35873
0,4	,	165892	,	77	,	767	,	101.39782
0,5	,	166724	,	77	,	832	,	101.34505
0,6	,	167539	,	77	,	815	,	101.19697
0,7	,	168419	,	75	,	880	,	101.16533
0,8	,	169363	,	73	,	944	,	101.17847
0,9	,	170306	,	71	,	943	,	101.603874
0,10	,	171202	,	71	,	896	,	101.75024
0,10	,	171986	,	71	,	784	,	101.631775
0,11	,	172737	,	71	,	751	,	101.65572
0,12	,	173505	,	71	,	768	,	101.7308
0,13	,	174337	,	71	,	832	,	101.770676
0,14	,	175232	,	70	,	895	,	101.78474
0,15	,	176080	,	70	,	848	,	101.736374
0,15	,	176896	,	70	,	816	,	101.775505
