Data recorded on Tue Jul 25 09-58-29 CAT 2017
Time: 9:59:7
Time		Millis		IR PPG		Red PPG		Filtered		SSF
59,16	,	117017	,	-26705	,	-24944	,	-43.07514	,	0
59,16	,	117033	,	-26732	,	-24961	,	-41.948387	,	0
59,16	,	117049	,	-26737	,	-24975	,	-40.308388	,	1
59,16	,	117081	,	-26742	,	-24971	,	-38.690544	,	2
59,16	,	117097	,	-26762	,	-24964	,	-37.318268	,	3
59,16	,	117129	,	-26728	,	-24955	,	-36.097282	,	4
59,16	,	117145	,	-26665	,	-24919	,	-34.17086	,	5
59,16	,	117161	,	-26607	,	-24902	,	-29.664125	,	6
59,16	,	117193	,	-26570	,	-24891	,	-20.655704	,	10
59,16	,	117209	,	-26542	,	-24877	,	-6.496542	,	19
59,16	,	117225	,	-26526	,	-24885	,	11.771	,	33
59,16	,	117257	,	-26517	,	-24850	,	31.866385	,	50
59,16	,	117273	,	-26511	,	-24849	,	51.04643	,	69
59,16	,	117305	,	-26496	,	-24856	,	66.90431	,	87
59,16	,	117321	,	-26513	,	-24869	,	77.82107	,	101
59,16	,	117337	,	-26536	,	-24878	,	82.80239	,	110
59,16	,	117369	,	-26528	,	-24871	,	81.41471	,	113
59,16	,	117385	,	-26524	,	-24865	,	74.23973	,	109
59,16	,	117401	,	-26525	,	-24861	,	62.897682	,	100
59,16	,	117433	,	-26515	,	-24863	,	49.4252	,	86
59,16	,	117449	,	-26511	,	-24852	,	35.78642	,	68
59,16	,	117465	,	-26509	,	-24873	,	23.56838	,	48
59,16	,	117497	,	-26524	,	-24865	,	13.660368	,	29
59,16	,	117513	,	-26538	,	-24877	,	6.10977	,	14
59,16	,	117545	,	-26559	,	-24895	,	0.304595	,	4
59,16	,	117561	,	-26570	,	-24889	,	-4.6081796	,	0
59,16	,	117577	,	-26589	,	-24898	,	-9.326949	,	0
59,16	,	117609	,	-26604	,	-24906	,	-14.244719	,	0
59,16	,	117625	,	-26608	,	-24902	,	-19.422596	,	0
59,16	,	117641	,	-26626	,	-24910	,	-24.607967	,	0
59,16	,	117673	,	-26639	,	-24924	,	-29.465141	,	0
59,16	,	117689	,	-26654	,	-24930	,	-33.787483	,	0
59,16	,	117721	,	-26676	,	-24939	,	-37.51575	,	0
59,16	,	117737	,	-26681	,	-24950	,	-40.67778	,	0
59,16	,	117753	,	-26702	,	-24965	,	-43.273582	,	0
59,16	,	117785	,	-26738	,	-24971	,	-45.402855	,	0
59,16	,	117801	,	-26764	,	-25005	,	-47.50134	,	0
59,16	,	117817	,	-26801	,	-25028	,	-50.176304	,	0
59,16	,	117849	,	-26817	,	-25053	,	-53.826305	,	0
59,16	,	117865	,	-26846	,	-25092	,	-58.41448	,	0
59,16	,	117897	,	-26889	,	-25137	,	-63.647964	,	0
59,16	,	117913	,	-26918	,	-25158	,	-69.34094	,	0
59,16	,	117929	,	-26928	,	-25189	,	-75.26406	,	0
59,16	,	117960	,	-26929	,	-25177	,	-80.70477	,	0
59,16	,	117977	,	-26883	,	-25177	,	-84.28746	,	0
59,16	,	117993	,	-26750	,	-25131	,	-83.62151	,	0
59,17	,	118025	,	-26713	,	-25073	,	-75.5129	,	0
59,17	,	118041	,	-26678	,	-25082	,	-58.01117	,	8
59,17	,	118057	,	-26655	,	-25049	,	-32.132526	,	25
59,17	,	118089	,	-26631	,	-25010	,	-1.2132721	,	50
59,17	,	118105	,	-26599	,	-24990	,	30.714754	,	80
59,17	,	118137	,	-26579	,	-24976	,	60.1196	,	111
59,17	,	118155	,	-26558	,	-24967	,	84.45992	,	140
59,17	,	118169	,	-26571	,	-24965	,	102.08882	,	164
59,17	,	118200	,	-26582	,	-24953	,	111.953445	,	181
59,17	,	118217	,	-26564	,	-24938	,	113.70331	,	190
59,17	,	118233	,	-26545	,	-24922	,	108.23067	,	183
59,17	,	118265	,	-26546	,	-24912	,	97.561615	,	166
59,17	,	118281	,	-26531	,	-24918	,	84.001686	,	141
59,17	,	118312	,	-26536	,	-24925	,	69.53308	,	111
59,17	,	118328	,	-26545	,	-24919	,	55.52972	,	80
59,17	,	118345	,	-26562	,	-24919	,	42.59201	,	51
59,17	,	118376	,	-26560	,	-24927	,	30.795124	,	27
59,17	,	118393	,	-26584	,	-24933	,	20.082067	,	10
59,17	,	118408	,	-26598	,	-24947	,	10.303543	,	1
59,17	,	118441	,	-26616	,	-24941	,	1.197114	,	0
59,17	,	118456	,	-26624	,	-24968	,	-7.402685	,	0
59,17	,	118472	,	-26663	,	-24972	,	-15.539143	,	0
59,17	,	118505	,	-26677	,	-24967	,	-23.34534	,	0
59,17	,	118521	,	-26698	,	-24988	,	-30.951477	,	0
59,17	,	118552	,	-26701	,	-24982	,	-38.180237	,	0
59,17	,	118568	,	-26715	,	-24986	,	-44.5272	,	0
59,17	,	118584	,	-26736	,	-24993	,	-49.49305	,	0
59,17	,	118616	,	-26732	,	-24999	,	-52.831436	,	0
59,17	,	118632	,	-26740	,	-24999	,	-54.39791	,	0
59,17	,	118648	,	-26761	,	-25019	,	-54.161194	,	0
59,17	,	118681	,	-26764	,	-24999	,	-52.43957	,	0
59,17	,	118697	,	-26775	,	-25022	,	-49.7389	,	1
59,17	,	118729	,	-26811	,	-25034	,	-46.624016	,	3
59,17	,	118744	,	-26829	,	-25034	,	-43.876236	,	6
59,17	,	118761	,	-26836	,	-25041	,	-42.20922	,	8
59,17	,	118792	,	-26849	,	-25054	,	-41.783672	,	9
59,17	,	118808	,	-26829	,	-25029	,	-42.1325	,	9
59,17	,	118824	,	-26777	,	-25002	,	-42.06687	,	9
59,17	,	118857	,	-26698	,	-24969	,	-39.512943	,	9
59,17	,	118872	,	-26646	,	-24942	,	-32.055466	,	11
59,17	,	118904	,	-26607	,	-24943	,	-18.236576	,	17
59,17	,	118920	,	-26587	,	-24907	,	1.4713879	,	28
59,17	,	118936	,	-26579	,	-24909	,	24.755718	,	44
59,17	,	118968	,	-26559	,	-24912	,	48.360405	,	65
59,17	,	118984	,	-26551	,	-24904	,	69.19945	,	87
59,17	,	119000	,	-26557	,	-24908	,	84.97956	,	107
59,18	,	119032	,	-26574	,	-24911	,	94.18927	,	122
59,18	,	119048	,	-26600	,	-24918	,	95.98567	,	131
59,18	,	119064	,	-26590	,	-24918	,	90.39285	,	130
59,18	,	119097	,	-26565	,	-24909	,	78.765854	,	123
59,18	,	119113	,	-26567	,	-24905	,	63.662815	,	110
59,18	,	119144	,	-26558	,	-24927	,	47.80682	,	91
59,18	,	119160	,	-26565	,	-24903	,	33.216503	,	68
59,18	,	119176	,	-26584	,	-24917	,	20.924252	,	45
59,18	,	119208	,	-26596	,	-24918	,	10.994528	,	25
59,18	,	119224	,	-26610	,	-24924	,	2.9175215	,	10
59,18	,	119240	,	-26617	,	-24938	,	-3.8733473	,	1
59,18	,	119272	,	-26641	,	-24952	,	-9.803816	,	0
59,18	,	119288	,	-26647	,	-24936	,	-15.20314	,	0
59,18	,	119320	,	-26666	,	-24956	,	-20.273552	,	0
59,18	,	119336	,	-26678	,	-24977	,	-25.062649	,	0
59,18	,	119352	,	-26689	,	-24971	,	-29.518328	,	0
59,18	,	119384	,	-26711	,	-24996	,	-33.545654	,	0
59,18	,	119400	,	-26720	,	-24968	,	-37.090824	,	0
59,18	,	119416	,	-26749	,	-25004	,	-40.19091	,	0
59,18	,	119448	,	-26761	,	-25002	,	-42.983067	,	0
59,18	,	119464	,	-26773	,	-25010	,	-45.57111	,	0
59,18	,	119480	,	-26775	,	-25010	,	-47.799194	,	0
59,18	,	119512	,	-26781	,	-25006	,	-49.26433	,	0
59,18	,	119528	,	-26805	,	-25022	,	-49.650215	,	0
59,18	,	119560	,	-26816	,	-25029	,	-49.054733	,	0
59,18	,	119576	,	-26828	,	-25027	,	-47.866005	,	0
59,18	,	119592	,	-26844	,	-25032	,	-46.447052	,	1
59,18	,	119624	,	-26855	,	-25073	,	-45.063084	,	2
59,18	,	119640	,	-26847	,	-25037	,	-43.783783	,	3
59,18	,	119656	,	-26756	,	-25000	,	-41.891445	,	4
59,18	,	119688	,	-26688	,	-24965	,	-37.328842	,	5
59,18	,	119704	,	-26657	,	-24955	,	-27.684534	,	9
59,18	,	119736	,	-26635	,	-24955	,	-12.136257	,	18
59,18	,	119752	,	-26631	,	-24942	,	7.880125	,	33
59,18	,	119768	,	-26628	,	-24938	,	29.448723	,	53
59,18	,	119800	,	-26616	,	-24947	,	49.360504	,	73
59,18	,	119816	,	-26620	,	-24945	,	65.076294	,	91
59,18	,	119832	,	-26622	,	-24956	,	75.05961	,	105
59,18	,	119864	,	-26644	,	-24974	,	78.647644	,	113
59,18	,	119880	,	-26657	,	-24947	,	75.85389	,	115
59,18	,	119896	,	-26651	,	-24962	,	67.40224	,	111
59,18	,	119928	,	-26642	,	-24949	,	54.905094	,	102
59,18	,	119944	,	-26650	,	-24958	,	40.54004	,	87
59,18	,	119976	,	-26656	,	-24950	,	26.261993	,	67
59,18	,	119992	,	-26643	,	-24951	,	13.447447	,	46
59,18	,	120008	,	-26658	,	-24962	,	3.0015354	,	27
59,19	,	120040	,	-26674	,	-24961	,	-4.77765	,	12
59,19	,	120056	,	-26678	,	-24979	,	-10.263746	,	3
59,19	,	120072	,	-26685	,	-24973	,	-14.061071	,	0
59,19	,	120104	,	-26700	,	-25011	,	-16.684845	,	0
59,19	,	120120	,	-26704	,	-24965	,	-18.578417	,	0
59,19	,	120152	,	-26740	,	-24987	,	-20.195934	,	0
59,19	,	120168	,	-26742	,	-25001	,	-22.052755	,	0
59,19	,	120184	,	-26760	,	-24998	,	-24.495838	,	0
59,19	,	120216	,	-26768	,	-25013	,	-27.48518	,	0
59,19	,	120232	,	-26776	,	-25017	,	-30.703617	,	0
59,19	,	120248	,	-26794	,	-25017	,	-33.763233	,	0
59,19	,	120280	,	-26817	,	-25030	,	-36.471127	,	0
59,19	,	120296	,	-26823	,	-25017	,	-38.887638	,	0
59,19	,	120328	,	-26832	,	-25028	,	-41.02091	,	0
59,19	,	120344	,	-26848	,	-25062	,	-42.711723	,	0
59,19	,	120360	,	-26858	,	-25039	,	-43.8386	,	0
59,19	,	120392	,	-26871	,	-25062	,	-44.40335	,	0
59,19	,	120408	,	-26866	,	-25060	,	-44.390854	,	0
59,19	,	120424	,	-26827	,	-25033	,	-43.425034	,	0
59,19	,	120456	,	-26770	,	-25004	,	-40.40216	,	0
59,19	,	120472	,	-26698	,	-24974	,	-33.60601	,	3
59,19	,	120488	,	-26640	,	-24945	,	-21.424269	,	9
59,19	,	120520	,	-26626	,	-24937	,	-3.41918	,	21
59,19	,	120536	,	-26621	,	-24945	,	18.867096	,	39
59,19	,	120568	,	-26597	,	-24928	,	42.355812	,	61
59,19	,	120584	,	-26590	,	-24938	,	63.827034	,	84
59,19	,	120600	,	-26590	,	-24910	,	80.799324	,	105
59,19	,	120631	,	-26585	,	-24931	,	91.684975	,	121
59,19	,	120647	,	-26609	,	-24926	,	95.768814	,	131
59,19	,	120664	,	-26607	,	-24930	,	93.08033	,	132
59,19	,	120696	,	-26596	,	-24929	,	84.47927	,	126
59,19	,	120712	,	-26592	,	-24924	,	71.74983	,	114
59,19	,	120744	,	-26582	,	-24913	,	57.131817	,	96
59,19	,	120760	,	-26586	,	-24917	,	42.65573	,	74
59,19	,	120776	,	-26589	,	-24926	,	29.71099	,	51
59,19	,	120807	,	-26589	,	-24923	,	18.959406	,	30
59,19	,	120823	,	-26618	,	-24939	,	10.436953	,	14
59,19	,	120839	,	-26623	,	-24916	,	3.6392431	,	4
59,19	,	120872	,	-26644	,	-24947	,	-2.1614122	,	0
59,19	,	120888	,	-26670	,	-24949	,	-7.6192355	,	0
59,19	,	120904	,	-26680	,	-24954	,	-13.252178	,	0
59,19	,	120936	,	-26692	,	-24967	,	-19.23869	,	0
59,19	,	120952	,	-26698	,	-24985	,	-25.295137	,	0
59,19	,	120983	,	-26721	,	-24980	,	-30.94605	,	0
59,19	,	120999	,	-26728	,	-24994	,	-35.85061	,	0
59,19	,	121015	,	-26752	,	-24987	,	-39.873726	,	0
59,20	,	121047	,	-26752	,	-24994	,	-42.986588	,	0
59,20	,	121063	,	-26762	,	-25012	,	-45.11624	,	0
59,20	,	121080	,	-26783	,	-24992	,	-46.18728	,	0
59,20	,	121112	,	-26799	,	-25021	,	-46.38075	,	0
59,20	,	121128	,	-26804	,	-25045	,	-46.060524	,	0
59,20	,	121159	,	-26810	,	-25037	,	-45.41613	,	0
59,20	,	121175	,	-26831	,	-25040	,	-44.467133	,	0
59,20	,	121191	,	-26841	,	-25057	,	-43.332245	,	0
59,20	,	121224	,	-26850	,	-25034	,	-42.205376	,	1
59,20	,	121240	,	-26835	,	-25030	,	-41.046608	,	2
59,20	,	121255	,	-26781	,	-25001	,	-39.179535	,	3
59,20	,	121287	,	-26708	,	-24980	,	-35.001488	,	4
59,20	,	121303	,	-26648	,	-24960	,	-26.419134	,	8
59,20	,	121319	,	-26608	,	-24929	,	-12.054255	,	16
59,20	,	121351	,	-26569	,	-24915	,	7.8294945	,	30
59,20	,	121367	,	-26553	,	-24905	,	31.363457	,	49
59,20	,	121400	,	-26531	,	-24902	,	55.714977	,	72
59,20	,	121416	,	-26536	,	-24899	,	77.825836	,	95
59,20	,	121432	,	-26519	,	-24891	,	95.05912	,	116
59,20	,	121463	,	-26535	,	-24907	,	105.66374	,	132
59,20	,	121479	,	-26556	,	-24911	,	108.78918	,	141
59,20	,	121495	,	-26562	,	-24911	,	104.331604	,	140
59,20	,	121527	,	-26557	,	-24905	,	93.162445	,	132
59,20	,	121543	,	-26555	,	-24919	,	77.217834	,	118
59,20	,	121575	,	-26543	,	-24900	,	59.01892	,	99
59,20	,	121591	,	-26554	,	-24906	,	40.996445	,	76
59,20	,	121608	,	-26563	,	-24909	,	24.874775	,	52
59,20	,	121639	,	-26561	,	-24911	,	11.484234	,	30
59,20	,	121655	,	-26581	,	-24914	,	1.0195522	,	13
59,20	,	121671	,	-26595	,	-24923	,	-6.8203564	,	3
59,20	,	121703	,	-26605	,	-24943	,	-12.6898575	,	0
59,20	,	121719	,	-26637	,	-24931	,	-17.333818	,	0
59,20	,	121735	,	-26650	,	-24945	,	-21.493532	,	0
59,20	,	121767	,	-26659	,	-24952	,	-25.693039	,	0
59,20	,	121783	,	-26671	,	-24976	,	-29.983093	,	0
59,20	,	121815	,	-26698	,	-24962	,	-34.160824	,	0
59,20	,	121831	,	-26720	,	-24984	,	-38.17381	,	0
59,20	,	121847	,	-26726	,	-24988	,	-42.079197	,	0
59,20	,	121879	,	-26753	,	-24999	,	-45.785133	,	0
59,20	,	121895	,	-26760	,	-25027	,	-49.100624	,	0
59,20	,	121911	,	-26782	,	-25016	,	-51.86609	,	0
59,20	,	121943	,	-26790	,	-25036	,	-53.953224	,	0
59,20	,	121959	,	-26824	,	-25077	,	-55.34517	,	0
59,20	,	121991	,	-26851	,	-25082	,	-56.31661	,	0
59,20	,	122007	,	-26889	,	-25151	,	-57.449936	,	0
59,21	,	122023	,	-26921	,	-25169	,	-59.394554	,	0
59,21	,	122055	,	-26970	,	-25187	,	-62.664383	,	0
59,21	,	122071	,	-26932	,	-25231	,	-67.22094	,	0
59,21	,	122087	,	-26872	,	-25205	,	-71.561676	,	0
59,21	,	122119	,	-26819	,	-25197	,	-72.66819	,	0
59,21	,	122135	,	-26803	,	-25185	,	-67.69213	,	0
59,21	,	122167	,	-26773	,	-25190	,	-55.662075	,	4
59,21	,	122183	,	-26771	,	-25179	,	-37.698093	,	16
59,21	,	122199	,	-26753	,	-25161	,	-16.262733	,	33
59,21	,	122231	,	-26747	,	-25162	,	5.759903	,	54
59,21	,	122247	,	-26745	,	-25175	,	25.775105	,	76
59,21	,	122263	,	-26745	,	-25154	,	41.79683	,	96
59,21	,	122295	,	-26771	,	-25199	,	52.480015	,	112
59,21	,	122311	,	-26785	,	-25169	,	57.025505	,	122
59,21	,	122327	,	-26785	,	-25162	,	55.34394	,	126
59,21	,	122359	,	-26776	,	-25159	,	48.411987	,	122
59,21	,	122375	,	-26765	,	-25155	,	38.16826	,	110
59,21	,	122407	,	-26761	,	-25175	,	26.88345	,	93
59,21	,	122423	,	-26765	,	-25174	,	16.432955	,	72
59,21	,	122439	,	-26776	,	-25167	,	7.841696	,	50
59,21	,	122471	,	-26786	,	-25182	,	1.2805748	,	30
59,21	,	122487	,	-26797	,	-25192	,	-3.6162796	,	14
59,21	,	122503	,	-26813	,	-25179	,	-7.4302263	,	4
59,21	,	122535	,	-26826	,	-25199	,	-10.765326	,	0
59,21	,	122551	,	-26850	,	-25215	,	-14.145913	,	0
59,21	,	122583	,	-26867	,	-25211	,	-17.976776	,	0
59,21	,	122599	,	-26882	,	-25214	,	-22.454462	,	0
59,21	,	122615	,	-26891	,	-25218	,	-27.446507	,	0
59,21	,	122647	,	-26904	,	-25229	,	-32.532288	,	0
59,21	,	122663	,	-26923	,	-25218	,	-37.242874	,	0
59,21	,	122679	,	-26929	,	-25232	,	-41.246777	,	0
59,21	,	122711	,	-26938	,	-25223	,	-44.29235	,	0
59,21	,	122727	,	-26944	,	-25242	,	-46.147114	,	0
59,21	,	122743	,	-26946	,	-25246	,	-46.6503	,	0
59,21	,	122775	,	-26958	,	-25250	,	-45.774757	,	0
59,21	,	122791	,	-26983	,	-25251	,	-43.799393	,	0
59,21	,	122822	,	-26948	,	-25220	,	-41.15956	,	1
59,21	,	122839	,	-26879	,	-25206	,	-37.519188	,	3
59,21	,	122855	,	-26827	,	-25190	,	-31.313519	,	6
59,21	,	122887	,	-26784	,	-25163	,	-20.813658	,	12
59,21	,	122903	,	-26774	,	-25170	,	-5.556679	,	22
59,21	,	122919	,	-26779	,	-25149	,	13.070307	,	37
59,21	,	122951	,	-26762	,	-25167	,	32.35941	,	55
59,21	,	122967	,	-26774	,	-25169	,	49.463924	,	74
59,21	,	122999	,	-26774	,	-25162	,	62.168633	,	91
59,21	,	123015	,	-26802	,	-25195	,	69.03961	,	102
59,22	,	123031	,	-26832	,	-25183	,	69.3357	,	106
59,22	,	123062	,	-26827	,	-25188	,	63.092354	,	103
59,22	,	123078	,	-26825	,	-25177	,	51.507423	,	97
59,22	,	123094	,	-26820	,	-25172	,	36.830154	,	87
59,22	,	123127	,	-26828	,	-25221	,	21.53424	,	72
59,22	,	123143	,	-26841	,	-25223	,	7.508936	,	54
59,22	,	123174	,	-26852	,	-25229	,	-4.26182	,	35
59,22	,	123190	,	-26856	,	-25239	,	-13.49083	,	18
59,22	,	123207	,	-26892	,	-25256	,	-20.35242	,	6
59,22	,	123239	,	-26899	,	-25257	,	-25.446693	,	0
59,22	,	123255	,	-26908	,	-25257	,	-29.44627	,	0
59,22	,	123271	,	-26931	,	-25273	,	-32.736614	,	0
59,22	,	123303	,	-26951	,	-25291	,	-35.596207	,	0
59,22	,	123319	,	-26973	,	-25306	,	-38.362823	,	0
59,22	,	123334	,	-26981	,	-25319	,	-41.25406	,	0
59,22	,	123367	,	-27005	,	-25309	,	-44.235195	,	0
59,22	,	123382	,	-27031	,	-25339	,	-47.208588	,	0
59,22	,	123415	,	-27044	,	-25362	,	-50.17842	,	0
59,22	,	123431	,	-27066	,	-25380	,	-53.11115	,	0
59,22	,	123447	,	-27083	,	-25391	,	-55.867393	,	0
59,22	,	123478	,	-27083	,	-25375	,	-58.203247	,	0
59,22	,	123494	,	-27104	,	-25392	,	-59.748783	,	0
59,22	,	123510	,	-27025	,	-25359	,	-59.80586	,	0
59,22	,	123542	,	-26948	,	-25305	,	-56.690178	,	0
59,22	,	123558	,	-26891	,	-25295	,	-47.962112	,	3
59,22	,	123591	,	-26853	,	-25274	,	-32.107906	,	11
59,22	,	123607	,	-26826	,	-25289	,	-9.726753	,	26
59,22	,	123623	,	-26812	,	-25263	,	16.688303	,	48
59,22	,	123655	,	-26801	,	-25260	,	43.65689	,	74
59,22	,	123671	,	-26793	,	-25257	,	67.723	,	100
59,22	,	123686	,	-26802	,	-25267	,	86.16478	,	124
59,22	,	123718	,	-26797	,	-25257	,	97.29021	,	142
59,22	,	123734	,	-26804	,	-25279	,	100.56756	,	153
59,22	,	123750	,	-26827	,	-25305	,	96.4637	,	153
59,22	,	123783	,	-26818	,	-25293	,	86.11632	,	145
59,22	,	123799	,	-26807	,	-25265	,	71.361786	,	130
59,22	,	123830	,	-26796	,	-25278	,	54.65741	,	108
59,22	,	123846	,	-26795	,	-25265	,	38.435863	,	82
59,22	,	123862	,	-26809	,	-25290	,	24.375084	,	56
59,22	,	123894	,	-26824	,	-25280	,	13.067188	,	32
59,22	,	123910	,	-26830	,	-25312	,	4.265297	,	14
59,22	,	123926	,	-26830	,	-25332	,	-2.5211134	,	3
59,22	,	123958	,	-26841	,	-25294	,	-7.6658607	,	0
59,22	,	123974	,	-26861	,	-25303	,	-11.544931	,	0
59,22	,	124006	,	-26879	,	-25305	,	-14.72497	,	0
59,23	,	124022	,	-26891	,	-25319	,	-17.810356	,	0
59,23	,	124038	,	-26911	,	-25334	,	-21.184837	,	0
59,23	,	124070	,	-26911	,	-25332	,	-24.914291	,	0
59,23	,	124086	,	-26930	,	-25343	,	-28.762184	,	0
59,23	,	124102	,	-26943	,	-25345	,	-32.402786	,	0
59,23	,	124134	,	-26953	,	-25330	,	-35.629673	,	0
59,23	,	124150	,	-26964	,	-25339	,	-38.3031	,	0
59,23	,	124166	,	-26978	,	-25370	,	-40.312973	,	0
59,23	,	124198	,	-26977	,	-25334	,	-41.583626	,	0
59,23	,	124214	,	-26906	,	-25293	,	-41.613754	,	0
59,23	,	124246	,	-26845	,	-25269	,	-38.864185	,	0
59,23	,	124262	,	-26795	,	-25238	,	-31.283113	,	2
59,23	,	124278	,	-26758	,	-25236	,	-17.740599	,	9
59,23	,	124310	,	-26736	,	-25231	,	1.1718426	,	22
59,23	,	124326	,	-26723	,	-25210	,	23.324066	,	40
59,23	,	124342	,	-26713	,	-25207	,	45.753834	,	62
59,23	,	124374	,	-26707	,	-25187	,	65.53188	,	84
59,23	,	124390	,	-26716	,	-25188	,	80.3534	,	103
59,23	,	124422	,	-26719	,	-25217	,	88.74831	,	117
59,23	,	124438	,	-26739	,	-25205	,	90.13663	,	125
59,23	,	124454	,	-26735	,	-25212	,	84.84581	,	124
59,23	,	124486	,	-26738	,	-25199	,	74.10922	,	117
59,23	,	124502	,	-26726	,	-25209	,	59.893356	,	104
59,23	,	124518	,	-26729	,	-25206	,	44.429295	,	86
59,23	,	124550	,	-26729	,	-25206	,	29.64581	,	64
59,23	,	124566	,	-26727	,	-25205	,	16.847574	,	42
59,23	,	124598	,	-26751	,	-25199	,	6.630165	,	23
59,23	,	124614	,	-26762	,	-25219	,	-1.1572123	,	9
59,23	,	124630	,	-26769	,	-25202	,	-7.122745	,	1
59,23	,	124662	,	-26778	,	-25238	,	-11.830053	,	0
59,23	,	124678	,	-26784	,	-25216	,	-15.614835	,	0
59,23	,	124694	,	-26820	,	-25230	,	-18.781614	,	0
59,23	,	124726	,	-26841	,	-25233	,	-21.878927	,	0
59,23	,	124742	,	-26845	,	-25248	,	-25.467873	,	0
59,23	,	124758	,	-26860	,	-25251	,	-29.606339	,	0
59,23	,	124790	,	-26884	,	-25257	,	-33.96555	,	0
59,23	,	124806	,	-26885	,	-25274	,	-38.213715	,	0
59,23	,	124838	,	-26906	,	-25277	,	-42.021027	,	0
59,23	,	124854	,	-26919	,	-25271	,	-45.106102	,	0
59,23	,	124870	,	-26927	,	-25278	,	-47.34458	,	0
59,23	,	124902	,	-26940	,	-25303	,	-48.674526	,	0
59,23	,	124918	,	-26919	,	-25249	,	-48.92631	,	0
59,23	,	124934	,	-26800	,	-25238	,	-47.123726	,	0
59,23	,	124966	,	-26781	,	-25203	,	-41.118095	,	1
59,23	,	124982	,	-26737	,	-25205	,	-29.1474	,	7
59,23	,	125013	,	-26738	,	-25201	,	-11.517778	,	18
59,24	,	125029	,	-26731	,	-25191	,	9.488638	,	35
59,24	,	125046	,	-26734	,	-25192	,	30.633484	,	56
59,24	,	125078	,	-26742	,	-25197	,	48.778675	,	77
59,24	,	125094	,	-26759	,	-25192	,	61.536964	,	95
59,24	,	125110	,	-26781	,	-25193	,	67.4693	,	107
59,24	,	125142	,	-26791	,	-25225	,	66.17159	,	112
59,24	,	125158	,	-26797	,	-25194	,	58.367588	,	111
59,24	,	125174	,	-26776	,	-25204	,	45.889194	,	105
