Data recorded on Tue Jul 25 10-32-48 CAT 2017
Time: 10:32:57
Time		Millis		objTemp		dieTemp		sensorVoltage
33,6	,	21752	,	36.35	,	33.03	,	20.0
33,6	,	25767	,	36.32	,	33.03	,	18.0
33,10	,	29781	,	36.36	,	33.06	,	19.0
33,14	,	33796	,	36.34	,	33.06	,	17.0
33,18	,	37810	,	36.35	,	33.06	,	18.0
33,22	,	41824	,	36.39	,	33.09	,	19.0
33,26	,	45839	,	36.46	,	33.09	,	24.0
33,30	,	49853	,	36.46	,	33.09	,	24.0
33,34	,	53867	,	36.61	,	33.13	,	32.0
33,38	,	57882	,	36.85	,	33.13	,	50.0
33,42	,	61896	,	36.61	,	33.13	,	32.0
33,46	,	65911	,	36.65	,	33.13	,	35.0
33,50	,	69925	,	36.83	,	33.16	,	46.0
33,54	,	73939	,	36.67	,	33.13	,	37.0
33,58	,	77953	,	36.68	,	33.16	,	35.0
34,2	,	81968	,	36.72	,	33.16	,	38.0
