Data recorded on Tue Jul 25 13-41-43 CAT 2017
Time: 13:41:53
Time		Millis		objTemp		dieTemp		sensorVoltage
42,2	,	25762	,	33.55	,	34.38	,	-278.0
42,5	,	29776	,	33.61	,	34.38	,	-274.0
42,9	,	33790	,	33.64	,	34.38	,	-272.0
42,13	,	37805	,	33.67	,	34.41	,	-272.0
42,17	,	41819	,	33.73	,	34.44	,	-270.0
42,21	,	45833	,	33.76	,	34.44	,	-268.0
42,25	,	49847	,	33.81	,	34.47	,	-267.0
42,29	,	53862	,	33.83	,	34.47	,	-265.0
42,33	,	57876	,	33.86	,	34.47	,	-263.0
42,37	,	61890	,	33.91	,	34.5	,	-262.0
42,41	,	65904	,	33.92	,	34.5	,	-261.0
42,45	,	69919	,	33.94	,	34.5	,	-260.0
42,49	,	73933	,	33.95	,	34.5	,	-259.0
42,53	,	77947	,	34.0	,	34.53	,	-258.0
42,58	,	81962	,	34.0	,	34.53	,	-258.0
