Data recorded on Wed Jul 26 10-04-58 CAT 2017
Time: 10:5:6
Time		Millis		objTemp		dieTemp		sensorVoltage
5,15	,	94039	,	31.34	,	32.5	,	-294.0
5,15	,	98054	,	31.65	,	32.56	,	-277.0
5,19	,	102068	,	32.16	,	32.59	,	-244.0
5,23	,	106082	,	32.33	,	32.66	,	-237.0
5,27	,	110097	,	32.45	,	32.69	,	-231.0
5,31	,	114112	,	32.58	,	32.72	,	-224.0
5,35	,	118126	,	32.71	,	32.78	,	-220.0
5,39	,	122140	,	32.72	,	32.81	,	-221.0
5,43	,	126155	,	32.76	,	32.84	,	-221.0
5,47	,	130170	,	32.83	,	32.88	,	-218.0
5,51	,	134168	,	32.83	,	32.94	,	-213.0
5,55	,	138183	,	32.97	,	32.97	,	-209.0
5,59	,	142197	,	33.06	,	33.0	,	-206.0
6,3	,	146212	,	33.13	,	33.03	,	-204.0
6,7	,	150226	,	33.2	,	33.06	,	-201.0
6,11	,	154241	,	33.27	,	33.09	,	-198.0
