RAW Data export file (comma separated)


Client:	John,Sample
Session:	Tayla2 
Date:	26-07-2017
Time:	10:07:57
Duration:	213	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-31.900,709.172,,
-32.608,709.172,,
-32.927,709.172,,
-33.342,709.172,,
-33.849,717.274,,
-34.104,717.274,,
-34.556,717.274,,
-35.375,717.274,,
-35.692,716.806,,
-35.928,716.806,,
-35.511,716.806,,
-34.746,716.806,,
-34.307,716.328,,
-34.386,716.328,,
-34.454,716.328,,
-34.742,716.328,,
-35.281,715.667,,
-35.191,715.667,,
-34.494,715.667,,
-34.125,715.667,,
-33.638,714.965,,
-32.951,714.965,,
-32.245,714.965,,
-32.024,714.965,,
-32.647,714.375,,
-33.221,714.375,,
-33.440,714.375,,
-33.504,714.375,,
-33.430,713.738,,
-33.345,713.738,,
-33.197,713.738,,
-33.073,713.738,,
-33.307,713.039,,
-33.515,713.039,,
-33.749,713.039,,
-34.484,713.039,,
-35.233,712.348,,
-35.704,712.348,,
-35.786,712.348,,
-35.395,712.348,,
-34.824,711.655,,
-34.817,711.655,,
-35.310,711.655,,
-35.537,711.655,,
-35.545,710.967,,
-35.342,710.967,,
-34.460,710.967,,
-33.142,710.967,,
-31.448,710.155,,
-30.110,710.155,,
-29.668,710.155,,
-29.716,710.155,,
-30.083,709.302,,
-30.404,709.302,,
-30.382,709.302,,
-30.502,709.302,,
-30.158,708.368,,
-29.050,708.368,,
-27.537,708.368,,
-25.981,708.368,,
-25.238,707.450,,
-24.855,707.450,,
-24.519,707.450,,
-24.438,707.450,,
-24.252,706.759,,
-23.754,706.759,,
-23.361,706.759,,
-23.139,706.759,,
-23.121,706.176,,
-23.605,706.176,,
-24.549,706.176,,
-25.702,706.176,,
-26.767,705.492,,
-27.407,705.492,,
-27.596,705.492,,
-28.207,705.492,,
-28.934,705.015,,
-29.114,705.015,,
-29.006,705.015,,
-28.526,705.015,,
-28.245,704.800,,
-28.291,704.800,,
-28.442,704.800,,
-28.714,704.800,,
-28.963,704.478,,
-29.377,704.478,,
-30.312,704.478,,
-31.575,704.478,,
-32.472,704.008,,
-32.782,704.008,,
-32.567,704.008,,
-32.318,704.008,,
-32.043,703.677,,
-31.861,703.677,,
-31.443,703.677,,
-30.995,703.677,,
-30.799,703.303,,
-31.023,703.303,,
-31.579,703.303,,
-32.013,703.303,,
-32.185,702.766,,
-32.580,702.766,,
-33.160,702.766,,
-33.571,702.766,,
-33.798,702.355,,
-33.449,702.355,,
-32.735,702.355,,
-32.097,702.355,,
-32.074,702.042,,
-32.418,702.042,,
-32.729,702.042,,
-32.638,702.042,,
-32.495,701.736,,
-32.210,701.736,,
-32.333,701.736,,
-32.752,701.736,,
-33.501,701.414,,
-33.939,701.414,,
-33.967,701.414,,
-34.274,701.414,,
-34.920,701.108,,
-35.462,701.108,,
-36.094,701.108,,
-36.416,701.108,,
-36.931,700.826,,
-37.376,700.826,,
-37.278,700.826,,
-36.831,700.826,,
-36.385,700.536,,
-36.001,700.536,,
-35.536,700.536,,
-35.162,700.536,,
-35.131,700.168,,
-35.065,700.168,,
-34.939,700.168,,
-34.596,700.168,,
-33.961,699.740,,
-33.129,699.740,,
-31.440,699.740,,
-29.841,699.740,,
-28.996,699.199,,
-28.006,699.199,,
-27.084,699.199,,
-26.295,699.199,,
-25.836,698.794,,
-25.291,698.794,,
-24.615,698.794,,
-24.338,698.794,,
-24.695,698.674,,
-24.944,698.674,,
-24.990,698.674,,
-24.664,698.674,,
-24.254,698.638,,
-24.114,698.638,,
-24.385,698.638,,
-25.213,698.638,,
-25.676,698.569,,
-25.986,698.569,,
-26.276,698.569,,
-26.410,698.569,,
-27.053,698.648,,
-28.135,698.648,,
-28.651,698.648,,
-28.578,698.648,,
-28.367,698.765,,
-28.645,698.765,,
-29.163,698.765,,
-29.686,698.765,,
-30.355,698.735,,
-30.400,698.735,,
-29.954,698.735,,
-29.945,698.735,,
-30.684,698.670,,
-31.970,698.670,,
-33.524,698.670,,
-34.746,698.670,,
-35.245,698.679,,
-34.796,698.679,,
-33.986,698.679,,
-32.771,698.679,,
-31.769,698.587,,
-31.370,698.587,,
-31.327,698.587,,
-30.775,698.587,,
-30.140,698.406,,
-29.886,698.406,,
-29.931,698.406,,
-30.034,698.406,,
-30.221,698.284,,
-30.906,698.284,,
-31.997,698.284,,
-33.168,698.284,,
-33.853,698.199,,
-34.362,698.199,,
-34.455,698.199,,
-34.299,698.199,,
-34.164,698.064,,
-34.193,698.064,,
-34.706,698.064,,
-35.092,698.064,,
-35.158,697.904,,
-35.199,697.904,,
-35.340,697.904,,
-35.510,697.904,,
-35.370,697.804,,
-35.261,697.804,,
-35.157,697.804,,
-35.239,697.804,,
-35.245,697.647,,
-35.359,697.647,,
-35.829,697.647,,
-36.324,697.647,,
-36.626,697.474,,
-36.590,697.474,,
-36.041,697.474,,
-35.239,697.474,,
-34.630,697.298,,
-34.365,697.298,,
-34.248,697.298,,
-33.978,697.298,,
-33.536,697.040,,
-33.322,697.040,,
-33.534,697.040,,
-33.669,697.040,,
-33.712,696.533,,
-33.481,696.533,,
-32.693,696.533,,
-31.715,696.533,,
-30.290,696.018,,
-28.515,696.018,,
-26.815,696.018,,
-25.145,696.018,,
-23.876,695.797,,
-22.726,695.797,,
-21.900,695.797,,
-21.237,695.797,,
-20.948,695.694,,
-21.783,695.694,,
-23.466,695.694,,
-25.508,695.694,,
-27.137,695.554,,
-27.716,695.554,,
-27.939,695.554,,
-28.373,695.554,,
-29.290,695.529,,
-30.156,695.529,,
-30.526,695.529,,
-30.287,695.529,,
-30.133,695.581,,
-30.280,695.581,,
-30.529,695.581,,
-30.419,695.581,,
-30.500,695.516,,
-30.850,695.516,,
-32.061,695.516,,
-33.845,695.516,,
-35.149,695.353,,
-35.369,695.353,,
-35.116,695.353,,
-34.689,695.353,,
-34.335,695.289,,
-33.765,695.289,,
-32.895,695.289,,
-32.119,695.289,,
-31.626,695.213,,
-31.695,695.213,,
-31.771,695.213,,
-31.693,695.213,,
-31.421,695.082,,
-30.688,695.082,,
-29.919,695.082,,
-29.777,695.082,,
-29.689,695.049,,
-29.642,695.049,,
-29.887,695.049,,
-29.778,695.049,,
-29.588,695.033,,
-29.329,695.033,,
-29.436,695.033,,
-29.326,695.033,,
-29.023,694.944,,
-28.898,694.944,,
-29.050,694.944,,
-29.715,694.944,,
-30.446,694.904,,
-31.111,694.904,,
-31.443,694.904,,
-31.580,694.904,,
-32.133,694.938,,
-32.827,694.938,,
-33.027,694.938,,
-32.943,694.938,,
-32.834,694.909,,
-33.033,694.909,,
-33.136,694.909,,
-33.172,694.909,,
-33.189,694.845,,
-33.013,694.845,,
-33.212,694.845,,
-33.776,694.845,,
-34.164,694.893,,
-33.988,694.893,,
-33.207,694.893,,
-32.208,694.893,,
-31.565,694.934,,
-31.514,694.934,,
-32.244,694.934,,
-33.101,694.934,,
-33.251,694.800,,
-33.231,694.800,,
-33.157,694.800,,
-33.262,694.800,,
-33.643,694.603,,
-34.397,694.603,,
-34.647,694.603,,
-33.899,694.603,,
-32.577,694.381,,
-31.346,694.381,,
-30.059,694.381,,
-28.749,694.381,,
-27.179,694.168,,
-25.735,694.168,,
-24.659,694.168,,
-24.143,694.168,,
-23.713,694.070,,
-23.662,694.070,,
-23.662,694.070,,
-23.643,694.070,,
-23.317,694.138,,
-22.615,694.138,,
