RAW Data export file (comma separated)


Client:	John,Sample
Session:	Marga1 
Date:	26-07-2017
Time:	14:03:07
Duration:	558	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-177.731,646.247,,
-177.598,646.247,,
-177.521,646.247,,
-177.443,646.247,,
-177.367,685.491,,
-177.309,685.491,,
-177.147,685.491,,
-177.033,685.491,,
-177.113,684.995,,
-177.313,684.995,,
-177.404,684.995,,
-177.425,684.995,,
-177.372,684.666,,
-177.293,684.666,,
-177.185,684.666,,
-177.054,684.666,,
-176.953,684.543,,
-176.901,684.543,,
-177.006,684.543,,
-176.970,684.543,,
-176.908,684.163,,
-176.895,684.163,,
-176.908,684.163,,
-176.904,684.163,,
-176.891,683.776,,
-176.996,683.776,,
-177.058,683.776,,
-177.081,683.776,,
-177.177,683.955,,
-177.145,683.955,,
-177.122,683.955,,
-177.186,683.955,,
-177.216,684.231,,
-177.214,684.231,,
-177.112,684.231,,
-177.160,684.231,,
-177.266,684.281,,
-177.237,684.281,,
-177.153,684.281,,
-177.113,684.281,,
-177.058,684.349,,
-176.904,684.349,,
-176.839,684.349,,
-176.854,684.349,,
-176.847,684.265,,
-176.860,684.265,,
-176.876,684.265,,
-176.966,684.265,,
-176.991,683.995,,
-177.074,683.995,,
-177.115,683.995,,
-177.121,683.995,,
-177.127,683.757,,
-177.061,683.757,,
-177.003,683.757,,
-176.920,683.757,,
-177.003,682.974,,
-177.082,682.974,,
-176.979,682.974,,
-177.006,682.974,,
-177.070,681.868,,
-177.131,681.868,,
-177.105,681.868,,
-177.005,681.868,,
-177.018,681.254,,
-176.959,681.254,,
-176.891,681.254,,
-176.850,681.254,,
-176.784,680.623,,
-176.709,680.623,,
-176.732,680.623,,
-176.834,680.623,,
-176.930,680.255,,
-177.002,680.255,,
-176.996,680.255,,
-176.993,680.255,,
-177.024,680.081,,
-176.968,680.081,,
-176.934,680.081,,
-176.950,680.081,,
-176.962,679.884,,
-176.954,679.884,,
-176.973,679.884,,
-177.092,679.884,,
-177.094,680.208,,
-177.080,680.208,,
-177.070,680.208,,
-176.990,680.208,,
-176.907,680.849,,
-176.884,680.849,,
-176.872,680.849,,
-176.933,680.849,,
-177.051,681.552,,
-177.135,681.552,,
-177.146,681.552,,
-177.113,681.552,,
-177.034,682.123,,
-176.988,682.123,,
-176.975,682.123,,
-176.936,682.123,,
-176.903,682.769,,
-176.875,682.769,,
-176.897,682.769,,
-176.886,682.769,,
-176.868,683.393,,
-177.016,683.393,,
-177.078,683.393,,
-177.085,683.393,,
-177.068,684.125,,
-176.917,684.125,,
-176.805,684.125,,
-176.742,684.125,,
-176.664,684.829,,
-176.677,684.829,,
-176.667,684.829,,
-176.858,684.829,,
-176.955,685.334,,
-176.986,685.334,,
-176.960,685.334,,
-176.949,685.334,,
-176.829,686.005,,
-176.772,686.005,,
-176.814,686.005,,
-176.885,686.005,,
-176.975,686.813,,
-177.047,686.813,,
-177.132,686.813,,
-177.107,686.813,,
-177.013,687.465,,
-176.988,687.465,,
-177.034,687.465,,
-177.051,687.465,,
-177.031,687.965,,
-176.947,687.965,,
-177.025,687.965,,
-177.036,687.965,,
-176.969,688.430,,
-176.907,688.430,,
-176.824,688.430,,
-176.872,688.430,,
-176.968,689.440,,
-176.982,689.440,,
-177.001,689.440,,
-177.057,689.440,,
-176.995,690.966,,
-176.901,690.966,,
-176.899,690.966,,
-176.820,690.966,,
-176.855,691.961,,
-176.847,691.961,,
-176.853,691.961,,
-176.845,691.961,,
-176.947,692.772,,
-176.985,692.772,,
-176.934,692.772,,
-176.988,692.772,,
-177.057,693.540,,
-177.017,693.540,,
-177.094,693.540,,
-177.074,693.540,,
-176.921,694.108,,
-176.784,694.108,,
-176.763,694.108,,
-176.911,694.108,,
-176.999,694.616,,
-177.040,694.616,,
-177.047,694.616,,
-176.982,694.616,,
-176.995,695.656,,
-176.968,695.656,,
-176.943,695.656,,
-176.905,695.656,,
-176.865,696.996,,
-176.855,696.996,,
-176.826,696.996,,
-176.909,696.996,,
-176.960,698.115,,
-176.928,698.115,,
-176.906,698.115,,
-176.878,698.115,,
-176.863,699.270,,
-176.903,699.270,,
-176.865,699.270,,
-176.862,699.270,,
-176.820,700.899,,
-176.872,700.899,,
-176.963,700.899,,
-176.970,700.899,,
-176.923,702.306,,
-176.865,702.306,,
-176.940,702.306,,
-176.888,702.306,,
-176.783,703.731,,
-176.745,703.731,,
-176.735,703.731,,
-176.711,703.731,,
-176.744,705.105,,
-176.820,705.105,,
-176.860,705.105,,
-176.855,705.105,,
-176.882,706.456,,
-176.922,706.456,,
-176.970,706.456,,
-176.947,706.456,,
-176.807,707.796,,
-176.716,707.796,,
-176.777,707.796,,
-176.772,707.796,,
-176.764,708.908,,
-176.752,708.908,,
-176.834,708.908,,
-176.836,708.908,,
-176.901,710.074,,
-176.962,710.074,,
-176.971,710.074,,
-176.938,710.074,,
-176.931,711.452,,
-176.906,711.452,,
-176.845,711.452,,
-176.707,711.452,,
-176.611,712.718,,
-176.630,712.718,,
-176.712,712.718,,
-176.721,712.718,,
-176.808,713.937,,
-176.895,713.937,,
-176.910,713.937,,
-176.807,713.937,,
-176.718,715.193,,
-176.793,715.193,,
-176.857,715.193,,
-176.887,715.193,,
-176.911,716.224,,
-176.820,716.224,,
-176.818,716.224,,
-176.889,716.224,,
-176.942,717.345,,
-176.903,717.345,,
-176.723,717.345,,
-176.678,717.345,,
-176.636,718.656,,
-176.536,718.656,,
-176.551,718.656,,
-176.698,718.656,,
-176.861,719.314,,
-176.945,719.314,,
-176.843,719.314,,
-176.835,719.314,,
-176.895,719.537,,
-176.970,719.537,,
-176.917,719.537,,
-176.836,719.537,,
-176.716,719.448,,
-176.657,719.448,,
-176.646,719.448,,
-176.642,719.448,,
-176.621,719.258,,
-176.626,719.258,,
-176.605,719.258,,
-176.673,719.258,,
-176.772,719.281,,
-176.885,719.281,,
-176.896,719.281,,
-176.891,719.281,,
-176.927,719.832,,
-176.882,719.832,,
-176.845,719.832,,
-176.998,719.832,,
-177.005,720.849,,
-176.959,720.849,,
-176.918,720.849,,
-176.873,720.849,,
-176.891,722.326,,
-176.964,722.326,,
-176.963,722.326,,
-176.829,722.326,,
-176.733,723.991,,
-176.732,723.991,,
-176.723,723.991,,
-176.706,723.991,,
-176.601,725.733,,
-176.656,725.733,,
-176.640,725.733,,
-176.636,725.733,,
-176.591,727.249,,
-176.470,727.249,,
-176.517,727.249,,
-176.673,727.249,,
-176.667,728.491,,
-176.639,728.491,,
-176.712,728.491,,
-176.835,728.491,,
-176.925,729.615,,
-176.925,729.615,,
-176.913,729.615,,
-176.887,729.615,,
-176.887,730.487,,
-176.926,730.487,,
-176.815,730.487,,
-176.796,730.487,,
-176.805,730.952,,
-176.857,730.952,,
-176.833,730.952,,
-176.838,730.952,,
-176.755,731.639,,
-176.734,731.639,,
-176.717,731.639,,
-176.783,731.639,,
-176.826,732.822,,
-176.927,732.822,,
-176.762,732.822,,
-176.675,732.822,,
-176.653,733.508,,
-176.560,733.508,,
-176.610,733.508,,
-176.664,733.508,,
-176.748,734.077,,
-176.906,734.077,,
-176.980,734.077,,
-176.923,734.077,,
-176.858,735.094,,
-176.770,735.094,,
-176.664,735.094,,
-176.607,735.094,,
-176.446,736.346,,
-176.384,736.346,,
-176.463,736.346,,
-176.609,736.346,,
-176.677,737.225,,
-176.757,737.225,,
