Data recorded on Wed Jul 26 14-09-33 CAT 2017
Time: 14:10:11
Time		Millis		bpm		Period		SpO2
10,20	,	84553	,	82	,	736	,	99.74509
10,20	,	85321	,	82	,	768	,	99.68121
10,20	,	86104	,	83	,	783	,	99.52384
10,21	,	86872	,	83	,	768	,	99.36318
10,22	,	87592	,	84	,	720	,	99.222336
10,23	,	88279	,	84	,	687	,	99.49608
10,23	,	88951	,	84	,	672	,	99.437195
10,24	,	89591	,	84	,	640	,	99.43695
10,25	,	90247	,	84	,	656	,	99.33064
10,25	,	90951	,	84	,	704	,	99.49457
10,26	,	91670	,	84	,	719	,	99.572365
10,27	,	92438	,	84	,	768	,	99.58446
10,28	,	93222	,	84	,	784	,	99.66954
10,28	,	93973	,	84	,	751	,	99.63697
10,29	,	94677	,	84	,	704	,	99.79079
10,30	,	95365	,	84	,	688	,	99.79557
10,30	,	96069	,	84	,	704	,	99.96869
10,31	,	96820	,	83	,	751	,	100.01842
10,32	,	97588	,	81	,	768	,	100.0542
10,33	,	98372	,	80	,	784	,	100.07346
10,34	,	99188	,	79	,	816	,	100.061646
10,34	,	99971	,	79	,	783	,	99.99178
10,35	,	100755	,	79	,	784	,	100.04145
10,36	,	101475	,	80	,	720	,	100.1857
10,37	,	102162	,	80	,	687	,	100.293655
10,37	,	102802	,	80	,	640	,	100.382935
10,38	,	103458	,	81	,	656	,	100.32209
10,38	,	104114	,	82	,	656	,	100.30375
10,39	,	104849	,	82	,	735	,	100.45494
10,40	,	105649	,	82	,	800	,	100.502975
10,41	,	106481	,	82	,	832	,	100.64054
10,42	,	107328	,	81	,	847	,	100.92014
10,43	,	108144	,	81	,	816	,	100.9041
10,43	,	108944	,	80	,	800	,	100.91077
10,44	,	109664	,	80	,	720	,	100.8795
10,45	,	110368	,	79	,	704	,	100.74277
10,45	,	111055	,	79	,	687	,	100.96881
10,46	,	111727	,	78	,	672	,	101.07497
10,47	,	112383	,	79	,	656	,	101.00342
10,47	,	113086	,	80	,	703	,	100.89637
10,48	,	113838	,	81	,	752	,	100.97956
10,49	,	114638	,	82	,	800	,	100.918785
10,50	,	115469	,	81	,	831	,	100.910675
10,51	,	116285	,	81	,	816	,	101.127396
10,51	,	117069	,	81	,	784	,	101.13441
10,52	,	117821	,	80	,	752	,	101.292366
10,53	,	118540	,	80	,	719	,	101.166176
10,54	,	119212	,	80	,	672	,	101.03072
10,54	,	119852	,	80	,	640	,	101.013016
10,55	,	120508	,	80	,	656	,	101.09966
10,56	,	121211	,	81	,	703	,	101.01303
10,56	,	121931	,	82	,	720	,	100.95796
10,57	,	122715	,	82	,	784	,	101.131256
10,58	,	123467	,	83	,	752	,	101.00648
10,59	,	124250	,	83	,	783	,	100.91789
10,59	,	125018	,	83	,	768	,	100.857445
11,0	,	125770	,	82	,	752	,	100.865425
11,1	,	126474	,	82	,	704	,	100.81207
11,2	,	127145	,	82	,	671	,	100.77037
11,2	,	127785	,	82	,	640	,	100.86909
11,3	,	128409	,	83	,	624	,	100.86849
11,3	,	129097	,	83	,	688	,	101.033806
11,4	,	129864	,	84	,	767	,	101.04246
11,5	,	130648	,	83	,	784	,	100.88552
11,6	,	131528	,	82	,	880	,	101.14428
11,7	,	132424	,	81	,	896	,	101.3128
11,8	,	133319	,	79	,	895	,	101.37996
11,8	,	134135	,	78	,	816	,	101.50091
11,9	,	134919	,	77	,	784	,	101.58535
11,10	,	135670	,	76	,	751	,	101.28644
11,11	,	136358	,	75	,	688	,	101.1839
11,11	,	137046	,	75	,	688	,	100.83815
11,12	,	137686	,	76	,	640	,	100.73988
11,13	,	138309	,	78	,	623	,	101.09519
11,13	,	138997	,	80	,	688	,	101.119804
11,14	,	139733	,	82	,	736	,	101.0334
11,15	,	140501	,	83	,	768	,	101.0486
11,16	,	141380	,	82	,	879	,	101.00442
11,17	,	142228	,	82	,	848	,	100.92233
11,17	,	143060	,	81	,	832	,	101.02261
11,18	,	143891	,	79	,	831	,	100.97908
11,19	,	144691	,	78	,	800	,	101.02869
