Data recorded on Wed Jul 26 14-13-05 CAT 2017
Time: 14:13:18
Time		Millis		IR PPG		Red PPG		Filtered		SSF
13,27	,	23244	,	-18482	,	-15457	,	-27.883703	,	0
13,27	,	23276	,	-18482	,	-15472	,	-27.888815	,	0
13,27	,	23292	,	-18496	,	-15472	,	-27.639507	,	0
13,27	,	23308	,	-18502	,	-15468	,	-27.46378	,	0
13,27	,	23340	,	-18474	,	-15453	,	-27.388645	,	0
13,27	,	23356	,	-18430	,	-15440	,	-26.633286	,	0
13,27	,	23372	,	-18397	,	-15434	,	-23.743223	,	0
13,27	,	23404	,	-18374	,	-15416	,	-17.481827	,	2
13,27	,	23420	,	-18371	,	-15417	,	-7.6999264	,	8
13,27	,	23452	,	-18364	,	-15417	,	4.4997253	,	17
13,27	,	23468	,	-18350	,	-15412	,	17.348843	,	29
13,27	,	23484	,	-18347	,	-15396	,	29.179537	,	41
13,27	,	23516	,	-18323	,	-15391	,	38.839993	,	52
13,27	,	23532	,	-18326	,	-15393	,	45.78088	,	61
13,27	,	23548	,	-18315	,	-15390	,	49.87567	,	67
13,27	,	23580	,	-18321	,	-15389	,	51.193474	,	71
13,27	,	23596	,	-18327	,	-15395	,	49.882385	,	70
13,27	,	23612	,	-18333	,	-15393	,	46.12521	,	64
13,27	,	23644	,	-18328	,	-15396	,	40.28092	,	55
13,27	,	23660	,	-18339	,	-15397	,	32.981598	,	43
13,27	,	23692	,	-18339	,	-15401	,	24.95782	,	31
13,27	,	23708	,	-18345	,	-15411	,	16.872763	,	20
13,27	,	23724	,	-18345	,	-15390	,	9.28827	,	11
13,27	,	23756	,	-18353	,	-15415	,	2.627264	,	5
13,27	,	23772	,	-18363	,	-15414	,	-2.9116964	,	1
13,27	,	23788	,	-18367	,	-15416	,	-7.374937	,	0
13,27	,	23820	,	-18384	,	-15416	,	-10.9614935	,	0
13,27	,	23836	,	-18386	,	-15429	,	-13.929264	,	0
13,27	,	23868	,	-18400	,	-15431	,	-16.493252	,	0
13,27	,	23884	,	-18403	,	-15431	,	-18.758274	,	0
13,27	,	23900	,	-18424	,	-15434	,	-20.789114	,	0
13,27	,	23932	,	-18419	,	-15443	,	-22.65234	,	0
13,27	,	23948	,	-18426	,	-15443	,	-24.281128	,	0
13,27	,	23964	,	-18438	,	-15437	,	-25.491734	,	0
13,27	,	23996	,	-18447	,	-15456	,	-26.241266	,	0
13,27	,	24012	,	-18462	,	-15470	,	-26.693142	,	0
13,27	,	24028	,	-18467	,	-15466	,	-27.065254	,	0
13,27	,	24060	,	-18485	,	-15458	,	-27.522175	,	0
13,27	,	24076	,	-18489	,	-15472	,	-28.155931	,	0
13,27	,	24108	,	-18490	,	-15476	,	-28.905567	,	0
13,27	,	24124	,	-18447	,	-15452	,	-29.27237	,	0
13,27	,	24140	,	-18413	,	-15430	,	-28.104338	,	0
13,27	,	24172	,	-18382	,	-15429	,	-24.009556	,	1
13,27	,	24188	,	-18370	,	-15419	,	-16.240894	,	5
13,27	,	24204	,	-18361	,	-15415	,	-5.228816	,	12
13,27	,	24236	,	-18357	,	-15418	,	7.5887737	,	23
13,28	,	24252	,	-18344	,	-15406	,	20.40168	,	35
13,28	,	24284	,	-18330	,	-15406	,	31.699543	,	47
13,28	,	24300	,	-18323	,	-15403	,	40.58005	,	58
13,28	,	24316	,	-18327	,	-15402	,	46.5944	,	66
13,28	,	24348	,	-18333	,	-15400	,	49.47204	,	72
13,28	,	24364	,	-18342	,	-15410	,	49.07447	,	73
13,28	,	24380	,	-18346	,	-15411	,	45.52684	,	69
13,28	,	24411	,	-18344	,	-15407	,	39.3468	,	62
13,28	,	24428	,	-18345	,	-15400	,	31.433167	,	51
13,28	,	24460	,	-18348	,	-15414	,	22.838865	,	39
13,28	,	24476	,	-18349	,	-15400	,	14.492022	,	27
13,28	,	24492	,	-18361	,	-15420	,	7.018469	,	16
13,28	,	24523	,	-18357	,	-15420	,	0.7142105	,	8
13,28	,	24540	,	-18376	,	-15423	,	-4.36348	,	2
13,28	,	24556	,	-18383	,	-15425	,	-8.383057	,	0
13,28	,	24588	,	-18391	,	-15434	,	-11.666033	,	0
13,28	,	24604	,	-18403	,	-15432	,	-14.490855	,	0
