Data recorded on Wed Jul 26 14-42-54 CAT 2017
Time: 14:43:1
Time		Millis		IR PPG		Red PPG		Filtered		SSF
43,10	,	22574	,	-17578	,	-13838	,	-2.783224	,	9
43,10	,	22590	,	-17561	,	-13835	,	5.518081	,	16
43,10	,	22622	,	-17559	,	-13834	,	14.260434	,	24
43,10	,	22638	,	-17541	,	-13837	,	22.63926	,	32
43,10	,	22654	,	-17540	,	-13833	,	29.929285	,	40
43,10	,	22686	,	-17544	,	-13826	,	35.532845	,	47
43,10	,	22702	,	-17528	,	-13834	,	38.994728	,	52
43,10	,	22734	,	-17543	,	-13837	,	40.15473	,	54
43,10	,	22749	,	-17541	,	-13818	,	39.06505	,	52
43,10	,	22765	,	-17554	,	-13834	,	35.853622	,	47
43,10	,	22798	,	-17543	,	-13827	,	30.84604	,	40
43,10	,	22814	,	-17547	,	-13826	,	24.68003	,	32
43,10	,	22830	,	-17548	,	-13831	,	18.154003	,	24
43,10	,	22862	,	-17551	,	-13832	,	11.931212	,	16
43,10	,	22878	,	-17553	,	-13835	,	6.4276886	,	9
43,10	,	22909	,	-17566	,	-13838	,	1.812479	,	4
43,10	,	22926	,	-17563	,	-13835	,	-1.9675455	,	1
43,10	,	22941	,	-17563	,	-13834	,	-4.986925	,	0
43,10	,	22974	,	-17575	,	-13845	,	-7.255999	,	0
43,10	,	22990	,	-17574	,	-13838	,	-8.87579	,	0
43,10	,	23006	,	-17584	,	-13841	,	-10.039753	,	0
43,10	,	23038	,	-17592	,	-13848	,	-10.957895	,	0
43,10	,	23054	,	-17595	,	-13854	,	-11.83777	,	0
43,10	,	23086	,	-17604	,	-13848	,	-12.798035	,	0
43,10	,	23101	,	-17610	,	-13851	,	-13.857677	,	0
43,10	,	23117	,	-17616	,	-13855	,	-14.995918	,	0
43,10	,	23149	,	-17626	,	-13860	,	-16.179209	,	0
43,10	,	23165	,	-17619	,	-13863	,	-17.328754	,	0
43,10	,	23181	,	-17637	,	-13858	,	-18.299057	,	0
43,10	,	23214	,	-17631	,	-13874	,	-18.983704	,	0
43,10	,	23230	,	-17649	,	-13857	,	-19.377419	,	0
43,10	,	23246	,	-17656	,	-13870	,	-19.5967	,	0
43,10	,	23278	,	-17659	,	-13877	,	-19.828209	,	0
43,10	,	23294	,	-17653	,	-13869	,	-20.076956	,	0
43,10	,	23325	,	-17652	,	-13865	,	-20.065624	,	0
43,10	,	23341	,	-17627	,	-13865	,	-19.338844	,	0
43,10	,	23357	,	-17617	,	-13858	,	-17.348408	,	0
43,10	,	23390	,	-17601	,	-13854	,	-13.668636	,	1
43,10	,	23406	,	-17591	,	-13853	,	-8.252834	,	4
43,10	,	23422	,	-17577	,	-13841	,	-1.4449692	,	9
43,10	,	23454	,	-17574	,	-13848	,	6.1415315	,	15
43,10	,	23470	,	-17571	,	-13829	,	13.704801	,	22
43,10	,	23501	,	-17553	,	-13832	,	20.457905	,	29
43,10	,	23517	,	-17555	,	-13838	,	25.897196	,	35
43,10	,	23533	,	-17561	,	-13834	,	29.711372	,	40
43,10	,	23566	,	-17563	,	-13836	,	31.573856	,	43
43,11	,	23582	,	-17558	,	-13835	,	31.31684	,	43
43,11	,	23598	,	-17565	,	-13840	,	29.133533	,	40
43,11	,	23630	,	-17560	,	-13832	,	25.473	,	35
43,11	,	23645	,	-17555	,	-13837	,	20.92723	,	29
43,11	,	23662	,	-17565	,	-13831	,	16.124119	,	22
43,11	,	23694	,	-17563	,	-13842	,	11.510598	,	15
43,11	,	23709	,	-17562	,	-13825	,	7.341915	,	9
43,11	,	23741	,	-17575	,	-13840	,	3.7626524	,	4
43,11	,	23757	,	-17582	,	-13842	,	0.71301746	,	1
