Data recorded on Wed Jul 26 14-42-54 CAT 2017
Time: 14:43:1
Time		Millis		objTemp		dieTemp		sensorVoltage
43,10	,	21740	,	37.34	,	34.06	,	17.0
43,13	,	25755	,	37.34	,	34.06	,	17.0
43,17	,	29770	,	37.34	,	34.06	,	17.0
43,21	,	33784	,	37.37	,	34.09	,	17.0
43,25	,	37800	,	37.46	,	34.09	,	23.0
43,29	,	41813	,	37.47	,	34.09	,	24.0
43,33	,	45828	,	37.48	,	34.09	,	25.0
43,37	,	49842	,	37.53	,	34.13	,	26.0
43,41	,	53857	,	37.51	,	34.13	,	25.0
43,45	,	57871	,	37.51	,	34.13	,	25.0
43,49	,	61886	,	37.54	,	34.13	,	27.0
43,53	,	65901	,	37.54	,	34.13	,	27.0
43,57	,	69915	,	37.53	,	34.13	,	26.0
44,1	,	73930	,	37.54	,	34.13	,	27.0
44,5	,	77945	,	37.59	,	34.16	,	28.0
44,9	,	81959	,	37.57	,	34.16	,	27.0
