Data recorded on Mon Jul 24 09-09-52 CAT 2017
Time: 9:9:58
Time		Millis		IR PPG		Red PPG		Filtered		SSF
10,7	,	73739	,	-16395	,	-13198	,	-6.7413826	,	1
10,7	,	73771	,	-16397	,	-13202	,	-5.788389	,	0
10,7	,	73787	,	-16404	,	-13197	,	-4.689849	,	0
10,7	,	73819	,	-16403	,	-13186	,	-3.6286912	,	1
10,7	,	73835	,	-16387	,	-13191	,	-2.7046707	,	2
10,7	,	73851	,	-16374	,	-13192	,	-1.6888025	,	2
10,7	,	73883	,	-16402	,	-13199	,	-0.3203069	,	3
10,7	,	73899	,	-16401	,	-13192	,	1.1506929	,	4
10,7	,	73931	,	-16395	,	-13200	,	2.1947947	,	5
10,7	,	73947	,	-16414	,	-13209	,	2.5233302	,	6
10,7	,	73963	,	-16409	,	-13209	,	2.037077	,	6
10,7	,	73995	,	-16414	,	-13215	,	0.7739719	,	6
10,7	,	74011	,	-16407	,	-13228	,	-0.9842323	,	5
10,7	,	74027	,	-16408	,	-13226	,	-2.8014622	,	4
10,7	,	74059	,	-16411	,	-13235	,	-4.2891135	,	4
10,7	,	74075	,	-16405	,	-13237	,	-5.234162	,	3
10,7	,	74091	,	-16408	,	-13249	,	-5.5607123	,	2
10,7	,	74123	,	-16418	,	-13250	,	-5.3469677	,	1
10,7	,	74139	,	-16419	,	-13248	,	-4.8825345	,	0
10,7	,	74170	,	-16435	,	-13275	,	-4.557059	,	0
10,7	,	74187	,	-16434	,	-13279	,	-4.712039	,	0
10,7	,	74203	,	-16436	,	-13285	,	-5.4815316	,	0
10,7	,	74235	,	-16451	,	-13297	,	-6.7748394	,	0
10,7	,	74250	,	-16462	,	-13308	,	-8.520251	,	0
10,7	,	74267	,	-16471	,	-13316	,	-10.74609	,	0
10,7	,	74299	,	-16476	,	-13334	,	-13.399563	,	0
10,7	,	74315	,	-16506	,	-13345	,	-16.364758	,	0
10,7	,	74331	,	-16521	,	-13365	,	-19.69984	,	0
10,7	,	74362	,	-16537	,	-13370	,	-23.567467	,	0
10,7	,	74378	,	-16568	,	-13402	,	-28.016674	,	0
10,7	,	74411	,	-16574	,	-13408	,	-32.982048	,	0
10,7	,	74427	,	-16603	,	-13410	,	-38.261364	,	0
10,7	,	74443	,	-16614	,	-13430	,	-43.536327	,	0
10,7	,	74475	,	-16629	,	-13436	,	-48.443413	,	0
10,7	,	74491	,	-16655	,	-13444	,	-52.645313	,	0
10,7	,	74506	,	-16654	,	-13455	,	-55.926666	,	0
10,7	,	74538	,	-16681	,	-13464	,	-58.13761	,	0
10,7	,	74554	,	-16690	,	-13473	,	-59.226326	,	0
10,7	,	74587	,	-16760	,	-13486	,	-59.56891	,	0
10,7	,	74603	,	-16725	,	-13484	,	-59.88063	,	0
10,7	,	74618	,	-16774	,	-13510	,	-60.472046	,	0
10,7	,	74650	,	-16757	,	-13513	,	-61.077827	,	0
10,7	,	74666	,	-16800	,	-13521	,	-61.356308	,	0
10,7	,	74683	,	-16807	,	-13527	,	-61.206184	,	0
10,7	,	74715	,	-16823	,	-13528	,	-60.733162	,	0
10,7	,	74730	,	-16824	,	-13540	,	-59.944305	,	0
10,8	,	74762	,	-16837	,	-13544	,	-58.65291	,	0
10,8	,	74778	,	-16842	,	-13549	,	-56.677364	,	1
10,8	,	74795	,	-16838	,	-13545	,	-53.905987	,	2
10,8	,	74826	,	-16873	,	-13558	,	-50.37889	,	4
10,8	,	74842	,	-16854	,	-13558	,	-46.402775	,	7
10,8	,	74858	,	-16909	,	-13573	,	-42.459377	,	10
10,8	,	74891	,	-16879	,	-13577	,	-39.060547	,	13
10,8	,	74907	,	-16885	,	-13582	,	-36.3377	,	16
10,8	,	74922	,	-16890	,	-13590	,	-33.88764	,	18
10,8	,	74954	,	-16886	,	-13588	,	-31.296598	,	20
10,8	,	74970	,	-16883	,	-13597	,	-28.337261	,	21
10,8	,	75002	,	-16878	,	-13599	,	-24.853008	,	22
10,8	,	75018	,	-16890	,	-13601	,	-20.868885	,	23
10,8	,	75034	,	-16925	,	-13610	,	-16.86779	,	23
10,8	,	75066	,	-16925	,	-13603	,	-13.778568	,	24
10,8	,	75082	,	-16931	,	-13608	,	-12.318466	,	24
10,8	,	75098	,	-16901	,	-13611	,	-12.346788	,	22
10,8	,	75130	,	-16907	,	-13620	,	-12.941956	,	20
10,8	,	75146	,	-16924	,	-13620	,	-13.214432	,	18
10,8	,	75178	,	-16958	,	-13623	,	-13.128841	,	16
10,8	,	75194	,	-16942	,	-13627	,	-13.298195	,	14
10,8	,	75211	,	-16933	,	-13631	,	-13.971586	,	11
10,8	,	75242	,	-16971	,	-13634	,	-14.855955	,	8
10,8	,	75258	,	-16943	,	-13642	,	-15.759235	,	4
10,8	,	75274	,	-16982	,	-13651	,	-16.65465	,	1
10,8	,	75306	,	-16992	,	-13641	,	-17.660347	,	0
10,8	,	75322	,	-16974	,	-13656	,	-18.971468	,	0
10,8	,	75338	,	-17007	,	-13664	,	-20.462437	,	0
10,8	,	75370	,	-17020	,	-13676	,	-21.99968	,	0
10,8	,	75386	,	-17037	,	-13681	,	-23.791492	,	0
10,8	,	75418	,	-17050	,	-13685	,	-26.056059	,	0
10,8	,	75434	,	-17065	,	-13694	,	-28.81021	,	0
10,8	,	75450	,	-17080	,	-13695	,	-31.926346	,	0
10,8	,	75482	,	-17087	,	-13713	,	-35.170372	,	0
10,8	,	75498	,	-17096	,	-13723	,	-38.19574	,	0
10,8	,	75514	,	-17128	,	-13740	,	-40.7224	,	0
10,8	,	75546	,	-17140	,	-13740	,	-42.798553	,	0
10,8	,	75562	,	-17193	,	-13788	,	-44.826756	,	0
10,8	,	75594	,	-17218	,	-13800	,	-47.471096	,	0
10,8	,	75610	,	-17249	,	-13821	,	-51.33156	,	0
10,8	,	75626	,	-17263	,	-13831	,	-56.47657	,	0
10,8	,	75658	,	-17285	,	-13836	,	-62.368095	,	0
10,8	,	75674	,	-17296	,	-13850	,	-68.14287	,	0
10,8	,	75690	,	-17324	,	-13853	,	-72.97403	,	0
10,8	,	75722	,	-17328	,	-13852	,	-76.31239	,	0
10,8	,	75738	,	-17333	,	-13863	,	-77.79423	,	0
10,9	,	75754	,	-17326	,	-13870	,	-77.04564	,	0
10,9	,	75786	,	-17336	,	-13849	,	-73.79228	,	0
10,9	,	75802	,	-17346	,	-13855	,	-68.1896	,	3
10,9	,	75834	,	-17340	,	-13856	,	-60.85492	,	8
10,9	,	75850	,	-17339	,	-13854	,	-52.48215	,	15
10,9	,	75866	,	-17340	,	-13845	,	-43.620285	,	23
10,9	,	75898	,	-17331	,	-13840	,	-34.736015	,	31
10,9	,	75914	,	-17331	,	-13841	,	-26.20823	,	39
10,9	,	75930	,	-17319	,	-13834	,	-18.287876	,	47
10,9	,	75962	,	-17293	,	-13830	,	-10.987389	,	54
10,9	,	75978	,	-17287	,	-13824	,	-4.030408	,	61
10,9	,	76010	,	-17277	,	-13827	,	2.8202152	,	64
10,9	,	76026	,	-17267	,	-13795	,	9.48758	,	65
10,9	,	76042	,	-17224	,	-13786	,	15.868837	,	64
10,9	,	76074	,	-17212	,	-13778	,	22.172693	,	62
10,9	,	76090	,	-17199	,	-13770	,	28.61438	,	60
10,9	,	76106	,	-17176	,	-13757	,	35.04547	,	58
10,9	,	76138	,	-17160	,	-13751	,	41.148888	,	56
10,9	,	76154	,	-17143	,	-13748	,	46.650764	,	55
10,9	,	76186	,	-17147	,	-13742	,	51.212074	,	53
10,9	,	76202	,	-17107	,	-13735	,	54.485214	,	51
10,9	,	76218	,	-17124	,	-13731	,	56.34715	,	48
10,9	,	76250	,	-17111	,	-13738	,	56.732597	,	43
10,9	,	76266	,	-17110	,	-13723	,	55.500816	,	37
10,9	,	76282	,	-17095	,	-13723	,	52.72291	,	31
10,9	,	76314	,	-17103	,	-13717	,	48.730164	,	25
10,9	,	76330	,	-17096	,	-13716	,	43.87655	,	19
10,9	,	76346	,	-17095	,	-13713	,	38.47679	,	13
10,9	,	76378	,	-17098	,	-13712	,	32.84288	,	8
10,9	,	76394	,	-17089	,	-13708	,	27.267916	,	4
10,9	,	76426	,	-17097	,	-13716	,	22.02308	,	1
10,9	,	76442	,	-17088	,	-13715	,	17.313286	,	0
10,9	,	76458	,	-17083	,	-13714	,	13.303051	,	0
10,9	,	76490	,	-17088	,	-13716	,	10.142747	,	0
10,9	,	76506	,	-17056	,	-13710	,	7.9711275	,	0
