Data recorded on Mon Jul 24 11-02-27 CAT 2017
Time: 11:2:38
Time		Millis		bpm		Period		SpO2
2,47	,	37858	,	60	,	1039	,	99.76671
2,47	,	38898	,	60	,	1040	,	99.68358
2,48	,	39906	,	60	,	1008	,	99.90164
2,49	,	40897	,	60	,	991	,	100.26398
2,50	,	42002	,	59	,	1105	,	100.73621
2,51	,	43088	,	58	,	1086	,	100.795906
2,52	,	44160	,	58	,	1072	,	101.18534
2,53	,	45152	,	58	,	992	,	101.01042
2,54	,	46127	,	58	,	975	,	101.14313
2,55	,	47167	,	58	,	1040	,	101.242516
2,56	,	48206	,	58	,	1039	,	101.052376
2,57	,	49198	,	58	,	992	,	100.900925
2,58	,	50094	,	58	,	896	,	101.064674
2,59	,	50973	,	59	,	879	,	100.75998
3,0	,	51917	,	60	,	944	,	100.702835
3,1	,	52957	,	60	,	1040	,	100.465614
3,2	,	54012	,	60	,	1055	,	100.528694
3,3	,	55004	,	60	,	991	,	100.334145
3,4	,	55963	,	61	,	959	,	100.53673
3,5	,	56955	,	61	,	992	,	100.55334
3,6	,	57979	,	61	,	1024	,	100.73842
3,7	,	58986	,	61	,	1007	,	100.73065
3,8	,	59946	,	60	,	960	,	101.08874
3,9	,	60954	,	60	,	1008	,	101.04657
3,10	,	61993	,	59	,	1039	,	101.29651
3,11	,	63033	,	59	,	1040	,	101.57628
3,12	,	63976	,	60	,	943	,	101.20689
3,13	,	64968	,	60	,	992	,	101.774086
3,14	,	65991	,	59	,	1023	,	101.689186
3,15	,	67063	,	59	,	1072	,	101.445526
3,16	,	68119	,	59	,	1056	,	101.39418
3,17	,	69079	,	59	,	960	,	101.33528
3,18	,	70086	,	59	,	1007	,	101.007805
3,19	,	71110	,	59	,	1024	,	100.96014
3,20	,	72166	,	58	,	1056	,	100.59149
3,21	,	73093	,	59	,	927	,	100.650375
3,22	,	74052	,	59	,	959	,	101.04174
3,23	,	75060	,	59	,	1008	,	100.736145
3,24	,	76084	,	59	,	1024	,	100.50545
3,25	,	77060	,	60	,	976	,	100.4033
3,26	,	78019	,	60	,	959	,	100.14241
3,27	,	79027	,	60	,	1008	,	100.27102
3,28	,	80098	,	59	,	1071	,	99.915665
3,29	,	81138	,	59	,	1040	,	100.18926
3,30	,	82034	,	60	,	896	,	99.846466
3,31	,	83009	,	60	,	975	,	99.964966
3,32	,	84049	,	60	,	1040	,	99.41096
3,33	,	85136	,	59	,	1087	,	99.58147
3,34	,	86130	,	59	,	994	,	99.35345
3,35	,	87136	,	59	,	1006	,	99.77654
3,36	,	88176	,	59	,	1040	,	99.45711
3,37	,	89247	,	58	,	1071	,	99.23279
3,38	,	90254	,	59	,	1007	,	99.43122
3,39	,	91262	,	59	,	1008	,	99.18295
3,40	,	92318	,	58	,	1056	,	100.028595
3,41	,	93325	,	58	,	1007	,	99.753426
3,42	,	94285	,	58	,	960	,	100.41157
3,43	,	95261	,	59	,	976	,	99.73782
3,44	,	96268	,	59	,	1007	,	100.04657
3,45	,	97372	,	58	,	1104	,	99.5228
3,46	,	98380	,	58	,	1008	,	99.856155
