Data recorded on Mon Jul 24 11-28-05 CAT 2017
Time: 11:28:23
Time		Millis		objTemp		dieTemp		sensorVoltage
28,32	,	29762	,	1.62	,	-0.03	,	-1.0
28,32	,	33777	,	1.62	,	-0.03	,	-1.0
28,36	,	37791	,	1.62	,	-0.03	,	-1.0
28,40	,	41806	,	1.62	,	-0.03	,	-1.0
28,44	,	45805	,	1.62	,	-0.03	,	-1.0
28,48	,	49819	,	1.62	,	-0.03	,	-1.0
28,52	,	53833	,	1.62	,	-0.03	,	-1.0
28,56	,	57848	,	1.62	,	-0.03	,	-1.0
29,0	,	61862	,	1.62	,	-0.03	,	-1.0
29,4	,	65877	,	1.62	,	-0.03	,	-1.0
29,8	,	69892	,	1.62	,	-0.03	,	-1.0
29,12	,	73906	,	1.62	,	-0.03	,	-1.0
29,16	,	77920	,	1.62	,	-0.03	,	-1.0
29,20	,	81935	,	1.62	,	-0.03	,	-1.0
29,24	,	85950	,	1.62	,	-0.03	,	-1.0
29,28	,	89948	,	1.62	,	-0.03	,	-1.0
