Data recorded on Mon Jul 24 12-02-54 CAT 2017
Time: 12:3:1
Time		Millis		objTemp		dieTemp		sensorVoltage
3,10	,	13712	,	36.73	,	34.44	,	-55.0
3,10	,	17742	,	36.65	,	34.44	,	-61.0
3,14	,	21741	,	36.65	,	34.44	,	-62.0
3,18	,	25755	,	36.64	,	34.47	,	-61.0
3,22	,	29770	,	36.68	,	34.47	,	-62.0
3,26	,	33784	,	36.67	,	34.47	,	-63.0
3,30	,	37798	,	36.65	,	34.5	,	-60.0
3,34	,	41813	,	36.73	,	34.5	,	-65.0
3,38	,	45827	,	36.66	,	34.53	,	-64.0
3,42	,	49842	,	36.7	,	34.53	,	-63.0
3,46	,	53856	,	36.72	,	34.53	,	-61.0
3,50	,	57871	,	36.75	,	34.53	,	-64.0
3,54	,	61885	,	36.76	,	34.56	,	-62.0
3,58	,	65900	,	36.76	,	34.56	,	-62.0
4,2	,	69914	,	36.76	,	34.56	,	-62.0
4,6	,	73928	,	36.75	,	34.56	,	-63.0
