Data recorded on Mon Jul 24 12-26-59 CAT 2017
Time: 12:27:9
Time		Millis		bpm		Period		SpO2
27,18	,	22449	,	69	,	895	,	99.347115
27,18	,	23297	,	69	,	848	,	99.51691
27,19	,	24113	,	69	,	816	,	98.997154
27,20	,	24896	,	70	,	783	,	98.91959
27,20	,	25616	,	71	,	720	,	99.03965
27,21	,	26416	,	71	,	800	,	98.95126
27,22	,	27247	,	72	,	831	,	98.93972
27,23	,	28079	,	72	,	832	,	99.17763
27,24	,	29119	,	71	,	1040	,	99.01803
27,25	,	30095	,	70	,	976	,	98.62471
27,26	,	31054	,	69	,	959	,	98.39571
27,27	,	32014	,	68	,	960	,	97.851166
27,28	,	33005	,	67	,	991	,	98.143074
27,29	,	33965	,	66	,	960	,	98.081184
27,30	,	34924	,	64	,	959	,	97.93446
27,30	,	35756	,	64	,	832	,	98.122375
27,31	,	36540	,	64	,	784	,	98.74753
27,32	,	37340	,	64	,	800	,	98.57408
27,33	,	38123	,	66	,	783	,	98.6745
27,34	,	38987	,	67	,	864	,	99.272125
27,35	,	39962	,	67	,	975	,	99.62665
27,36	,	40890	,	67	,	928	,	100.05765
27,36	,	41802	,	68	,	912	,	100.133675
27,37	,	42665	,	68	,	863	,	99.93187
27,38	,	43465	,	70	,	800	,	100.4184
27,39	,	44217	,	70	,	752	,	100.58037
27,40	,	45048	,	70	,	831	,	100.57899
27,41	,	45944	,	69	,	896	,	100.90167
27,42	,	46888	,	68	,	944	,	101.35822
27,43	,	47863	,	67	,	975	,	101.376114
27,43	,	48807	,	67	,	944	,	101.189095
27,44	,	49671	,	68	,	864	,	101.15552
27,45	,	50454	,	69	,	783	,	101.32354
27,46	,	51238	,	70	,	784	,	101.7065
27,47	,	52118	,	69	,	880	,	101.49683
27,48	,	53014	,	68	,	896	,	101.299324
27,49	,	53941	,	67	,	927	,	101.02396
27,49	,	54805	,	67	,	864	,	100.93422
27,50	,	55621	,	68	,	816	,	101.10642
27,51	,	56452	,	69	,	831	,	101.11046
27,52	,	57348	,	70	,	896	,	101.26248
27,53	,	58292	,	69	,	944	,	101.193726
27,54	,	59203	,	68	,	911	,	101.03839
27,55	,	60083	,	67	,	880	,	101.19119
27,56	,	60899	,	68	,	816	,	101.13517
27,56	,	61778	,	68	,	879	,	101.521545
27,57	,	62690	,	68	,	912	,	101.66218
27,58	,	63633	,	68	,	943	,	101.60765
27,59	,	64577	,	67	,	944	,	101.640305
28,0	,	65457	,	66	,	880	,	101.66271
28,1	,	66257	,	67	,	800	,	101.86028
28,2	,	67184	,	67	,	927	,	102.05676
28,3	,	68128	,	67	,	944	,	101.98066
28,4	,	69087	,	66	,	959	,	101.884865
28,5	,	70079	,	65	,	992	,	101.82621
28,6	,	70990	,	65	,	911	,	101.708435
28,6	,	71838	,	65	,	848	,	101.30484
28,7	,	72670	,	66	,	832	,	101.42203
28,8	,	73549	,	66	,	879	,	101.42734
28,9	,	74525	,	66	,	976	,	101.25738
28,10	,	75453	,	65	,	928	,	101.13147
28,11	,	76381	,	65	,	928	,	101.011116
28,12	,	77212	,	66	,	831	,	101.04815
28,13	,	78044	,	67	,	832	,	100.92547
28,14	,	78939	,	67	,	895	,	101.09055
28,15	,	79899	,	67	,	960	,	100.899185
28,15	,	80826	,	66	,	927	,	101.30171
28,16	,	81786	,	65	,	960	,	101.11115
28,17	,	82618	,	66	,	832	,	101.14462
