Data recorded on Mon Jul 24 13-18-46 CAT 2017
Time: 13:18:54
Time		Millis		bpm		Period		SpO2
19,3	,	27547	,	76	,	639	,	93.25541
19,3	,	28171	,	78	,	624	,	93.25644
19,3	,	28827	,	79	,	656	,	93.07115
19,4	,	29450	,	81	,	623	,	93.42628
19,5	,	30074	,	92	,	624	,	94.60394
19,5	,	30698	,	93	,	624	,	94.91264
19,6	,	31306	,	95	,	608	,	95.996254
19,7	,	31961	,	95	,	655	,	97.224
19,7	,	32633	,	95	,	672	,	98.790344
19,8	,	33321	,	93	,	688	,	99.80988
19,9	,	34040	,	92	,	719	,	100.46139
19,9	,	34824	,	90	,	784	,	100.273315
19,10	,	35640	,	88	,	816	,	100.632286
19,11	,	36456	,	85	,	816	,	100.887146
19,12	,	37303	,	83	,	847	,	100.82212
19,13	,	38135	,	80	,	832	,	100.533
19,14	,	38951	,	78	,	816	,	100.745705
19,14	,	39799	,	76	,	848	,	100.9454
19,15	,	40551	,	75	,	752	,	100.99874
19,16	,	41334	,	74	,	783	,	101.28862
19,17	,	42102	,	74	,	768	,	101.32799
19,18	,	42917	,	74	,	815	,	101.68617
19,18	,	43717	,	74	,	800	,	101.48199
19,19	,	44516	,	74	,	799	,	101.5119
19,20	,	45268	,	75	,	752	,	101.25235
19,21	,	46020	,	76	,	752	,	101.366585
19,21	,	46788	,	76	,	768	,	101.11445
19,22	,	47540	,	77	,	752	,	101.21717
19,23	,	48275	,	77	,	735	,	101.02283
19,24	,	49059	,	77	,	784	,	100.95053
19,25	,	49875	,	77	,	816	,	100.791245
19,25	,	50754	,	76	,	879	,	100.73924
19,26	,	51586	,	76	,	832	,	100.74405
19,27	,	52386	,	76	,	800	,	100.98431
19,28	,	53138	,	76	,	752	,	100.87327
19,29	,	53905	,	76	,	767	,	100.958145
19,29	,	54641	,	76	,	736	,	101.02152
19,30	,	55393	,	76	,	752	,	101.01068
19,31	,	56064	,	77	,	671	,	100.80315
19,31	,	56752	,	78	,	688	,	100.756905
19,32	,	57424	,	79	,	672	,	100.84257
19,33	,	58128	,	81	,	704	,	100.77096
19,34	,	58895	,	82	,	767	,	100.74177
19,34	,	59711	,	81	,	816	,	100.57059
19,35	,	60511	,	81	,	800	,	100.934265
19,36	,	61278	,	81	,	767	,	100.9937
19,37	,	62030	,	81	,	752	,	101.10925
19,37	,	62798	,	81	,	768	,	101.06399
19,38	,	63582	,	79	,	784	,	101.26865
19,39	,	64365	,	78	,	783	,	101.13353
19,40	,	65117	,	78	,	752	,	100.86424
19,41	,	65853	,	77	,	736	,	100.84475
19,41	,	66620	,	77	,	767	,	100.79448
19,42	,	67372	,	78	,	752	,	100.73986
19,43	,	68156	,	78	,	784	,	100.31485
19,44	,	68859	,	79	,	703	,	100.35673
19,44	,	69515	,	80	,	656	,	99.98817
19,45	,	70235	,	80	,	720	,	99.91379
19,46	,	70955	,	81	,	720	,	99.86912
19,46	,	71771	,	81	,	816	,	100.06337
19,47	,	72586	,	80	,	815	,	100.39278
19,48	,	73386	,	79	,	800	,	100.49704
19,49	,	74186	,	79	,	800	,	100.5492
19,50	,	74970	,	79	,	784	,	100.76606
19,50	,	75753	,	79	,	783	,	100.956825
19,51	,	76585	,	77	,	832	,	100.79283
19,52	,	77384	,	76	,	799	,	100.96008
19,53	,	78136	,	75	,	752	,	101.14835
19,54	,	78872	,	75	,	736	,	101.273994
19,54	,	79592	,	76	,	720	,	101.26757
19,55	,	80327	,	77	,	735	,	101.22507
19,56	,	81047	,	78	,	720	,	101.27164
19,57	,	81847	,	78	,	800	,	101.57527
19,57	,	82567	,	79	,	720	,	101.53761
19,58	,	83334	,	79	,	767	,	101.81326
19,59	,	84118	,	79	,	784	,	102.01914
20,0	,	84933	,	79	,	815	,	102.35665
20,0	,	85765	,	78	,	832	,	102.35621
20,1	,	86597	,	77	,	832	,	102.31576
20,2	,	87381	,	77	,	784	,	102.46801
