Data recorded on Mon Jul 24 14-16-28 CAT 2017
Time: 14:16:46
Time		Millis		bpm		Period		SpO2
16,55	,	31927	,	65	,	911	,	90.15451
16,55	,	32791	,	65	,	864	,	88.57777
16,55	,	33703	,	64	,	912	,	88.92893
16,57	,	35526	,	60	,	1500	,	89.57101
16,58	,	36406	,	60	,	880	,	87.83865
16,59	,	37254	,	60	,	848	,	92.84223
17,0	,	38133	,	59	,	879	,	92.22408
17,1	,	39029	,	63	,	896	,	93.586266
17,2	,	39941	,	63	,	912	,	94.85386
17,3	,	40884	,	62	,	943	,	95.03491
17,4	,	41764	,	63	,	880	,	95.2182
17,4	,	42612	,	63	,	848	,	97.222
17,5	,	43427	,	63	,	815	,	97.27602
17,6	,	44259	,	68	,	832	,	98.343056
17,7	,	45155	,	68	,	896	,	98.66637
17,8	,	46114	,	67	,	959	,	98.55685
17,9	,	47106	,	66	,	992	,	98.90713
17,10	,	48049	,	66	,	943	,	97.91413
17,11	,	48993	,	66	,	944	,	97.62162
17,12	,	49889	,	66	,	896	,	97.16077
17,13	,	50865	,	65	,	976	,	95.40428
17,13	,	51744	,	65	,	879	,	95.40671
17,14	,	52575	,	65	,	831	,	93.01788
17,15	,	53471	,	65	,	896	,	93.16632
17,16	,	54303	,	65	,	832	,	93.58103
17,17	,	55134	,	66	,	831	,	93.54238
17,18	,	55998	,	67	,	864	,	94.19455
17,19	,	56974	,	67	,	976	,	94.62656
17,20	,	57854	,	67	,	880	,	94.522736
17,21	,	59565	,	63	,	1500	,	94.009995
17,22	,	60461	,	63	,	896	,	94.063324
17,23	,	61292	,	64	,	831	,	93.74602
17,24	,	62188	,	63	,	896	,	95.91272
17,25	,	63051	,	64	,	863	,	95.636635
17,26	,	63915	,	63	,	864	,	96.23386
17,26	,	64715	,	64	,	800	,	94.83188
17,27	,	65610	,	63	,	895	,	94.64839
17,28	,	66506	,	64	,	896	,	94.256325
17,29	,	67354	,	64	,	848	,	94.638985
17,30	,	68217	,	69	,	863	,	95.47647
17,31	,	69017	,	70	,	800	,	95.046616
17,32	,	69817	,	70	,	800	,	95.29169
17,32	,	70665	,	70	,	848	,	94.26831
17,33	,	71416	,	71	,	751	,	93.24624
17,34	,	72312	,	71	,	896	,	93.60358
17,35	,	73111	,	71	,	799	,	94.5582
17,36	,	74039	,	71	,	928	,	94.86529
17,37	,	74983	,	70	,	944	,	95.073074
17,38	,	75814	,	70	,	831	,	92.94191
17,39	,	76758	,	70	,	944	,	92.55253
17,39	,	77558	,	70	,	800	,	93.17865
17,40	,	78437	,	69	,	879	,	93.255775
17,41	,	79285	,	69	,	848	,	94.342674
17,42	,	80117	,	68	,	832	,	93.49518
17,43	,	80948	,	69	,	831	,	93.03361
17,44	,	81796	,	69	,	848	,	93.10725
17,44	,	82724	,	69	,	928	,	92.81853
17,45	,	83587	,	69	,	863	,	93.604706
17,46	,	84483	,	69	,	896	,	93.70359
17,47	,	85379	,	69	,	896	,	94.15706
17,48	,	86259	,	68	,	880	,	94.80275
17,49	,	87202	,	68	,	943	,	94.70701
17,50	,	88050	,	68	,	848	,	94.52151
17,51	,	88882	,	68	,	832	,	93.98537
17,52	,	89825	,	67	,	943	,	94.26308
17,53	,	90817	,	66	,	992	,	93.64932
17,53	,	91713	,	66	,	896	,	94.08554
17,54	,	92608	,	66	,	895	,	93.73126
