SatsActual		SatsHeadband_meanAbs		SatsActual_meanAbs_beats		SatsHeadband_rms
96.422	,	99.047	,	99.052	,	99.312
97	,	99.156	,	99.064	,	99.474
100	,	99.861	,	99.401	,	99.795
100	,	99.343	,	98.308	,	99.312
100	,	97.369	,	97.388	,	97.672
99.963	,	97.541	,	97.552	,	97.94
98.835	,	99.749	,	99.796	,	100.01
98.89	,	98.57	,	98.636	,	98.64
98.229	,	98.317	,	98.376	,	98.61
98.165	,	98.397	,	98.336	,	98.72
97.073	,	98.912	,	98.852	,	99.167
97	,	98.539	,	98.58	,	98.64
100	,	98.658	,	98.767	,	99.075
100	,	99.858	,	99.78	,	100.31
99.22	,	99.574	,	99.546	,	99.884
98.275	,	98.501	,	98.512	,	98.839
99.229	,	97.334	,	97.574	,	97.552
98.991	,	92.083	,	92.799	,	91.491
99.642	,	99.832	,	99.628	,	100.09
99.312	,	100.45	,	100.5	,	100.77
99.239	,	100.85	,	100.84	,	100.94
99.844	,	99.903	,	99.832	,	99.919
99.982	,	97.942	,	97.998	,	98.303
100	,	97.177	,	97.175	,	97.673
98.982	,	94.368	,	94.75	,	94.523
98.523	,	96.14	,	96.127	,	96.487
99.376	,	99.342	,	99.29	,	99.57
99.211	,	97.468	,	97.47	,	97.75
99.275	,	100.5	,	100.44	,	100.71
98.826	,	100.42	,	100.34	,	100.34
99.927	,	95.672	,	95.094	,	95.504
