Data recorded on Fri Jun 23 11:48:54 CAT 2017
Time: 11:49:2
Time		Millis		IR PPG		Red PPG		Filtered		SSF
49,6	,	45797	,	-30168	,	-28350	,	-3.7350466	,	0
49,6	,	45813	,	-30182	,	-28352	,	-3.74814	,	0
49,6	,	45830	,	-30180	,	-28352	,	-4.189112	,	0
49,6	,	45861	,	-30193	,	-28354	,	-5.093109	,	0
49,6	,	45877	,	-30174	,	-28360	,	-6.3489017	,	0
49,6	,	45909	,	-30169	,	-28337	,	-7.540289	,	0
49,6	,	45925	,	-30156	,	-28346	,	-8.038296	,	0
49,6	,	45941	,	-30167	,	-28339	,	-7.4157968	,	0
49,6	,	45973	,	-30142	,	-28341	,	-5.6497383	,	0
49,6	,	45989	,	-30147	,	-28339	,	-2.9025042	,	1
49,6	,	46021	,	-30143	,	-28332	,	0.5491588	,	3
49,6	,	46037	,	-30145	,	-28341	,	4.2180486	,	6
49,6	,	46053	,	-30132	,	-28330	,	7.6020455	,	9
49,6	,	46085	,	-30143	,	-28338	,	10.378652	,	12
49,6	,	46101	,	-30130	,	-28337	,	12.348581	,	14
49,6	,	46117	,	-30136	,	-28340	,	13.431816	,	15
49,6	,	46149	,	-30150	,	-28343	,	13.589302	,	16
49,6	,	46165	,	-30145	,	-28327	,	12.711685	,	16
49,6	,	46182	,	-30141	,	-28335	,	10.862532	,	15
49,6	,	46213	,	-30136	,	-28329	,	8.454849	,	13
49,6	,	46229	,	-30131	,	-28326	,	6.046188	,	10
49,6	,	46261	,	-30125	,	-28335	,	4.1230536	,	7
49,6	,	46277	,	-30126	,	-28340	,	2.9798653	,	4
49,6	,	46293	,	-30124	,	-28334	,	2.6431932	,	2
49,6	,	46326	,	-30122	,	-28328	,	2.9358397	,	1
49,6	,	46341	,	-30120	,	-28331	,	3.626299	,	0
49,6	,	46357	,	-30120	,	-28326	,	4.493833	,	0
49,6	,	46389	,	-30127	,	-28333	,	5.293696	,	0
49,6	,	46405	,	-30131	,	-28317	,	5.7356725	,	0
49,6	,	46437	,	-30134	,	-28325	,	5.5693507	,	0
49,6	,	46453	,	-30137	,	-28327	,	4.6977983	,	0
49,6	,	46469	,	-30127	,	-28351	,	3.250424	,	0
49,6	,	46501	,	-30120	,	-28319	,	1.6230927	,	0
49,6	,	46517	,	-30136	,	-28324	,	0.24735522	,	0
49,6	,	46533	,	-30126	,	-28327	,	-0.7384523	,	0
49,6	,	46565	,	-30143	,	-28332	,	-1.445752	,	0
49,6	,	46581	,	-30153	,	-28338	,	-2.1367323	,	0
49,6	,	46597	,	-30145	,	-28334	,	-3.1149597	,	0
49,6	,	46629	,	-30154	,	-28335	,	-4.4344597	,	0
49,6	,	46645	,	-30151	,	-28330	,	-5.903994	,	0
49,6	,	46677	,	-30154	,	-28335	,	-7.288727	,	0
49,6	,	46693	,	-30143	,	-28331	,	-8.331547	,	0
49,6	,	46709	,	-30152	,	-28351	,	-8.786333	,	0
49,6	,	46741	,	-30159	,	-28343	,	-8.617209	,	0
49,6	,	46757	,	-30162	,	-28336	,	-8.08313	,	0
