Data recorded on Fri Jun 23 15:47:54 CAT 2017
Time: 15:48:0
Time		Millis		objTemp		dieTemp		sensorVoltage
48,4	,	21761	,	38.11	,	33.84	,	89.0
48,4	,	25775	,	38.14	,	33.88	,	89.0
48,8	,	29789	,	38.15	,	33.88	,	90.0
48,12	,	33804	,	38.14	,	33.88	,	89.0
48,16	,	37818	,	38.15	,	33.91	,	88.0
48,20	,	41833	,	38.17	,	33.91	,	89.0
48,24	,	45848	,	38.13	,	33.91	,	86.0
48,28	,	49862	,	38.15	,	33.91	,	88.0
48,32	,	53876	,	38.16	,	33.94	,	86.0
48,36	,	57891	,	38.17	,	33.94	,	87.0
48,40	,	61906	,	38.16	,	33.94	,	86.0
48,44	,	65920	,	38.17	,	33.94	,	87.0
48,48	,	69934	,	38.17	,	33.94	,	87.0
48,52	,	73949	,	38.17	,	33.94	,	87.0
48,56	,	77963	,	38.16	,	33.94	,	86.0
49,0	,	81962	,	38.22	,	33.97	,	88.0
