Data recorded on Mon Jun 26 15:28:24 CAT 2017
Time: 15:28:29
Time		Millis		bpm		Period		SpO2
28,33	,	22128	,	62	,	944	,	99.124245
28,33	,	23119	,	62	,	991	,	98.83308
28,34	,	24191	,	61	,	1072	,	99.98042
28,35	,	25183	,	62	,	992	,	100.763275
28,36	,	26206	,	61	,	1023	,	101.22417
28,38	,	27262	,	60	,	1056	,	102.01656
28,38	,	28237	,	60	,	975	,	101.96649
28,39	,	29245	,	59	,	1008	,	101.90562
28,41	,	30316	,	58	,	1071	,	101.83191
28,42	,	31372	,	58	,	1056	,	102.04738
28,43	,	32380	,	58	,	1008	,	102.05204
28,44	,	33387	,	58	,	1007	,	102.18536
28,45	,	34410	,	58	,	1023	,	101.762825
28,46	,	35354	,	58	,	944	,	101.51213
28,47	,	36329	,	59	,	975	,	101.44981
28,48	,	37353	,	59	,	1024	,	101.72054
28,49	,	38329	,	59	,	976	,	101.664604
28,49	,	39256	,	59	,	927	,	101.92548
28,51	,	40264	,	60	,	1008	,	102.00438
28,52	,	41320	,	60	,	1056	,	101.86165
28,53	,	42327	,	60	,	1007	,	102.09639
28,54	,	43335	,	60	,	1008	,	102.19023
28,55	,	44438	,	59	,	1103	,	102.16539
28,56	,	45478	,	59	,	1040	,	102.07553
28,57	,	46454	,	59	,	976	,	102.17092
28,58	,	47525	,	58	,	1071	,	102.03098
28,59	,	48565	,	58	,	1040	,	102.07946
29,0	,	49572	,	58	,	1007	,	101.83525
29,1	,	50580	,	58	,	1008	,	101.75862
29,2	,	51652	,	58	,	1072	,	101.706764
29,3	,	52675	,	58	,	1023	,	101.668175
29,4	,	53635	,	58	,	960	,	101.77726
29,5	,	54674	,	58	,	1039	,	101.501625
29,6	,	55714	,	58	,	1040	,	101.82637
29,7	,	56753	,	58	,	1039	,	101.648895
29,8	,	57729	,	58	,	976	,	101.59551
29,9	,	58736	,	58	,	1007	,	101.57772
29,10	,	59824	,	58	,	1088	,	101.80693
29,11	,	60799	,	58	,	975	,	101.76808
29,12	,	61807	,	59	,	1008	,	101.98901
29,13	,	62910	,	58	,	1103	,	101.98564
29,14	,	63886	,	58	,	976	,	101.524376
29,15	,	64894	,	58	,	1008	,	102.114685
29,16	,	65965	,	58	,	1071	,	102.03525
29,17	,	67021	,	58	,	1056	,	102.251465
29,18	,	68029	,	58	,	1008	,	102.17892
29,19	,	69052	,	58	,	1023	,	102.19223
29,20	,	70092	,	58	,	1040	,	101.952225
29,21	,	71051	,	58	,	959	,	101.81898
29,22	,	72011	,	58	,	960	,	101.67186
29,23	,	73114	,	58	,	1103	,	101.74947
29,24	,	74186	,	58	,	1072	,	101.9713
29,25	,	75193	,	58	,	1007	,	101.55982
29,27	,	76281	,	58	,	1088	,	101.499985
29,28	,	77368	,	58	,	1087	,	101.168045
29,29	,	78408	,	57	,	1040	,	101.10819
29,30	,	79464	,	57	,	1056	,	101.01162
29,31	,	80551	,	57	,	1087	,	100.12959
29,32	,	81575	,	57	,	1024	,	100.444336
