Data recorded on Tue Jun 27 18-11-27 CAT 2017
Time: 18:11:55
Time		Millis		IR PPG		Red PPG		Filtered		SSF
12,4	,	74628	,	-26184	,	-24396	,	-4.755634	,	0
12,4	,	74661	,	-26189	,	-24393	,	-5.5144386	,	0
12,4	,	74677	,	-26195	,	-24395	,	-6.0369143	,	0
12,4	,	74708	,	-26208	,	-24397	,	-6.4547634	,	0
12,4	,	74724	,	-26201	,	-24400	,	-6.994438	,	0
12,4	,	74741	,	-26202	,	-24412	,	-7.691025	,	0
12,4	,	74772	,	-26211	,	-24384	,	-8.387609	,	0
12,4	,	74788	,	-26215	,	-24397	,	-9.007637	,	0
12,4	,	74804	,	-26209	,	-24393	,	-9.552795	,	0
12,4	,	74837	,	-26219	,	-24407	,	-9.950448	,	0
12,4	,	74853	,	-26221	,	-24407	,	-10.154148	,	0
12,4	,	74869	,	-26221	,	-24402	,	-10.207054	,	0
12,4	,	74900	,	-26224	,	-24403	,	-10.131042	,	0
12,4	,	74916	,	-26219	,	-24398	,	-9.885874	,	0
12,4	,	74948	,	-26234	,	-24418	,	-9.450006	,	0
12,4	,	74964	,	-26215	,	-24405	,	-8.858776	,	0
12,4	,	74980	,	-26209	,	-24418	,	-8.011995	,	0
12,4	,	75013	,	-26195	,	-24374	,	-6.588374	,	0
12,4	,	75029	,	-26185	,	-24389	,	-4.270497	,	1
12,4	,	75045	,	-26169	,	-24386	,	-0.9059415	,	3
12,4	,	75076	,	-26181	,	-24381	,	3.364706	,	6
12,4	,	75092	,	-26168	,	-24382	,	8.012247	,	10
12,4	,	75124	,	-26181	,	-24393	,	12.315135	,	14
12,4	,	75140	,	-26172	,	-24384	,	15.628664	,	18
12,4	,	75156	,	-26174	,	-24382	,	17.569988	,	21
12,4	,	75188	,	-26174	,	-24376	,	18.08492	,	22
12,4	,	75205	,	-26168	,	-24377	,	17.352657	,	22
12,4	,	75220	,	-26176	,	-24393	,	15.680582	,	21
12,4	,	75253	,	-26172	,	-24371	,	13.3836355	,	19
12,4	,	75268	,	-26158	,	-24381	,	10.809792	,	16
12,4	,	75284	,	-26164	,	-24377	,	8.41681	,	12
12,4	,	75316	,	-26168	,	-24376	,	6.5155025	,	8
12,4	,	75332	,	-26150	,	-24381	,	5.164571	,	4
12,4	,	75364	,	-26152	,	-24369	,	4.4336634	,	1
12,4	,	75381	,	-26161	,	-24385	,	4.337643	,	0
12,4	,	75396	,	-26167	,	-24373	,	4.568112	,	0
12,4	,	75428	,	-26150	,	-24383	,	4.7227564	,	0
12,4	,	75444	,	-26159	,	-24381	,	4.68696	,	0
12,4	,	75460	,	-26169	,	-24381	,	4.4660254	,	0
12,4	,	75492	,	-26164	,	-24372	,	3.9286935	,	0
12,4	,	75508	,	-26166	,	-24393	,	3.0047295	,	0
12,4	,	75540	,	-26174	,	-24377	,	1.784524	,	0
12,4	,	75556	,	-26169	,	-24379	,	0.3725574	,	0
12,4	,	75572	,	-26184	,	-24378	,	-1.1517316	,	0
12,4	,	75604	,	-26183	,	-24386	,	-2.7635784	,	0
12,4	,	75620	,	-26180	,	-24379	,	-4.421558	,	0
12,5	,	75636	,	-26186	,	-24383	,	-5.9545536	,	0
12,5	,	75668	,	-26186	,	-24379	,	-7.1892	,	0
12,5	,	75684	,	-26186	,	-24387	,	-8.041355	,	0
12,5	,	75700	,	-26189	,	-24384	,	-8.470261	,	0
12,5	,	75732	,	-26200	,	-24379	,	-8.545598	,	0
12,5	,	75748	,	-26209	,	-24392	,	-8.52775	,	0
12,5	,	75780	,	-26201	,	-24379	,	-8.684424	,	0
12,5	,	75796	,	-26203	,	-24387	,	-9.008587	,	0
12,5	,	75812	,	-26211	,	-24385	,	-9.316544	,	0
12,5	,	75844	,	-26214	,	-24383	,	-9.541588	,	0
12,5	,	75860	,	-26214	,	-24397	,	-9.72077	,	0
12,5	,	75876	,	-26206	,	-24401	,	-9.796497	,	0
12,5	,	75908	,	-26192	,	-24393	,	-9.504464	,	0
12,5	,	75924	,	-26184	,	-24387	,	-8.440563	,	0
12,5	,	75956	,	-26163	,	-24382	,	-6.2414703	,	1
