Data recorded on Tue Jun 27 18-11-27 CAT 2017
Time: 18:11:55
Time		Millis		objTemp		dieTemp		sensorVoltage
12,4	,	73938	,	37.46	,	33.72	,	51.0
12,7	,	77952	,	37.48	,	33.72	,	52.0
12,11	,	81967	,	37.51	,	33.75	,	52.0
12,15	,	85981	,	37.51	,	33.78	,	50.0
12,19	,	89996	,	37.51	,	33.78	,	50.0
12,23	,	94010	,	37.55	,	33.78	,	53.0
12,27	,	98024	,	37.63	,	33.81	,	56.0
12,31	,	102039	,	37.62	,	33.84	,	53.0
12,35	,	106037	,	37.62	,	33.84	,	54.0
12,39	,	110067	,	37.66	,	33.88	,	54.0
12,43	,	114082	,	37.7	,	33.88	,	57.0
12,47	,	118081	,	37.7	,	33.91	,	54.0
12,51	,	122111	,	37.71	,	33.91	,	55.0
12,55	,	126109	,	37.71	,	33.91	,	56.0
12,59	,	130124	,	37.72	,	33.94	,	52.0
13,3	,	134154	,	37.71	,	33.94	,	53.0
