RAW Data export file (comma separated)


Client:	Andre,Bestbier
Session:	Andre_III 
Date:	28-06-2017
Time:	08:47:58
Duration:	161	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-6.745,781.527,,
-21.115,781.527,,
-16.877,781.527,,
-12.082,781.527,,
-6.890,582.459,,
-1.513,582.459,,
3.784,582.459,,
8.782,582.459,,
13.091,582.457,,
16.457,582.457,,
18.765,582.457,,
20.223,582.457,,
20.690,582.402,,
20.349,582.402,,
19.028,582.402,,
16.631,582.402,,
13.564,582.441,,
9.854,582.441,,
5.899,582.441,,
1.856,582.441,,
-2.493,582.487,,
-6.617,582.487,,
-10.439,582.487,,
-14.079,582.487,,
-17.229,582.454,,
-20.102,582.454,,
-22.724,582.454,,
-25.033,582.454,,
-26.920,582.477,,
-28.413,582.477,,
-29.955,582.477,,
-31.517,582.477,,
-33.147,582.511,,
-34.718,582.511,,
-35.973,582.511,,
-36.950,582.511,,
-37.456,582.480,,
-37.495,582.480,,
-37.353,582.480,,
-36.722,582.480,,
-35.686,582.472,,
-34.031,582.472,,
-32.032,582.472,,
-30.119,582.472,,
-28.099,582.541,,
-25.996,582.541,,
-23.920,582.541,,
-21.863,582.541,,
-20.160,582.520,,
-18.767,582.520,,
-17.822,582.520,,
-17.179,582.520,,
-16.762,582.497,,
-16.745,582.497,,
-16.909,582.497,,
-17.563,582.497,,
-18.778,582.559,,
-19.989,582.559,,
-21.242,582.559,,
-22.331,582.559,,
-23.296,582.554,,
-24.584,582.554,,
-25.828,582.554,,
-27.036,582.554,,
-28.258,582.505,,
-29.265,582.505,,
-30.228,582.505,,
-31.052,582.505,,
-31.830,582.576,,
-32.560,582.576,,
-33.137,582.576,,
-33.797,582.576,,
-34.384,582.589,,
-34.871,582.589,,
-35.317,582.589,,
-35.563,582.589,,
-35.641,582.546,,
-35.500,582.546,,
-35.266,582.546,,
-35.186,582.546,,
-34.906,582.587,,
-34.628,582.587,,
-34.222,582.587,,
-33.601,582.587,,
-33.105,582.623,,
-32.619,582.623,,
-32.170,582.623,,
-31.713,582.623,,
-31.022,582.597,,
-30.566,582.597,,
-30.294,582.597,,
-30.231,582.597,,
-30.245,582.608,,
-30.040,582.608,,
-29.803,582.608,,
-29.649,582.608,,
-29.748,582.615,,
-29.959,582.615,,
-29.831,582.615,,
-29.574,582.615,,
-29.083,582.542,,
-28.129,582.542,,
-26.652,582.542,,
-24.155,582.542,,
-20.940,582.511,,
-16.974,582.511,,
-12.332,582.511,,
-7.637,582.511,,
-2.867,582.606,,
1.809,582.606,,
6.196,582.606,,
10.169,582.606,,
13.275,582.619,,
15.387,582.619,,
16.267,582.619,,
16.020,582.619,,
14.846,582.617,,
12.780,582.617,,
10.082,582.617,,
7.072,582.617,,
3.705,582.727,,
0.070,582.727,,
-3.772,582.727,,
-7.597,582.727,,
-11.346,582.801,,
-15.156,582.801,,
-18.454,582.801,,
-21.481,582.801,,
-24.210,582.795,,
-26.415,582.795,,
-28.610,582.795,,
-30.505,582.795,,
-32.127,582.892,,
-33.509,582.892,,
-34.467,582.892,,
-35.461,582.892,,
-36.348,582.984,,
-37.155,582.984,,
-37.831,582.984,,
-38.007,582.984,,
-37.954,582.963,,
-37.598,582.963,,
-36.940,582.963,,
-36.094,582.963,,
-34.714,583.042,,
-32.929,583.042,,
-30.814,583.042,,
-28.466,583.042,,
-26.417,583.138,,
-24.635,583.138,,
-23.214,583.138,,
-22.026,583.138,,
-20.930,583.150,,
-20.363,583.150,,
-20.169,583.150,,
-20.091,583.150,,
-20.287,583.196,,
-20.655,583.196,,
-21.250,583.196,,
-21.954,583.196,,
-22.787,583.298,,
-23.887,583.298,,
-24.944,583.298,,
-26.015,583.298,,
-27.047,583.327,,
-28.025,583.327,,
-29.117,583.327,,
-29.941,583.327,,
-30.615,583.336,,
-31.198,583.336,,
-31.575,583.336,,
-32.087,583.336,,
-32.556,583.453,,
-33.029,583.453,,
-33.375,583.453,,
-33.468,583.453,,
-33.709,583.504,,
-34.096,583.504,,
-34.475,583.504,,
-34.744,583.504,,
-34.597,583.519,,
-34.337,583.519,,
-34.106,583.519,,
-33.847,583.519,,
-33.708,583.618,,
-33.533,583.618,,
-33.471,583.618,,
-33.352,583.618,,
-33.065,583.666,,
-32.855,583.666,,
-32.577,583.666,,
-32.210,583.666,,
-31.817,583.635,,
-31.263,583.635,,
-30.950,583.635,,
-30.725,583.635,,
-30.510,583.680,,
-30.312,583.680,,
-29.946,583.680,,
-29.662,583.680,,
-29.460,583.716,,
-29.212,583.716,,
-29.064,583.716,,
-28.635,583.716,,
-27.918,583.675,,
-26.686,583.675,,
-24.831,583.675,,
-22.292,583.675,,
-18.622,583.686,,
-14.261,583.686,,
-9.570,583.686,,
-4.777,583.686,,
-0.305,583.732,,
3.918,583.732,,
7.503,583.732,,
10.215,583.732,,
12.095,583.704,,
12.915,583.704,,
12.896,583.704,,
11.992,583.704,,
10.064,583.656,,
7.496,583.656,,
4.341,583.656,,
0.770,583.656,,
-2.848,583.738,,
-6.396,583.738,,
-9.778,583.738,,
-13.226,583.738,,
-16.705,583.702,,
-20.038,583.702,,
-23.199,583.702,,
-25.806,583.702,,
-27.855,583.624,,
-29.547,583.624,,
-31.019,583.624,,
-32.544,583.624,,
-33.854,583.663,,
-34.774,583.663,,
-35.625,583.663,,
-36.366,583.663,,
-37.162,583.643,,
-37.770,583.643,,
-37.982,583.643,,
-37.748,583.643,,
-36.795,583.547,,
-35.425,583.547,,
-33.989,583.547,,
-32.404,583.547,,
-30.610,583.553,,
-28.590,583.553,,
-26.328,583.553,,
-24.072,583.553,,
-22.123,583.546,,
-20.648,583.546,,
-19.527,583.546,,
-18.683,583.546,,
-18.048,583.440,,
-17.556,583.440,,
-17.589,583.440,,
-18.034,583.440,,
-18.530,583.392,,
-19.257,583.392,,
-20.080,583.392,,
-21.237,583.392,,
-22.595,583.391,,
-23.877,583.391,,
-25.195,583.391,,
-26.407,583.391,,
-27.442,583.310,,
-28.446,583.310,,
-29.362,583.310,,
-30.258,583.310,,
-30.916,583.250,,
-31.256,583.250,,
-31.546,583.250,,
-31.987,583.250,,
-32.626,583.257,,
-33.013,583.257,,
-33.112,583.257,,
-33.154,583.257,,
-32.954,583.188,,
-32.916,583.188,,
-32.979,583.188,,
-32.997,583.188,,
-33.017,583.072,,
-32.753,583.072,,
-32.566,583.072,,
-32.475,583.072,,
-32.290,583.088,,
-32.168,583.088,,
-31.888,583.088,,
-31.604,583.088,,
-31.440,583.054,,
-31.206,583.054,,
-31.079,583.054,,
-30.765,583.054,,
-30.308,582.903,,
-29.931,582.903,,
-29.663,582.903,,
-29.646,582.903,,
-29.436,582.880,,
-28.903,582.880,,
-28.162,582.880,,
-26.865,582.880,,
-24.993,582.824,,
-22.440,582.824,,
-19.096,582.824,,
-15.315,582.824,,
-11.006,582.707,,
-6.462,582.707,,
-2.056,582.707,,
2.131,582.707,,
5.641,582.689,,
8.288,582.689,,
10.134,582.689,,
11.184,582.689,,
11.528,582.707,,
10.897,582.707,,
9.533,582.707,,
7.459,582.707,,
4.716,582.632,,
1.524,582.632,,
-2.010,582.632,,
-5.493,582.632,,
-8.922,582.650,,
-12.425,582.650,,
-15.709,582.650,,
-18.906,582.650,,
-21.894,582.691,,
-24.276,582.691,,
-26.466,582.691,,
-28.466,582.691,,
-30.243,582.633,,
-31.908,582.633,,
