Data recorded on Wed Jun 28 08-48-07 CAT 2017
Time: 8:48:20
Time		Millis		bpm		Period		SpO2
48,29	,	35242	,	78	,	832	,	99.73738
48,29	,	36026	,	77	,	784	,	99.463394
48,30	,	36841	,	76	,	815	,	99.57627
48,31	,	37625	,	75	,	784	,	99.51129
48,31	,	38408	,	75	,	783	,	99.47473
48,32	,	39224	,	74	,	816	,	99.33756
48,33	,	39992	,	74	,	768	,	99.77758
48,34	,	40791	,	74	,	799	,	99.96254
48,35	,	41607	,	74	,	816	,	101.670586
48,35	,	42455	,	74	,	848	,	102.22048
48,36	,	43318	,	74	,	863	,	102.38896
48,37	,	44102	,	74	,	784	,	102.2675
48,38	,	44949	,	74	,	847	,	101.75656
48,39	,	45749	,	73	,	800	,	102.14617
48,40	,	46580	,	73	,	831	,	101.98765
48,40	,	47428	,	73	,	848	,	101.34537
48,41	,	48227	,	72	,	799	,	101.69849
48,42	,	49059	,	72	,	832	,	101.18117
48,43	,	49843	,	72	,	784	,	101.01168
48,44	,	50626	,	73	,	783	,	101.60359
48,44	,	51410	,	74	,	784	,	101.25553
48,45	,	52210	,	74	,	800	,	101.319305
48,46	,	52993	,	74	,	783	,	101.419304
48,47	,	53808	,	74	,	815	,	101.109406
48,48	,	54656	,	74	,	848	,	100.73605
48,48	,	55392	,	75	,	736	,	101.07115
48,49	,	56191	,	75	,	799	,	100.8187
48,50	,	57023	,	75	,	832	,	101.49788
48,51	,	57822	,	75	,	799	,	101.58977
48,52	,	58686	,	74	,	864	,	101.31246
48,52	,	59470	,	74	,	784	,	101.330666
48,53	,	60237	,	74	,	767	,	101.68624
48,54	,	61005	,	74	,	768	,	102.093285
48,55	,	61821	,	74	,	816	,	102.60584
48,56	,	62652	,	75	,	831	,	102.68181
48,56	,	63452	,	74	,	800	,	102.3666
48,57	,	64267	,	74	,	815	,	101.961235
48,58	,	65051	,	74	,	784	,	101.65927
48,59	,	65883	,	74	,	832	,	101.88799
49,0	,	66746	,	74	,	863	,	102.11508
49,1	,	67578	,	74	,	832	,	102.619514
49,1	,	68409	,	73	,	831	,	102.862785
49,2	,	69129	,	73	,	720	,	102.52948
49,3	,	69913	,	74	,	784	,	102.449646
49,4	,	70680	,	74	,	767	,	102.625244
49,5	,	71544	,	74	,	864	,	102.30856
49,5	,	72328	,	74	,	784	,	102.73967
49,6	,	73111	,	74	,	783	,	102.762955
49,7	,	73879	,	75	,	768	,	102.69786
49,8	,	74662	,	75	,	783	,	102.87046
49,9	,	75494	,	75	,	832	,	102.29582
49,9	,	76373	,	75	,	879	,	102.5711
49,10	,	77205	,	74	,	832	,	102.50482
49,11	,	77988	,	74	,	783	,	101.50183
49,12	,	78756	,	74	,	768	,	101.378975
49,13	,	79524	,	75	,	768	,	102.030235
49,13	,	80340	,	74	,	816	,	101.81482
49,14	,	81171	,	74	,	831	,	101.760315
49,15	,	82002	,	73	,	831	,	101.64396
49,16	,	82882	,	72	,	880	,	101.112366
49,17	,	83618	,	73	,	736	,	101.171684
49,17	,	84417	,	74	,	799	,	100.98487
49,18	,	85201	,	75	,	784	,	101.44403
49,19	,	85985	,	75	,	784	,	101.89239
49,20	,	86784	,	74	,	799	,	101.810394
49,21	,	87648	,	73	,	864	,	101.866646
49,21	,	88448	,	74	,	800	,	101.46176
49,22	,	89215	,	74	,	767	,	101.5168
49,23	,	89935	,	75	,	720	,	101.15274
49,24	,	90718	,	76	,	783	,	101.546715
49,25	,	91534	,	75	,	816	,	101.60724
49,25	,	92333	,	75	,	799	,	101.50873
49,26	,	93213	,	74	,	880	,	101.62363
49,27	,	94029	,	74	,	816	,	101.65544
49,28	,	94828	,	74	,	799	,	101.33876
