Data recorded on Wed Jun 28 08-48-07 CAT 2017
Time: 8:48:20
Time		Millis		IR PPG		Red PPG		Filtered		SSF
48,29	,	35498	,	-23543	,	-20695	,	-1.0878918	,	0
48,29	,	35514	,	-23540	,	-20669	,	-0.5298333	,	0
48,29	,	35546	,	-23528	,	-20677	,	0.06472844	,	0
48,29	,	35562	,	-23543	,	-20675	,	0.6473849	,	0
48,29	,	35594	,	-23542	,	-20673	,	1.1280707	,	0
48,29	,	35610	,	-23554	,	-20683	,	1.2598174	,	0
48,29	,	35626	,	-23535	,	-20673	,	0.90394187	,	0
48,29	,	35658	,	-23547	,	-20674	,	0.22049195	,	0
48,29	,	35674	,	-23538	,	-20697	,	-0.50668204	,	0
48,29	,	35690	,	-23545	,	-20680	,	-1.0943413	,	0
48,29	,	35722	,	-23550	,	-20676	,	-1.5124846	,	0
48,29	,	35738	,	-23558	,	-20676	,	-1.9046195	,	0
48,29	,	35754	,	-23540	,	-20693	,	-2.4035363	,	0
48,29	,	35786	,	-23557	,	-20684	,	-2.92432	,	0
48,29	,	35801	,	-23560	,	-20688	,	-3.3893747	,	0
48,29	,	35834	,	-23552	,	-20680	,	-3.8633323	,	0
48,29	,	35850	,	-23547	,	-20677	,	-4.2762446	,	0
48,29	,	35866	,	-23531	,	-20679	,	-4.3089647	,	0
48,29	,	35898	,	-23528	,	-20673	,	-3.574004	,	0
48,29	,	35914	,	-23519	,	-20698	,	-1.8556662	,	0
48,29	,	35930	,	-23528	,	-20681	,	0.71405816	,	1
48,29	,	35961	,	-23536	,	-20685	,	3.6073885	,	3
48,29	,	35978	,	-23531	,	-20679	,	6.1137037	,	5
48,29	,	36010	,	-23532	,	-20671	,	7.750221	,	7
48,29	,	36026	,	-23522	,	-20664	,	8.447401	,	8
48,29	,	36042	,	-23543	,	-20675	,	8.348256	,	8
48,29	,	36073	,	-23527	,	-20680	,	7.5627246	,	8
48,29	,	36089	,	-23539	,	-20687	,	6.224228	,	8
48,29	,	36105	,	-23539	,	-20681	,	4.530753	,	8
48,29	,	36138	,	-23521	,	-20677	,	2.7284374	,	7
48,29	,	36154	,	-23520	,	-20699	,	1.2441485	,	5
48,29	,	36170	,	-23534	,	-20664	,	0.43368292	,	3
48,29	,	36201	,	-23531	,	-20691	,	0.20223475	,	1
48,29	,	36218	,	-23533	,	-20681	,	0.21906248	,	0
48,29	,	36250	,	-23525	,	-20682	,	0.29310107	,	0
48,29	,	36266	,	-23516	,	-20674	,	0.46995187	,	0
48,29	,	36282	,	-23538	,	-20688	,	0.8354229	,	0
48,29	,	36314	,	-23543	,	-20687	,	1.1675208	,	0
48,29	,	36330	,	-23538	,	-20686	,	1.0654799	,	0
48,29	,	36346	,	-23541	,	-20677	,	0.4085313	,	0
48,29	,	36377	,	-23535	,	-20675	,	-0.60602254	,	0
48,29	,	36393	,	-23561	,	-20690	,	-1.7880912	,	0
48,29	,	36425	,	-23558	,	-20682	,	-3.1925507	,	0
48,29	,	36441	,	-23547	,	-20674	,	-4.8653545	,	0
48,29	,	36457	,	-23554	,	-20692	,	-6.521701	,	0
48,30	,	36489	,	-23554	,	-20687	,	-7.7962418	,	0
48,30	,	36505	,	-23547	,	-20696	,	-8.494652	,	0
48,30	,	36521	,	-23567	,	-20695	,	-8.599309	,	0
48,30	,	36553	,	-23563	,	-20692	,	-8.338077	,	0
48,30	,	36569	,	-23570	,	-20690	,	-8.036424	,	0
48,30	,	36585	,	-23571	,	-20683	,	-7.875616	,	0
48,30	,	36617	,	-23558	,	-20687	,	-7.8203697	,	0
48,30	,	36633	,	-23556	,	-20704	,	-7.599037	,	0
48,30	,	36665	,	-23556	,	-20676	,	-6.903446	,	0
48,30	,	36681	,	-23538	,	-20693	,	-5.576174	,	0
48,30	,	36697	,	-23543	,	-20687	,	-3.5508654	,	1
48,30	,	36729	,	-23547	,	-20695	,	-0.97089386	,	3
48,30	,	36745	,	-23528	,	-20680	,	1.7949097	,	5
48,30	,	36761	,	-23538	,	-20681	,	4.4581337	,	7
48,30	,	36793	,	-23538	,	-20697	,	6.7911973	,	9
48,30	,	36809	,	-23554	,	-20686	,	8.424863	,	11
48,30	,	36841	,	-23542	,	-20690	,	9.002268	,	12
48,30	,	36857	,	-23539	,	-20691	,	8.515192	,	12
48,30	,	36873	,	-23543	,	-20700	,	7.317211	,	12
48,30	,	36905	,	-23549	,	-20681	,	5.7621355	,	11
48,30	,	36921	,	-23545	,	-20688	,	4.0344954	,	9
48,30	,	36937	,	-23553	,	-20683	,	2.2598524	,	7
48,30	,	36969	,	-23562	,	-20694	,	0.48671436	,	5
48,30	,	36985	,	-23553	,	-20687	,	-1.3040946	,	3
48,30	,	37017	,	-23545	,	-20689	,	-2.9502192	,	1
48,30	,	37033	,	-23540	,	-20694	,	-4.0580482	,	0
48,30	,	37049	,	-23555	,	-20689	,	-4.3743563	,	0
48,30	,	37081	,	-23560	,	-20697	,	-4.09687	,	0
48,30	,	37097	,	-23549	,	-20694	,	-3.6354308	,	0
48,30	,	37113	,	-23564	,	-20705	,	-3.2289515	,	0
48,30	,	37145	,	-23560	,	-20696	,	-2.994657	,	0
48,30	,	37161	,	-23561	,	-20696	,	-3.0030193	,	0
48,30	,	37177	,	-23557	,	-20704	,	-3.1813955	,	0
48,30	,	37209	,	-23560	,	-20703	,	-3.3723526	,	0
48,30	,	37225	,	-23566	,	-20709	,	-3.4880414	,	0
48,30	,	37257	,	-23567	,	-20702	,	-3.572589	,	0
48,30	,	37273	,	-23573	,	-20699	,	-3.7350588	,	0
48,30	,	37289	,	-23558	,	-20702	,	-3.9916093	,	0
48,30	,	37321	,	-23567	,	-20708	,	-4.1804056	,	0
48,30	,	37337	,	-23555	,	-20698	,	-4.0921955	,	0
48,30	,	37353	,	-23576	,	-20713	,	-3.6824546	,	0
48,30	,	37385	,	-23580	,	-20704	,	-3.2091427	,	0
48,30	,	37401	,	-23583	,	-20716	,	-3.0842037	,	0
48,30	,	37433	,	-23574	,	-20704	,	-3.466722	,	0
48,30	,	37449	,	-23558	,	-20702	,	-4.0482173	,	0
48,30	,	37465	,	-23558	,	-20700	,	-4.2402754	,	0
48,31	,	37497	,	-23550	,	-20707	,	-3.5961204	,	0
48,31	,	37513	,	-23548	,	-20703	,	-2.0287905	,	0
48,31	,	37529	,	-23566	,	-20697	,	0.18032324	,	1
48,31	,	37561	,	-23563	,	-20701	,	2.4141495	,	3
48,31	,	37577	,	-23550	,	-20711	,	4.1183753	,	5
48,31	,	37593	,	-23560	,	-20708	,	5.1630898	,	6
48,31	,	37625	,	-23561	,	-20709	,	5.6048994	,	7
48,31	,	37641	,	-23563	,	-20707	,	5.4481683	,	7
48,31	,	37673	,	-23588	,	-20699	,	4.6216526	,	7
48,31	,	37689	,	-23575	,	-20702	,	2.987393	,	7
48,31	,	37705	,	-23560	,	-20703	,	0.71753883	,	7
48,31	,	37737	,	-23581	,	-20702	,	-1.603003	,	6
48,31	,	37753	,	-23578	,	-20710	,	-3.5687063	,	4
48,31	,	37769	,	-23581	,	-20708	,	-5.135708	,	2
48,31	,	37801	,	-23564	,	-20706	,	-6.233967	,	1
48,31	,	37817	,	-23559	,	-20705	,	-6.587116	,	0
48,31	,	37849	,	-23564	,	-20716	,	-5.9485817	,	0
48,31	,	37864	,	-23563	,	-20698	,	-4.4243603	,	0
48,31	,	37880	,	-23572	,	-20711	,	-2.45821	,	1
48,31	,	37913	,	-23571	,	-20702	,	-0.58409214	,	2
48,31	,	37929	,	-23586	,	-20698	,	0.73550606	,	3
48,31	,	37945	,	-23578	,	-20702	,	1.1956816	,	4
48,31	,	37977	,	-23585	,	-20702	,	0.76712966	,	4
48,31	,	37993	,	-23582	,	-20712	,	-0.31143925	,	4
48,31	,	38009	,	-23588	,	-20707	,	-1.7174182	,	4
48,31	,	38041	,	-23595	,	-20705	,	-3.221004	,	4
48,31	,	38057	,	-23585	,	-20712	,	-4.6916547	,	4
48,31	,	38088	,	-23600	,	-20709	,	-5.9950876	,	3
48,31	,	38104	,	-23583	,	-20704	,	-6.9913197	,	2
48,31	,	38120	,	-23594	,	-20716	,	-7.541698	,	1
48,31	,	38153	,	-23592	,	-20712	,	-7.57432	,	0
48,31	,	38169	,	-23592	,	-20713	,	-7.161174	,	0
48,31	,	38185	,	-23593	,	-20712	,	-6.4228983	,	0
48,31	,	38217	,	-23583	,	-20708	,	-5.4354315	,	0
48,31	,	38232	,	-23588	,	-20705	,	-4.2216625	,	0
48,31	,	38265	,	-23571	,	-20704	,	-2.7738135	,	1
48,31	,	38281	,	-23575	,	-20701	,	-1.0519419	,	2
48,31	,	38297	,	-23570	,	-20705	,	0.93344676	,	3
48,31	,	38329	,	-23576	,	-20707	,	2.9928026	,	4
48,31	,	38345	,	-23571	,	-20703	,	4.8264747	,	6
48,31	,	38360	,	-23553	,	-20706	,	6.2943254	,	7
