Data recorded on Wed Jun 28 08-48-07 CAT 2017
Time: 8:48:20
Time		Millis		objTemp		dieTemp		sensorVoltage
48,29	,	33783	,	36.64	,	32.59	,	73.0
48,31	,	37797	,	36.58	,	32.59	,	69.0
48,35	,	41811	,	36.6	,	32.59	,	70.0
48,39	,	45825	,	36.62	,	32.63	,	69.0
48,43	,	49839	,	36.63	,	32.63	,	70.0
48,47	,	53852	,	36.66	,	32.63	,	72.0
48,51	,	57866	,	36.63	,	32.63	,	70.0
48,55	,	61881	,	36.67	,	32.66	,	71.0
48,59	,	65894	,	36.67	,	32.66	,	71.0
49,3	,	69909	,	36.67	,	32.66	,	71.0
49,7	,	73923	,	36.67	,	32.66	,	71.0
49,11	,	77937	,	36.67	,	32.66	,	71.0
49,15	,	81950	,	36.67	,	32.66	,	71.0
49,19	,	85965	,	36.69	,	32.66	,	72.0
49,23	,	89979	,	36.69	,	32.66	,	72.0
49,27	,	93992	,	36.72	,	32.69	,	72.0
