Data recorded on Fri Jun 23 11:48:54 CAT 2017
Time: 11:49:2
Time		Millis		objTemp		dieTemp		sensorVoltage
49,6	,	41910	,	36.77	,	31.91	,	132.0
49,6	,	45924	,	36.81	,	32.0	,	128.0
49,10	,	49939	,	36.84	,	32.06	,	126.0
49,14	,	53953	,	36.93	,	32.13	,	128.0
49,18	,	57968	,	36.98	,	32.19	,	127.0
49,22	,	61982	,	37.03	,	32.22	,	128.0
49,26	,	65997	,	37.1	,	32.28	,	129.0
49,30	,	70011	,	37.16	,	32.31	,	131.0
49,34	,	74026	,	37.14	,	32.34	,	127.0
49,38	,	78024	,	37.15	,	32.38	,	126.0
49,42	,	82039	,	37.2	,	32.41	,	127.0
49,46	,	86053	,	37.23	,	32.47	,	125.0
49,50	,	90068	,	37.22	,	32.5	,	122.0
49,54	,	94082	,	37.23	,	32.53	,	120.0
49,58	,	98097	,	37.23	,	32.56	,	118.0
50,2	,	102111	,	37.26	,	32.59	,	118.0
