Time		Height
1097.907429	,	7.875564
2233.652275	,	6.492291
3330.501750	,	7.634336
4466.246597	,	6.683063
5625.328666	,	7.254600
6667.724621	,	7.478090
7811.248541	,	8.511753
8923.656165	,	5.821671
9973.831194	,	9.436097
11078.459743	,	10.436078
12183.088292	,	7.718060
13171.030727	,	8.963994
14291.217425	,	11.350848
15395.845974	,	10.023829
16453.800078	,	9.255192
17558.428627	,	11.759173
18639.719953	,	8.203345
19689.894982	,	11.716771
20794.523532	,	10.716752
21953.605601	,	6.693289
22949.327110	,	7.086160
24038.397511	,	8.113268
25197.479580	,	5.032805
26317.666278	,	6.758659
27445.632050	,	6.050450
28635.830416	,	6.347732
29709.342668	,	7.961968
30821.750292	,	10.184886
31980.832361	,	7.452422
33031.007390	,	6.971848
34151.194088	,	8.670703
35302.497083	,	8.344303
36399.346558	,	9.316348
37496.196033	,	12.536393
38655.278102	,	10.477929
39658.778685	,	8.000736
40802.302606	,	11.383400
41961.384675	,	8.482937
42996.001556	,	7.733490
44092.851031	,	13.034535
45298.607546	,	7.617690
46449.910541	,	8.176291
47593.434461	,	9.379954
48799.190976	,	7.816110
49927.156748	,	9.228901
50961.773629	,	9.451454
52066.402178	,	10.504435
53194.367950	,	9.391226
54221.205757	,	10.181842
55349.171529	,	11.454633
56500.474524	,	9.984233
57573.986776	,	14.171469
58694.173473	,	10.927323
59822.139245	,	10.372114
60887.872423	,	9.490413
62015.838195	,	8.596204
63027.117853	,	5.662947
64069.513808	,	9.311437
65220.816803	,	8.929037
66270.991832	,	6.262463
67251.155193	,	8.286460
68309.109296	,	10.932823
69413.737845	,	10.198804
70479.471023	,	6.822103
71537.425126	,	9.651465
72673.169973	,	11.027193
73770.019448	,	9.482237
74757.961883	,	6.964171
75753.683392	,	9.064042
76858.311941	,	11.494023
77916.266044	,	8.166386
78841.975885	,	7.182828
79829.918320	,	7.377762
80965.663166	,	10.950489
82015.838195	,	9.979915
82996.001556	,	6.863912
84061.734734	,	9.364211
85197.479580	,	9.549939
86232.096461	,	9.230492
87235.597044	,	7.403299
88293.551147	,	10.522661
89444.854142	,	9.043261
90479.471023	,	9.547814
91537.425126	,	9.577177
92696.507196	,	11.798713
93793.356671	,	6.549758
94781.299105	,	6.145692
95823.695060	,	8.753182
96920.544535	,	8.301226
97931.824193	,	8.236970
98904.208479	,	8.426031
99938.825360	,	9.426584
101020.116686	,	10.796756
102039.175418	,	7.962436
103003.780630	,	7.810560
103999.502139	,	9.777431
105127.467911	,	7.980222
106076.514975	,	6.327473
107017.782964	,	8.510788
108052.399844	,	9.246341
109149.249319	,	9.418386
110152.749903	,	8.966193
111117.355115	,	7.462318
112136.413847	,	10.732998
113264.379619	,	8.247788
114291.217425	,	7.252405
115294.718009	,	10.364212
116352.672112	,	11.565574
117465.079736	,	9.320492
118468.580319	,	7.821299
119487.639051	,	9.113979
