Data recorded on Mon Jun 26 15:28:24 CAT 2017
Time: 15:28:29
Time		Millis		IR PPG		Red PPG		Filtered		SSF
28,33	,	22272	,	-22623	,	-20566	,	10.195366	,	6
28,33	,	22288	,	-22618	,	-20561	,	8.767718	,	3
28,33	,	22304	,	-22623	,	-20563	,	7.4929023	,	1
28,33	,	22335	,	-22621	,	-20559	,	6.3635497	,	0
28,33	,	22351	,	-22631	,	-20562	,	5.2878113	,	0
28,33	,	22368	,	-22632	,	-20566	,	4.115491	,	0
28,33	,	22400	,	-22629	,	-20562	,	2.7574036	,	0
28,33	,	22416	,	-22626	,	-20576	,	1.3185673	,	0
28,33	,	22447	,	-22630	,	-20548	,	0.012688637	,	0
28,33	,	22463	,	-22638	,	-20561	,	-1.0583887	,	0
28,33	,	22479	,	-22633	,	-20568	,	-1.9435816	,	0
28,33	,	22511	,	-22640	,	-20563	,	-2.6993568	,	0
28,33	,	22527	,	-22646	,	-20565	,	-3.380459	,	0
28,33	,	22543	,	-22645	,	-20570	,	-4.0854993	,	0
28,33	,	22576	,	-22643	,	-20567	,	-4.8296514	,	0
28,33	,	22592	,	-22657	,	-20568	,	-5.5470963	,	0
28,33	,	22623	,	-22653	,	-20575	,	-6.25086	,	0
28,33	,	22639	,	-22663	,	-20573	,	-6.999166	,	0
28,33	,	22655	,	-22664	,	-20587	,	-7.8117185	,	0
28,33	,	22687	,	-22652	,	-20559	,	-8.602091	,	0
28,33	,	22703	,	-22663	,	-20577	,	-9.137571	,	0
28,33	,	22719	,	-22666	,	-20570	,	-9.272664	,	0
28,33	,	22752	,	-22664	,	-20579	,	-9.077149	,	0
28,33	,	22768	,	-22666	,	-20586	,	-8.646313	,	0
28,33	,	22783	,	-22667	,	-20584	,	-8.026352	,	0
28,33	,	22816	,	-22671	,	-20580	,	-7.291739	,	0
28,33	,	22831	,	-22675	,	-20587	,	-6.5736237	,	0
28,33	,	22863	,	-22687	,	-20572	,	-6.0629406	,	0
28,33	,	22879	,	-22676	,	-20580	,	-5.9212313	,	0
28,33	,	22895	,	-22671	,	-20601	,	-6.048541	,	0
28,33	,	22927	,	-22654	,	-20564	,	-6.015647	,	0
28,33	,	22943	,	-22640	,	-20573	,	-5.2456627	,	0
28,33	,	22959	,	-22641	,	-20572	,	-3.3113136	,	0
28,33	,	22992	,	-22632	,	-20574	,	-0.21893239	,	1
28,33	,	23007	,	-22640	,	-20564	,	3.5877275	,	4
28,33	,	23039	,	-22628	,	-20568	,	7.4749904	,	7
28,33	,	23055	,	-22628	,	-20567	,	10.912264	,	10
28,33	,	23071	,	-22630	,	-20569	,	13.567543	,	13
28,33	,	23103	,	-22615	,	-20567	,	15.278465	,	15
28,33	,	23119	,	-22615	,	-20565	,	16.130955	,	16
28,33	,	23135	,	-22620	,	-20578	,	16.320446	,	16
28,33	,	23167	,	-22616	,	-20549	,	15.913031	,	16
28,33	,	23183	,	-22608	,	-20567	,	14.976904	,	15
28,33	,	23199	,	-22610	,	-20562	,	13.731549	,	12
