Data recorded on Tue Jun 27 18-42-54 CAT 2017
Time: 18:43:5
Time		Millis		bpm		Period		SpO2
43,14	,	84189	,	78	,	751	,	101.64286
43,14	,	84989	,	77	,	800	,	101.19377
43,15	,	85820	,	76	,	831	,	100.1919
43,16	,	86620	,	76	,	800	,	100.283035
43,17	,	87499	,	75	,	879	,	100.36864
43,17	,	88379	,	74	,	880	,	100.214035
43,18	,	89227	,	73	,	848	,	100.66054
43,19	,	90106	,	72	,	879	,	100.77092
43,20	,	90970	,	71	,	864	,	100.42101
43,21	,	91769	,	72	,	799	,	100.504395
43,22	,	92649	,	70	,	880	,	100.36449
43,23	,	93496	,	70	,	847	,	100.571915
43,23	,	94328	,	70	,	832	,	100.9969
43,24	,	95239	,	69	,	911	,	100.904465
43,25	,	96135	,	69	,	896	,	100.76734
43,26	,	96999	,	69	,	864	,	100.47101
43,27	,	97942	,	68	,	943	,	99.876114
43,28	,	98838	,	68	,	896	,	100.18671
43,29	,	99813	,	67	,	975	,	100.52682
43,30	,	100757	,	66	,	944	,	100.45511
43,31	,	101684	,	66	,	927	,	100.67116
43,32	,	102676	,	65	,	992	,	100.66846
43,33	,	103603	,	64	,	927	,	100.66517
43,34	,	104499	,	64	,	896	,	100.66125
43,34	,	105395	,	64	,	896	,	100.66882
43,35	,	106242	,	64	,	847	,	100.92368
43,36	,	107074	,	65	,	832	,	101.50316
43,37	,	108001	,	65	,	927	,	101.36145
43,38	,	108912	,	66	,	911	,	101.11911
43,39	,	109856	,	66	,	944	,	101.36065
43,40	,	110816	,	65	,	960	,	101.19509
43,41	,	111759	,	66	,	943	,	100.99688
43,42	,	112687	,	66	,	928	,	101.035385
43,43	,	113646	,	65	,	959	,	101.20048
43,44	,	114542	,	65	,	896	,	101.061775
43,45	,	115486	,	64	,	944	,	101.02647
43,45	,	116413	,	64	,	927	,	100.95565
43,46	,	117309	,	64	,	896	,	100.807755
43,47	,	118252	,	64	,	943	,	100.85471
43,48	,	119212	,	64	,	960	,	100.5199
43,49	,	120155	,	64	,	943	,	100.46673
43,50	,	121163	,	63	,	1008	,	100.90868
43,51	,	122170	,	63	,	1007	,	101.177055
43,52	,	123146	,	63	,	976	,	101.421585
43,53	,	124137	,	62	,	991	,	101.63514
43,54	,	125097	,	62	,	960	,	101.686516
43,55	,	126040	,	62	,	943	,	101.48879
43,56	,	126984	,	62	,	944	,	101.8919
43,57	,	127879	,	62	,	895	,	101.9802
43,58	,	128775	,	62	,	896	,	102.200035
43,59	,	129718	,	62	,	943	,	102.00551
44,0	,	130710	,	62	,	992	,	101.8905
44,1	,	131669	,	63	,	959	,	102.05705
44,2	,	132693	,	62	,	1024	,	101.90875
44,3	,	133653	,	63	,	960	,	101.86923
44,4	,	134628	,	62	,	975	,	102.1335
44,5	,	135603	,	62	,	975	,	102.284874
44,6	,	136515	,	62	,	912	,	102.114876
44,6	,	137379	,	63	,	864	,	102.16739
44,7	,	138306	,	62	,	927	,	102.185165
44,8	,	139217	,	63	,	911	,	102.409096
44,9	,	140097	,	63	,	880	,	102.65712
44,10	,	141056	,	63	,	959	,	102.39828
44,11	,	142032	,	64	,	976	,	102.30844
44,12	,	142928	,	64	,	896	,	102.35772
44,13	,	143903	,	64	,	975	,	101.76279
