RAW Data export file (comma separated)


Client:	John,Sample
Session:	A11 
Date:	23-07-2017
Time:	13:57:31
Duration:	162	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-33.083,765.781,,
-32.857,765.781,,
-32.641,765.781,,
-32.430,765.781,,
-32.233,765.213,,
-32.158,765.213,,
-32.207,765.213,,
-32.264,765.213,,
-32.406,764.659,,
-32.438,764.659,,
-32.481,764.659,,
-32.685,764.659,,
-32.884,764.036,,
-33.031,764.036,,
-33.098,764.036,,
-33.066,764.036,,
-33.156,763.411,,
-33.325,763.411,,
-33.511,763.411,,
-33.597,763.411,,
-33.598,762.849,,
-33.637,762.849,,
-33.743,762.849,,
-33.873,762.849,,
-33.921,762.320,,
-33.879,762.320,,
-33.669,762.320,,
-33.536,762.320,,
-33.653,761.723,,
-33.913,761.723,,
-34.042,761.723,,
-34.127,761.723,,
-34.124,761.177,,
-34.143,761.177,,
-34.237,761.177,,
-34.333,761.177,,
-34.364,760.751,,
-34.363,760.751,,
-34.331,760.751,,
-34.320,760.751,,
-34.269,760.115,,
-34.190,760.115,,
-34.142,760.115,,
-34.066,760.115,,
-33.926,759.199,,
-33.940,759.199,,
-33.906,759.199,,
-33.747,759.199,,
-33.553,758.118,,
-33.390,758.118,,
-33.432,758.118,,
-33.634,758.118,,
-33.708,756.935,,
-33.465,756.935,,
-32.920,756.935,,
-32.324,756.935,,
-31.834,756.010,,
-31.314,756.010,,
-30.738,756.010,,
-30.153,756.010,,
-29.670,755.440,,
-29.389,755.440,,
-29.355,755.440,,
-29.389,755.440,,
-29.401,754.967,,
-29.481,754.967,,
-29.717,754.967,,
-30.140,754.967,,
-30.575,754.632,,
-30.948,754.632,,
-31.256,754.632,,
-31.444,754.632,,
-31.671,754.398,,
-32.063,754.398,,
-32.458,754.398,,
-32.772,754.398,,
-32.968,754.276,,
-33.169,754.276,,
-33.411,754.276,,
-33.621,754.276,,
-33.695,753.934,,
-33.651,753.934,,
-33.552,753.934,,
-33.462,753.934,,
-33.447,753.589,,
-33.501,753.589,,
-33.416,753.589,,
-33.386,753.589,,
-33.317,753.456,,
-33.308,753.456,,
-33.418,753.456,,
-33.664,753.456,,
-33.754,753.330,,
-33.657,753.330,,
-33.514,753.330,,
-33.334,753.330,,
-33.208,753.119,,
-33.168,753.119,,
-33.219,753.119,,
-33.287,753.119,,
-33.267,753.001,,
-33.337,753.001,,
-33.536,753.001,,
-33.599,753.001,,
-33.436,752.956,,
-33.118,752.956,,
-32.851,752.956,,
-32.768,752.956,,
-32.779,752.872,,
-32.812,752.872,,
-32.853,752.872,,
-32.794,752.872,,
-32.804,752.751,,
-32.967,752.751,,
-33.218,752.751,,
-33.519,752.751,,
-33.812,752.693,,
-34.091,752.693,,
-34.364,752.693,,
-34.612,752.693,,
-34.794,752.602,,
-34.817,752.602,,
-34.802,752.602,,
-34.803,752.602,,
-34.883,752.440,,
-34.899,752.440,,
-34.795,752.440,,
-34.621,752.440,,
-34.507,752.375,,
-34.560,752.375,,
-34.758,752.375,,
-34.874,752.375,,
-34.822,752.343,,
-34.531,752.343,,
-34.174,752.343,,
-33.934,752.343,,
-33.795,752.274,,
-33.676,752.274,,
-33.480,752.274,,
-33.185,752.274,,
-32.962,752.475,,
-32.986,752.475,,
-33.100,752.475,,
-33.121,752.475,,
-33.055,752.762,,
-33.020,752.762,,
-33.077,752.762,,
-33.300,752.762,,
-33.459,752.396,,
-33.586,752.396,,
-33.589,752.396,,
-33.584,752.396,,
-33.623,751.681,,
-33.659,751.681,,
-33.567,751.681,,
-33.464,751.681,,
-33.361,750.327,,
-33.455,750.327,,
-33.558,750.327,,
-33.374,750.327,,
-32.915,749.639,,
-32.219,749.639,,
-31.481,749.639,,
-30.949,749.639,,
-30.518,749.434,,
-30.084,749.434,,
-29.605,749.434,,
-29.197,749.434,,
-29.083,749.728,,
-29.288,749.728,,
-29.550,749.728,,
-29.719,749.728,,
-29.834,750.479,,
-30.079,750.479,,
-30.533,750.479,,
-31.075,750.479,,
-31.459,751.387,,
-31.736,751.387,,
-31.917,751.387,,
-32.063,751.387,,
-32.336,752.309,,
-32.659,752.309,,
-32.965,752.309,,
-33.252,752.309,,
-33.464,753.118,,
-33.694,753.118,,
-34.087,753.118,,
-34.395,753.118,,
-34.478,753.950,,
-34.376,753.950,,
-34.324,753.950,,
-34.449,753.950,,
-34.557,755.002,,
-34.567,755.002,,
-34.537,755.002,,
-34.395,755.002,,
-34.275,756.142,,
-34.213,756.142,,
-34.152,756.142,,
-33.973,756.142,,
-33.699,757.317,,
-33.409,757.317,,
-33.208,757.317,,
-33.114,757.317,,
-33.067,758.394,,
-33.026,758.394,,
-33.090,758.394,,
-33.169,758.394,,
-33.439,759.422,,
-33.733,759.422,,
-33.829,759.422,,
-33.753,759.422,,
-33.533,760.620,,
-33.492,760.620,,
-33.748,760.620,,
-34.129,760.620,,
-34.446,761.802,,
-34.595,761.802,,
-34.609,761.802,,
-34.628,761.802,,
-34.574,762.870,,
-34.557,762.870,,
-34.611,762.870,,
-34.618,762.870,,
-34.604,764.062,,
-34.752,764.062,,
-34.928,764.062,,
-35.043,764.062,,
-34.955,765.327,,
-34.734,765.327,,
-34.686,765.327,,
-34.716,765.327,,
-34.699,766.502,,
-34.597,766.502,,
-34.438,766.502,,
-34.394,766.502,,
-34.419,767.717,,
-34.424,767.717,,
-34.226,767.717,,
-34.035,767.717,,
-33.834,769.137,,
-33.719,769.137,,
-33.766,769.137,,
-33.874,769.137,,
-33.884,770.234,,
-33.740,770.234,,
-33.528,770.234,,
-33.388,770.234,,
-33.368,771.063,,
-33.319,771.063,,
-33.244,771.063,,
-33.133,771.063,,
-33.062,771.668,,
-33.190,771.668,,
-33.472,771.668,,
-33.709,771.668,,
-33.862,772.217,,
-33.894,772.217,,
-33.939,772.217,,
-33.983,772.217,,
-33.939,772.928,,
-33.708,772.928,,
-33.257,772.928,,
-32.682,772.928,,
-32.144,774.152,,
-31.630,774.152,,
-31.114,774.152,,
-30.674,774.152,,
-30.369,775.420,,
-30.147,775.420,,
-30.060,775.420,,
-30.090,775.420,,
-30.230,776.220,,
-30.299,776.220,,
-30.281,776.220,,
-30.470,776.220,,
-30.960,776.854,,
-31.447,776.854,,
-31.879,776.854,,
-32.212,776.854,,
-32.588,777.422,,
-33.002,777.422,,
-33.351,777.422,,
-33.581,777.422,,
-33.669,777.301,,
-33.557,777.301,,
-33.518,777.301,,
-33.669,777.301,,
-33.872,776.579,,
-33.964,776.579,,
-34.009,776.579,,
-34.069,776.579,,
-34.130,775.872,,
-34.176,775.872,,
-34.216,775.872,,
-34.208,775.872,,
-34.228,775.215,,
-34.261,775.215,,
-34.309,775.215,,
-34.271,775.215,,
-34.086,774.477,,
-33.690,774.477,,
-33.187,774.477,,
-32.833,774.477,,
-32.766,773.747,,
-32.674,773.747,,
-32.526,773.747,,
-32.431,773.747,,
-32.416,773.171,,
-32.624,773.171,,
-32.947,773.171,,
-33.159,773.171,,
-33.269,772.630,,
-33.257,772.630,,
-33.131,772.630,,
-33.102,772.630,,
-33.164,772.054,,
-33.147,772.054,,
-33.086,772.054,,
-33.113,772.054,,
-33.312,771.556,,
-33.646,771.556,,
-33.908,771.556,,
-33.989,771.556,,
-34.026,771.141,,
-34.062,771.141,,
-34.165,771.141,,
-34.278,771.141,,
-34.199,770.710,,
-34.062,770.710,,
-33.940,770.710,,
