Data recorded on Sun Jul 23 13-57-55 CAT 2017
Time: 13:58:0
Time		Millis		bpm		Period		SpO2
58,9	,	20324	,	71	,	831	,	101.7526
58,9	,	21124	,	71	,	800	,	101.605385
58,10	,	21908	,	72	,	784	,	101.544235
58,11	,	22755	,	72	,	847	,	101.41589
58,12	,	23619	,	72	,	864	,	101.43516
58,12	,	24467	,	72	,	848	,	101.58638
58,13	,	25426	,	71	,	959	,	101.73554
58,14	,	26371	,	70	,	945	,	101.83644
58,15	,	27298	,	69	,	927	,	101.869865
58,16	,	28242	,	68	,	944	,	101.91343
58,17	,	29153	,	68	,	911	,	101.84349
58,18	,	29985	,	67	,	832	,	101.83216
58,19	,	30849	,	67	,	864	,	101.960495
58,20	,	31680	,	67	,	831	,	102.07156
58,20	,	32448	,	68	,	768	,	102.29245
58,21	,	33232	,	68	,	784	,	102.115746
58,22	,	34015	,	69	,	783	,	101.95978
58,23	,	34847	,	70	,	832	,	101.92163
58,24	,	35647	,	71	,	800	,	101.92867
58,24	,	36559	,	72	,	912	,	101.94382
58,25	,	37502	,	71	,	943	,	101.91414
58,26	,	38398	,	71	,	896	,	101.84462
58,27	,	39278	,	71	,	880	,	101.891846
58,28	,	40221	,	70	,	943	,	101.81244
58,29	,	41085	,	69	,	864	,	101.69419
58,30	,	41884	,	69	,	799	,	101.908905
58,31	,	42684	,	69	,	800	,	101.9938
58,31	,	43500	,	69	,	816	,	102.05671
58,32	,	44268	,	69	,	768	,	101.9221
58,33	,	45083	,	70	,	815	,	101.87596
58,34	,	45931	,	71	,	848	,	101.94059
58,35	,	46827	,	71	,	896	,	101.97766
58,36	,	47691	,	71	,	864	,	101.90644
58,36	,	48554	,	72	,	863	,	101.98857
58,37	,	49450	,	71	,	896	,	101.99232
58,38	,	50361	,	70	,	911	,	101.711815
58,39	,	51257	,	70	,	896	,	101.857376
58,40	,	52153	,	69	,	896	,	101.66835
58,41	,	53033	,	68	,	880	,	101.713455
58,42	,	53816	,	68	,	783	,	101.98085
58,43	,	54616	,	69	,	800	,	102.0992
58,43	,	55416	,	69	,	800	,	102.20885
58,44	,	56151	,	70	,	735	,	102.20441
58,45	,	56887	,	72	,	736	,	101.99484
58,46	,	57719	,	72	,	832	,	101.84432
58,47	,	58646	,	72	,	927	,	101.912346
58,48	,	59622	,	71	,	976	,	101.79309
58,48	,	60486	,	72	,	864	,	101.75982
58,49	,	61429	,	71	,	943	,	101.62066
58,50	,	62357	,	70	,	928	,	101.459366
58,51	,	63237	,	69	,	880	,	101.38936
58,52	,	64068	,	69	,	831	,	101.18153
58,53	,	64932	,	68	,	864	,	101.10008
58,54	,	65828	,	67	,	896	,	101.347046
58,55	,	66643	,	67	,	815	,	101.23362
58,55	,	67427	,	68	,	784	,	101.37543
58,56	,	68227	,	69	,	800	,	101.295235
58,57	,	69011	,	70	,	784	,	101.22169
58,58	,	69779	,	71	,	768	,	101.36121
58,58	,	70562	,	73	,	783	,	101.32268
58,59	,	71394	,	73	,	832	,	101.359024
59,0	,	72225	,	73	,	831	,	101.65184
59,1	,	73042	,	73	,	817	,	101.780655
59,2	,	73857	,	74	,	815	,	101.76247
59,3	,	74657	,	74	,	800	,	102.10244
59,3	,	75488	,	74	,	831	,	102.11939
59,4	,	76288	,	74	,	800	,	102.10979
59,5	,	77072	,	74	,	784	,	102.41725
59,6	,	77872	,	74	,	800	,	102.37495
59,7	,	78687	,	73	,	815	,	102.38421
59,7	,	79503	,	74	,	816	,	102.13168
59,8	,	80335	,	73	,	832	,	102.02498
