Data recorded on Sun Jul 23 13-57-55 CAT 2017
Time: 13:58:0
Time		Millis		IR PPG		Red PPG		Filtered		SSF
58,9	,	20612	,	-26319	,	-23470	,	-2.797899	,	3
58,9	,	20644	,	-26337	,	-23444	,	-2.9008372	,	3
58,9	,	20661	,	-26354	,	-23465	,	-3.8842049	,	3
58,9	,	20676	,	-26355	,	-23475	,	-5.9858747	,	3
58,9	,	20708	,	-26360	,	-23472	,	-9.08866	,	3
58,9	,	20724	,	-26366	,	-23472	,	-12.701477	,	3
58,9	,	20740	,	-26372	,	-23471	,	-16.269455	,	3
58,9	,	20772	,	-26375	,	-23485	,	-19.357346	,	2
58,9	,	20788	,	-26392	,	-23484	,	-21.716595	,	1
58,9	,	20820	,	-26393	,	-23494	,	-23.343653	,	0
58,9	,	20836	,	-26404	,	-23502	,	-24.368965	,	0
58,9	,	20852	,	-26418	,	-23502	,	-24.9666	,	0
58,9	,	20884	,	-26404	,	-23479	,	-25.276129	,	0
58,9	,	20900	,	-26337	,	-23467	,	-24.843262	,	0
58,9	,	20916	,	-26325	,	-23450	,	-22.347488	,	0
58,9	,	20948	,	-26298	,	-23449	,	-16.582386	,	2
58,9	,	20964	,	-26294	,	-23448	,	-7.4700985	,	7
58,9	,	20996	,	-26287	,	-23446	,	3.937706	,	16
58,9	,	21012	,	-26289	,	-23442	,	15.943781	,	27
58,9	,	21029	,	-26280	,	-23442	,	26.802664	,	39
58,9	,	21060	,	-26288	,	-23442	,	35.18514	,	49
58,9	,	21076	,	-26276	,	-23444	,	40.34365	,	57
58,9	,	21092	,	-26294	,	-23454	,	42.093056	,	62
58,9	,	21124	,	-26306	,	-23449	,	40.55989	,	63
58,9	,	21140	,	-26316	,	-23451	,	35.981396	,	61
58,9	,	21172	,	-26300	,	-23458	,	28.938726	,	56
58,9	,	21188	,	-26295	,	-23446	,	20.601406	,	47
58,9	,	21204	,	-26288	,	-23451	,	12.434229	,	36
58,9	,	21236	,	-26295	,	-23443	,	5.593851	,	24
58,9	,	21252	,	-26295	,	-23448	,	0.5809822	,	14
58,9	,	21268	,	-26304	,	-23452	,	-2.6804228	,	6
58,9	,	21300	,	-26312	,	-23451	,	-4.6088552	,	1
58,9	,	21316	,	-26311	,	-23453	,	-5.7291174	,	0
58,9	,	21332	,	-26316	,	-23446	,	-6.4428353	,	0
58,9	,	21364	,	-26317	,	-23463	,	-6.965229	,	0
58,9	,	21380	,	-26320	,	-23455	,	-7.392511	,	0
58,9	,	21412	,	-26337	,	-23459	,	-7.8236394	,	0
58,9	,	21428	,	-26340	,	-23458	,	-8.4687805	,	0
58,9	,	21444	,	-26352	,	-23469	,	-9.539876	,	0
58,9	,	21476	,	-26353	,	-23466	,	-11.080918	,	0
58,9	,	21492	,	-26353	,	-23485	,	-12.911763	,	0
58,9	,	21508	,	-26363	,	-23471	,	-14.7122555	,	0
58,9	,	21540	,	-26367	,	-23482	,	-16.240618	,	0
58,9	,	21556	,	-26372	,	-23491	,	-17.407784	,	0
58,9	,	21588	,	-26385	,	-23486	,	-18.231379	,	0
58,9	,	21604	,	-26390	,	-23491	,	-18.840673	,	0
58,10	,	21620	,	-26394	,	-23493	,	-19.368767	,	0
58,10	,	21652	,	-26405	,	-23493	,	-19.849155	,	0
58,10	,	21668	,	-26399	,	-23485	,	-20.239668	,	0
58,10	,	21684	,	-26350	,	-23463	,	-20.143513	,	0
58,10	,	21716	,	-26332	,	-23450	,	-18.536724	,	0
58,10	,	21732	,	-26296	,	-23445	,	-14.289951	,	1
58,10	,	21748	,	-26277	,	-23438	,	-6.880521	,	5
58,10	,	21780	,	-26268	,	-23436	,	3.3515644	,	12
58,10	,	21796	,	-26263	,	-23437	,	15.2165165	,	22
58,10	,	21828	,	-26264	,	-23431	,	27.006344	,	33
58,10	,	21844	,	-26258	,	-23427	,	37.04292	,	44
58,10	,	21860	,	-26246	,	-23429	,	44.18392	,	54
58,10	,	21892	,	-26262	,	-23428	,	47.967125	,	61
58,10	,	21908	,	-26258	,	-23438	,	48.332283	,	64
58,10	,	21924	,	-26271	,	-23439	,	45.476334	,	63
58,10	,	21956	,	-26263	,	-23431	,	39.932076	,	59
58,10	,	21972	,	-26253	,	-23429	,	32.625435	,	52
58,10	,	22003	,	-26261	,	-23421	,	24.722654	,	42
58,10	,	22020	,	-26251	,	-23425	,	17.24022	,	31
58,10	,	22036	,	-26248	,	-23432	,	10.891636	,	20
58,10	,	22068	,	-26247	,	-23413	,	6.1285686	,	10
58,10	,	22084	,	-26254	,	-23425	,	3.0340166	,	3
58,10	,	22100	,	-26245	,	-23425	,	1.3496752	,	0
58,10	,	22132	,	-26251	,	-23424	,	0.7164662	,	0
58,10	,	22148	,	-26255	,	-23428	,	0.75278103	,	0
