Data recorded on Sun Jul 23 13-57-55 CAT 2017
Time: 13:58:0
Time		Millis		objTemp		dieTemp		sensorVoltage
58,9	,	17904	,	37.42	,	33.63	,	55.0
58,10	,	21918	,	37.42	,	33.66	,	54.0
58,14	,	25932	,	37.44	,	33.66	,	55.0
58,18	,	29947	,	37.45	,	33.66	,	54.0
58,22	,	33962	,	37.44	,	33.69	,	56.0
58,26	,	37976	,	37.5	,	33.69	,	55.0
58,30	,	41991	,	37.49	,	33.69	,	55.0
58,34	,	46005	,	37.49	,	33.69	,	55.0
58,38	,	50020	,	37.49	,	33.69	,	54.0
58,42	,	54034	,	37.47	,	33.72	,	50.0
58,46	,	58049	,	37.45	,	33.72	,	51.0
58,50	,	62063	,	37.46	,	33.72	,	49.0
58,54	,	66078	,	37.44	,	33.75	,	49.0
58,58	,	70093	,	37.47	,	33.75	,	55.0
59,2	,	74107	,	37.55	,	33.75	,	54.0
59,6	,	78122	,	37.54	,	33.75	,	53.0
