RAW Data export file (comma separated)


Client:	John,Sample
Session:	A2Data 
Date:	23-07-2017
Time:	15:48:03
Duration:	195	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-22.366,798.841,,
-22.174,798.841,,
-6.316,798.841,,
-22.170,798.841,,
-22.485,601.560,,
-22.555,601.560,,
-22.806,601.560,,
-22.747,601.560,,
-22.591,601.692,,
-22.903,601.692,,
-23.101,601.692,,
-23.566,601.692,,
-24.074,601.783,,
-24.383,601.783,,
-25.124,601.783,,
-25.561,601.783,,
-25.553,601.845,,
-25.195,601.845,,
-24.472,601.845,,
-24.175,601.845,,
-23.818,602.005,,
-23.559,602.005,,
-23.345,602.005,,
-22.874,602.005,,
-22.364,602.180,,
-21.836,602.180,,
-21.642,602.180,,
-21.733,602.180,,
-21.533,602.335,,
-21.870,602.335,,
-22.335,602.335,,
-22.743,602.335,,
-23.044,602.453,,
-22.659,602.453,,
-22.328,602.453,,
-22.274,602.453,,
-22.308,602.650,,
-22.901,602.650,,
-23.159,602.650,,
-23.194,602.650,,
-23.177,602.817,,
-22.840,602.817,,
-22.813,602.817,,
-22.746,602.817,,
-22.726,602.975,,
-23.050,602.975,,
-22.924,602.975,,
-22.858,602.975,,
-22.824,603.101,,
-22.795,603.101,,
-23.282,603.101,,
-23.553,603.101,,
-23.865,603.168,,
-24.204,603.168,,
-24.215,603.168,,
-24.456,603.168,,
-24.291,603.166,,
-24.011,603.166,,
-23.840,603.166,,
-23.309,603.166,,
-22.594,603.140,,
-21.280,603.140,,
-19.924,603.140,,
-19.012,603.140,,
-17.980,603.154,,
-17.116,603.154,,
-16.350,603.154,,
-15.603,603.154,,
-15.195,603.316,,
-14.607,603.316,,
-14.213,603.316,,
-13.936,603.316,,
-13.464,603.458,,
-13.525,603.458,,
-13.892,603.458,,
-14.587,603.458,,
-15.508,603.513,,
-16.126,603.513,,
-16.841,603.513,,
-17.639,603.513,,
-18.404,603.642,,
-19.240,603.642,,
-19.298,603.642,,
-19.166,603.642,,
-19.517,603.805,,
-19.935,603.805,,
-20.239,603.805,,
-20.101,603.805,,
-19.936,603.951,,
-19.933,603.951,,
-19.838,603.951,,
-20.346,603.951,,
-20.894,604.002,,
-21.407,604.002,,
-22.078,604.002,,
-22.323,604.002,,
-22.631,603.998,,
-22.726,603.998,,
-22.465,603.998,,
-22.337,603.998,,
-22.041,604.051,,
-21.896,604.051,,
-21.831,604.051,,
-21.711,604.051,,
-21.711,604.037,,
-21.454,604.037,,
-21.388,604.037,,
-21.881,604.037,,
-22.024,603.929,,
-21.947,603.929,,
-21.240,603.929,,
-20.235,603.929,,
-19.551,603.820,,
-18.958,603.820,,
-18.809,603.820,,
-18.686,603.820,,
-18.574,603.803,,
-18.934,603.803,,
-19.073,603.803,,
-19.331,603.803,,
-19.651,603.738,,
-19.785,603.738,,
-20.061,603.738,,
-20.266,603.738,,
-20.506,603.612,,
-20.933,603.612,,
-21.276,603.612,,
-22.111,603.612,,
-22.985,603.487,,
-23.548,603.487,,
-23.988,603.487,,
-24.003,603.487,,
-24.032,603.453,,
-23.989,603.453,,
-23.764,603.453,,
-23.735,603.453,,
-23.198,603.383,,
-22.733,603.383,,
-22.803,603.383,,
-22.910,603.383,,
-23.410,603.268,,
-23.605,603.268,,
-23.579,603.268,,
-23.921,603.268,,
-23.893,603.169,,
-24.004,603.169,,
-24.304,603.169,,
-24.735,603.169,,
-25.432,603.137,,
-25.894,603.137,,
-26.371,603.137,,
-26.839,603.137,,
-26.662,603.082,,
-26.343,603.082,,
-25.838,603.082,,
-25.548,603.082,,
-25.365,602.966,,
-24.879,602.966,,
-24.315,602.966,,
-23.936,602.966,,
-23.848,602.889,,
-23.972,602.889,,
-23.379,602.889,,
-22.592,602.889,,
-21.804,602.815,,
-21.165,602.815,,
-20.968,602.815,,
-20.984,602.815,,
-21.297,602.750,,
-21.606,602.750,,
-21.729,602.750,,
-22.114,602.750,,
-22.153,602.657,,
-22.045,602.657,,
-22.086,602.657,,
-21.837,602.657,,
-22.023,602.541,,
-22.424,602.541,,
-22.844,602.541,,
-23.572,602.541,,
-24.178,602.381,,
-25.005,602.381,,
-25.731,602.381,,
-26.058,602.381,,
-26.327,602.170,,
-26.058,602.170,,
-25.792,602.170,,
-25.290,602.170,,
-24.079,601.935,,
-22.802,601.935,,
-21.344,601.935,,
-19.957,601.935,,
-19.134,601.808,,
-17.976,601.808,,
-16.930,601.808,,
-15.859,601.808,,
-14.880,601.779,,
-14.790,601.779,,
-14.882,601.779,,
-15.166,601.779,,
-15.498,601.710,,
-15.377,601.710,,
-15.577,601.710,,
-15.669,601.710,,
-15.811,601.651,,
-16.415,601.651,,
-16.732,601.651,,
-17.244,601.651,,
-17.636,601.656,,
-17.990,601.656,,
-18.502,601.656,,
-18.514,601.656,,
-18.635,601.674,,
-19.016,601.674,,
-19.523,601.674,,
-20.623,601.674,,
-21.513,601.659,,
-22.328,601.659,,
-23.307,601.659,,
-24.054,601.659,,
-24.682,601.588,,
-24.858,601.588,,
-24.654,601.588,,
-24.379,601.588,,
-24.162,601.568,,
-24.421,601.568,,
-24.339,601.568,,
-23.875,601.568,,
-23.447,601.615,,
-22.747,601.615,,
-22.159,601.615,,
-21.687,601.615,,
-21.013,601.615,,
-20.659,601.615,,
-20.569,601.615,,
-20.633,601.615,,
-20.582,601.546,,
-20.128,601.546,,
-19.837,601.546,,
-19.676,601.546,,
-19.790,601.562,,
-20.343,601.562,,
-20.429,601.562,,
-20.375,601.562,,
-20.402,601.613,,
-20.534,601.613,,
-21.055,601.613,,
-21.435,601.613,,
-21.862,601.631,,
-22.255,601.631,,
-22.743,601.631,,
-23.453,601.631,,
-23.521,601.594,,
-23.386,601.594,,
-23.157,601.594,,
-22.600,601.594,,
-22.561,601.607,,
-22.678,601.607,,
-22.814,601.607,,
-23.140,601.607,,
-23.181,601.667,,
-23.455,601.667,,
-23.769,601.667,,
-23.990,601.667,,
-24.161,601.673,,
-23.889,601.673,,
-23.719,601.673,,
-23.655,601.673,,
-23.461,601.648,,
-23.778,601.648,,
-23.827,601.648,,
-23.522,601.648,,
-23.777,601.660,,
-24.158,601.660,,
-24.829,601.660,,
-25.227,601.660,,
-24.972,601.714,,
-24.572,601.714,,
-23.761,601.714,,
-23.019,601.714,,
-22.519,601.722,,
-22.130,601.722,,
-22.230,601.722,,
-22.152,601.722,,
-22.243,601.692,,
-22.398,601.692,,
-22.337,601.692,,
-22.598,601.692,,
-22.789,601.718,,
-23.248,601.718,,
-24.083,601.718,,
-24.454,601.718,,
-24.592,601.752,,
-24.873,601.752,,
-24.946,601.752,,
-25.071,601.752,,
-24.739,601.722,,
-24.513,601.722,,
-24.378,601.722,,
-24.089,601.722,,
-24.171,601.643,,
-24.234,601.643,,
-24.295,601.643,,
-24.481,601.643,,
-24.352,601.594,,
-24.374,601.594,,
-24.061,601.594,,
-23.593,601.594,,
-23.663,601.404,,
-23.988,601.404,,
-24.580,601.404,,
-24.938,601.404,,
-24.842,600.938,,
-24.882,600.938,,
-24.768,600.938,,
-24.698,600.938,,
-24.565,600.187,,
-24.044,600.187,,
-23.499,600.187,,
-22.486,600.187,,
-21.248,599.485,,
-19.976,599.485,,
-18.274,599.485,,
-16.838,599.485,,
-15.410,599.018,,
-14.099,599.018,,
-13.187,599.018,,
-12.185,599.018,,
-11.561,598.506,,
-11.236,598.506,,
