Data recorded on Sun Jul 23 15-48-55 CAT 2017
Time: 15:49:6
Time		Millis		IR PPG		Red PPG		Filtered		SSF
49,15	,	57890	,	-23915	,	-22261	,	-5.970091	,	0
49,15	,	57906	,	-23919	,	-22266	,	-8.304787	,	0
49,15	,	57938	,	-23920	,	-22267	,	-10.307258	,	0
49,15	,	57954	,	-23921	,	-22274	,	-11.630726	,	0
49,15	,	57970	,	-23933	,	-22277	,	-12.21866	,	0
49,15	,	58002	,	-23934	,	-22286	,	-12.259487	,	0
49,15	,	58018	,	-23938	,	-22270	,	-12.024284	,	0
49,15	,	58050	,	-23936	,	-22276	,	-11.674978	,	0
49,15	,	58066	,	-23928	,	-22280	,	-11.18733	,	0
49,15	,	58082	,	-23913	,	-22269	,	-10.316551	,	0
49,15	,	58114	,	-23908	,	-22268	,	-8.692434	,	0
49,15	,	58130	,	-23898	,	-22259	,	-6.076481	,	1
49,15	,	58146	,	-23899	,	-22258	,	-2.5443397	,	3
49,15	,	58178	,	-23894	,	-22264	,	1.5311456	,	6
49,15	,	58194	,	-23893	,	-22253	,	5.636792	,	10
49,15	,	58210	,	-23881	,	-22269	,	9.337527	,	14
49,15	,	58242	,	-23891	,	-22247	,	12.361442	,	17
49,15	,	58258	,	-23895	,	-22251	,	14.444954	,	20
49,15	,	58290	,	-23889	,	-22251	,	15.326618	,	22
49,15	,	58306	,	-23892	,	-22253	,	14.980571	,	22
49,15	,	58322	,	-23890	,	-22254	,	13.628981	,	21
49,15	,	58354	,	-23890	,	-22253	,	11.58955	,	19
49,15	,	58370	,	-23906	,	-22256	,	9.130808	,	16
49,15	,	58386	,	-23895	,	-22260	,	6.3954945	,	12
49,15	,	58418	,	-23888	,	-22252	,	3.6187353	,	8
49,15	,	58434	,	-23889	,	-22254	,	1.2375274	,	5
49,15	,	58466	,	-23890	,	-22272	,	-0.41427612	,	2
49,15	,	58482	,	-23897	,	-22240	,	-1.3300021	,	0
49,15	,	58498	,	-23908	,	-22264	,	-1.790669	,	0
49,15	,	58530	,	-23914	,	-22259	,	-2.2308736	,	0
49,15	,	58545	,	-23916	,	-22263	,	-3.0127976	,	0
49,15	,	58562	,	-23911	,	-22261	,	-4.2004595	,	0
49,15	,	58594	,	-23913	,	-22270	,	-5.5483937	,	0
49,15	,	58610	,	-23905	,	-22268	,	-6.6895456	,	0
49,15	,	58626	,	-23908	,	-22271	,	-7.307523	,	0
49,15	,	58658	,	-23925	,	-22271	,	-7.335051	,	0
49,15	,	58674	,	-23923	,	-22278	,	-7.0551777	,	0
49,15	,	58706	,	-23931	,	-22294	,	-6.838384	,	0
49,15	,	58722	,	-23936	,	-22271	,	-6.908038	,	0
49,15	,	58738	,	-23940	,	-22282	,	-7.3618784	,	0
49,15	,	58770	,	-23934	,	-22275	,	-8.1352005	,	0
49,15	,	58786	,	-23922	,	-22281	,	-8.900646	,	0
49,15	,	58801	,	-23909	,	-22277	,	-9.105046	,	0
