Data recorded on Sun Jul 23 15-48-55 CAT 2017
Time: 15:49:6
Time		Millis		objTemp		dieTemp		sensorVoltage
49,15	,	57869	,	38.42	,	33.94	,	105.0
49,18	,	61884	,	38.27	,	33.97	,	92.0
49,23	,	65898	,	38.31	,	33.94	,	97.0
49,27	,	69913	,	38.38	,	33.97	,	100.0
49,31	,	73927	,	38.36	,	33.94	,	101.0
49,35	,	77942	,	38.38	,	33.97	,	100.0
49,39	,	81956	,	38.39	,	33.94	,	103.0
49,43	,	85971	,	38.42	,	33.97	,	103.0
49,47	,	89985	,	38.45	,	33.97	,	105.0
49,51	,	94000	,	38.42	,	33.94	,	105.0
49,55	,	98015	,	38.4	,	33.94	,	104.0
49,59	,	102029	,	38.4	,	33.94	,	104.0
50,3	,	106043	,	38.42	,	33.94	,	105.0
50,7	,	110058	,	38.46	,	33.97	,	106.0
50,11	,	114073	,	38.45	,	33.97	,	105.0
