Data recorded on Wed Jul 26 14-39-40 CAT 2017
Time: 14:39:47
Time		Millis		IR PPG		Red PPG		Filtered		SSF
39,56	,	85308	,	-16308	,	-14208	,	1.5882554	,	10
39,56	,	85340	,	-16308	,	-14211	,	9.539799	,	17
39,56	,	85356	,	-16302	,	-14199	,	17.342148	,	24
39,56	,	85388	,	-16287	,	-14201	,	24.094042	,	31
39,56	,	85404	,	-16289	,	-14202	,	29.26244	,	37
39,56	,	85420	,	-16280	,	-14201	,	32.619965	,	42
39,56	,	85452	,	-16283	,	-14195	,	34.115772	,	44
39,56	,	85468	,	-16283	,	-14193	,	33.82779	,	44
39,56	,	85484	,	-16296	,	-14203	,	31.867096	,	41
39,56	,	85516	,	-16289	,	-14202	,	28.380333	,	36
39,56	,	85532	,	-16291	,	-14204	,	23.714773	,	29
39,56	,	85564	,	-16286	,	-14201	,	18.455753	,	22
39,56	,	85580	,	-16302	,	-14208	,	13.174376	,	15
39,56	,	85596	,	-16297	,	-14202	,	8.204807	,	9
39,56	,	85628	,	-16306	,	-14204	,	3.7168922	,	4
39,56	,	85644	,	-16305	,	-14205	,	-0.169384	,	1
39,56	,	85660	,	-16307	,	-14207	,	-3.372569	,	0
39,56	,	85692	,	-16315	,	-14211	,	-5.8610907	,	0
39,56	,	85708	,	-16326	,	-14203	,	-7.7450824	,	0
39,56	,	85724	,	-16346	,	-14220	,	-9.366565	,	0
39,56	,	85756	,	-16325	,	-14213	,	-11.056393	,	0
39,56	,	85772	,	-16347	,	-14224	,	-12.774776	,	0
39,56	,	85804	,	-16348	,	-14228	,	-14.313738	,	0
39,56	,	85820	,	-16356	,	-14224	,	-15.625033	,	0
39,56	,	85836	,	-16368	,	-14227	,	-16.763966	,	0
39,56	,	85868	,	-16360	,	-14225	,	-17.767311	,	0
39,56	,	85884	,	-16370	,	-14237	,	-18.543602	,	0
39,56	,	85900	,	-16369	,	-14233	,	-18.932718	,	0
39,56	,	85932	,	-16375	,	-14240	,	-18.861755	,	0
39,56	,	85948	,	-16383	,	-14233	,	-18.377779	,	0
39,56	,	85980	,	-16398	,	-14237	,	-17.700642	,	0
39,56	,	85996	,	-16392	,	-14242	,	-17.136442	,	0
39,56	,	86012	,	-16395	,	-14237	,	-16.786816	,	0
39,56	,	86044	,	-16373	,	-14238	,	-16.387474	,	0
39,56	,	86059	,	-16366	,	-14226	,	-15.3853855	,	0
39,56	,	86075	,	-16351	,	-14226	,	-13.215064	,	1
39,56	,	86108	,	-16351	,	-14219	,	-9.637179	,	3
39,56	,	86124	,	-16329	,	-14215	,	-4.809455	,	6
39,56	,	86156	,	-16331	,	-14212	,	0.89037323	,	10
39,56	,	86172	,	-16317	,	-14215	,	6.9640646	,	15
39,56	,	86188	,	-16308	,	-14199	,	12.885421	,	21
39,56	,	86219	,	-16319	,	-14211	,	18.156963	,	26
39,56	,	86236	,	-16327	,	-14209	,	22.162098	,	31
39,56	,	86252	,	-16324	,	-14205	,	24.273487	,	35
39,56	,	86284	,	-16326	,	-14211	,	24.252666	,	36
39,56	,	86299	,	-16327	,	-14212	,	22.33448	,	34
39,57	,	86315	,	-16329	,	-14215	,	19.010403	,	31
39,57	,	86348	,	-16315	,	-14211	,	14.914451	,	27
39,57	,	86364	,	-16329	,	-14210	,	10.728272	,	22
39,57	,	86396	,	-16319	,	-14216	,	6.9515142	,	16
39,57	,	86412	,	-16325	,	-14219	,	3.845201	,	11
39,57	,	86428	,	-16328	,	-14208	,	1.4947972	,	6
39,57	,	86459	,	-16327	,	-14217	,	-0.18237376	,	2
39,57	,	86475	,	-16341	,	-14216	,	-1.3834134	,	0
39,57	,	86492	,	-16343	,	-14215	,	-2.3980834	,	0
39,57	,	86524	,	-16342	,	-14219	,	-3.4760056	,	0
39,57	,	86539	,	-16353	,	-14227	,	-4.677718	,	0
39,57	,	86571	,	-16359	,	-14226	,	-6.0111995	,	0
39,57	,	86587	,	-16365	,	-14224	,	-7.5295687	,	0
39,57	,	86604	,	-16373	,	-14229	,	-9.248086	,	0
39,57	,	86636	,	-16370	,	-14228	,	-11.077026	,	0
39,57	,	86652	,	-16376	,	-14243	,	-12.804076	,	0
39,57	,	86668	,	-16390	,	-14224	,	-14.24954	,	0
39,57	,	86700	,	-16393	,	-14234	,	-15.434282	,	0
39,57	,	86715	,	-16399	,	-14229	,	-16.45593	,	0
