Data recorded on Wed Jul 26 14-42-54 CAT 2017
Time: 14:43:1
Time		Millis		bpm		Period		SpO2
43,10	,	21870	,	73	,	784	,	102.19449
43,10	,	22734	,	73	,	864	,	102.09818
43,10	,	23566	,	74	,	832	,	102.017624
43,11	,	24397	,	74	,	831	,	102.13589
43,12	,	25197	,	74	,	800	,	102.2245
43,13	,	26077	,	73	,	880	,	102.154106
43,14	,	26924	,	73	,	847	,	102.371544
43,15	,	27756	,	72	,	832	,	102.25212
43,16	,	28572	,	72	,	816	,	102.33207
43,16	,	29388	,	72	,	816	,	102.24751
43,17	,	30235	,	71	,	847	,	102.303566
43,18	,	31051	,	72	,	816	,	102.195
43,19	,	31851	,	72	,	800	,	101.962616
43,20	,	32650	,	72	,	799	,	101.536255
43,20	,	33434	,	72	,	784	,	101.527695
43,21	,	34250	,	73	,	816	,	101.636375
43,22	,	35098	,	73	,	848	,	101.403046
43,23	,	35881	,	73	,	783	,	101.5413
43,24	,	36681	,	74	,	800	,	101.50651
43,24	,	37513	,	73	,	832	,	101.412
43,25	,	38360	,	73	,	847	,	101.19415
43,26	,	39176	,	73	,	816	,	101.471146
43,27	,	39976	,	73	,	800	,	101.751465
43,28	,	40808	,	73	,	832	,	102.104645
43,29	,	41671	,	72	,	863	,	102.11961
43,29	,	42439	,	73	,	768	,	102.02805
43,30	,	43223	,	73	,	784	,	102.09657
43,31	,	44038	,	73	,	815	,	101.97756
43,32	,	44870	,	73	,	832	,	102.05499
43,33	,	45718	,	73	,	848	,	102.05808
43,33	,	46533	,	73	,	815	,	102.21463
43,34	,	47317	,	73	,	784	,	102.16036
43,35	,	48149	,	73	,	832	,	102.15172
43,36	,	48997	,	73	,	848	,	102.00001
43,37	,	49876	,	73	,	879	,	101.87006
43,38	,	50692	,	72	,	816	,	101.8967
43,38	,	51523	,	72	,	831	,	101.96905
43,39	,	52419	,	71	,	896	,	101.995895
43,40	,	53315	,	71	,	896	,	101.917786
43,41	,	54147	,	71	,	832	,	101.89444
43,42	,	54962	,	71	,	815	,	102.04963
43,43	,	55794	,	70	,	832	,	101.965385
43,44	,	56594	,	71	,	800	,	101.91878
43,44	,	57474	,	70	,	880	,	102.06999
43,45	,	58289	,	71	,	815	,	102.0269
43,46	,	59121	,	71	,	832	,	101.991974
43,47	,	59969	,	71	,	848	,	101.97522
43,48	,	60833	,	71	,	864	,	102.11159
43,49	,	61632	,	72	,	799	,	102.04797
43,49	,	62448	,	72	,	816	,	102.03657
43,50	,	63295	,	72	,	847	,	101.7297
43,51	,	64175	,	71	,	880	,	101.703995
43,52	,	65023	,	71	,	848	,	101.631775
43,53	,	65839	,	71	,	816	,	101.47833
43,54	,	66622	,	72	,	783	,	101.483
43,54	,	67438	,	72	,	816	,	101.50873
43,55	,	68222	,	72	,	784	,	101.417625
43,56	,	69022	,	73	,	800	,	101.24951
43,57	,	69789	,	73	,	767	,	101.17865
43,57	,	70541	,	74	,	752	,	101.28668
43,58	,	71309	,	74	,	768	,	101.39562
43,59	,	72141	,	75	,	832	,	101.38309
44,0	,	73004	,	75	,	863	,	101.33782
44,1	,	73852	,	74	,	848	,	101.54433
44,2	,	74636	,	74	,	784	,	101.60905
44,2	,	75435	,	75	,	799	,	101.4842
44,3	,	76267	,	74	,	832	,	101.32349
44,4	,	77051	,	74	,	784	,	101.26648
44,5	,	77867	,	74	,	816	,	101.3031
44,6	,	78651	,	73	,	784	,	101.12962
44,6	,	79419	,	73	,	768	,	101.1613
44,7	,	80234	,	74	,	815	,	101.25745
44,8	,	80986	,	75	,	752	,	101.32957
44,9	,	81785	,	75	,	799	,	100.88022
44,9	,	82569	,	75	,	784	,	100.93877
