Time		Height
903.430572	,	7.622709
1743.570595	,	12.103902
2653.722287	,	9.299362
3633.885648	,	8.900087
4497.362894	,	7.625369
5407.514586	,	8.343828
6395.457021	,	8.429583
7274.492415	,	6.353924
8169.085959	,	8.300325
9087.016725	,	8.719814
9919.377674	,	7.020977
10806.192143	,	9.598348
11700.785687	,	9.640748
12548.704784	,	8.399971
13427.740179	,	8.588312
14376.787242	,	8.905919
15279.159860	,	6.250349
16173.753403	,	5.933749
17068.346947	,	8.827150
17978.498639	,	8.227609
18841.975885	,	7.117891
19759.906651	,	8.574380
20646.721120	,	7.455750
21510.198366	,	7.398032
22381.454687	,	9.705344
23322.722676	,	9.917922
24248.432517	,	6.724440
25104.130688	,	9.288692
26014.282380	,	10.851152
26924.434072	,	10.008611
27811.248541	,	9.546982
28690.283936	,	10.134323
29584.877480	,	11.715723
30549.482692	,	9.271389
31428.518086	,	9.114730
32323.111630	,	8.161131
33272.158693	,	8.276738
34182.310385	,	7.515197
35038.008557	,	7.715450
35924.823026	,	9.003820
36881.649164	,	9.462457
37784.021781	,	8.370887
38701.952548	,	8.298376
39658.778685	,	9.423013
40623.383897	,	7.561679
41486.861144	,	8.854961
42373.675613	,	9.814331
43276.048230	,	8.937761
44178.420848	,	7.945191
45003.002723	,	10.589325
45866.479969	,	9.303607
46807.747958	,	9.063185
47686.783353	,	7.222526
48542.481525	,	8.497778
49444.854142	,	7.697208
50355.005834	,	7.868667
51210.704006	,	9.031920
52058.623104	,	9.526143
52898.763127	,	10.460336
53777.798522	,	10.183677
54610.159471	,	8.689841
55411.404123	,	9.659886
56290.439518	,	9.969227
57216.149358	,	8.780746
58064.068456	,	7.470968
58919.766628	,	6.759221
59822.139245	,	10.290651
60724.511863	,	10.340080
61564.651886	,	7.342274
62404.791910	,	8.061467
63174.920264	,	9.632394
63983.943991	,	8.373469
64847.421237	,	9.698751
65788.689226	,	9.108329
66753.294438	,	8.667995
67733.457799	,	6.849720
68698.063011	,	7.974387
69615.993777	,	7.296876
70432.796577	,	6.831980
71249.599378	,	6.015085
71957.495138	,	9.052775
72727.623493	,	10.660702
73622.217036	,	10.289103
74579.043174	,	9.884739
75543.648386	,	7.832406
76554.928044	,	8.884250
77535.091404	,	8.109975
78351.894205	,	8.508080
79145.359782	,	6.303095
79868.813691	,	7.180845
80654.500194	,	8.420831
81533.535589	,	7.498172
82498.140801	,	8.033839
83486.083236	,	8.973594
84489.583820	,	7.556408
85469.747180	,	7.095133
86294.329055	,	4.766268
87087.794632	,	6.595283
87857.922987	,	6.972211
88643.609490	,	8.717197
89514.865811	,	9.987508
90471.691949	,	11.436145
91490.750681	,	10.878018
92362.007001	,	7.221330
93202.147025	,	6.125523
94003.391676	,	7.327569
94789.078180	,	7.261555
95636.997277	,	7.885778
96531.590821	,	8.001178
97480.637884	,	9.343785
98351.894205	,	6.647097
99145.359782	,	7.056112
99938.825360	,	8.242128
100701.174640	,	9.509026
101525.756515	,	9.353160
102412.570984	,	8.704531
103299.385453	,	9.641901
104201.758071	,	8.331331
105018.560871	,	7.071436
105804.247375	,	5.358422
106558.817581	,	6.968290
107383.399455	,	6.721424
108262.434850	,	5.696765
109172.586542	,	6.624225
110098.296383	,	6.764743
110938.436406	,	6.701936
111747.460132	,	8.502011
112540.925710	,	7.968027
113373.286659	,	10.237191
114213.426682	,	7.102384
114999.113186	,	10.078370
115753.683392	,	10.586238
116516.032672	,	11.001136
117379.509918	,	12.803418
118258.545313	,	9.746759
119052.010891	,	8.992775
119806.581097	,	8.809643
120631.162972	,	10.995777
121471.302995	,	10.398970
122350.338390	,	11.477311
123182.699339	,	8.641475
123921.711396	,	10.513284
124738.514197	,	9.850388
125586.433294	,	9.946611
126418.794243	,	8.287775
127165.585375	,	7.904613
127920.155581	,	8.563481
128682.504862	,	8.506379
129530.423960	,	8.001602
130347.226760	,	7.496706
131109.576040	,	7.945604
131941.936989	,	7.847768
132719.844419	,	8.221724
133559.984442	,	9.059918
134400.124465	,	7.444111
135185.810968	,	6.738097
136025.950992	,	6.330290
136827.195644	,	7.306336
137636.219370	,	8.601411
138453.022170	,	8.063515
139192.034228	,	8.147324
