Data recorded on Wed Jun 21 13:51:23 CAT 2017
Time: 13:51:23
Time		Millis		bpm		Period		SpO2
53,31	,	127770	,	67	,	896	,	101.03812
53,31	,	128681	,	67	,	911	,	100.441284
53,32	,	129513	,	67	,	832	,	100.72989
53,33	,	130456	,	66	,	943	,	101.0397
53,34	,	131384	,	66	,	928	,	101.29822
53,35	,	132279	,	66	,	895	,	101.14648
53,36	,	133222	,	66	,	943	,	101.254486
53,37	,	134166	,	66	,	944	,	101.73555
53,38	,	135030	,	66	,	864	,	101.986
53,39	,	135941	,	66	,	911	,	101.81358
53,40	,	136868	,	66	,	927	,	101.85582
53,40	,	137732	,	66	,	864	,	101.95807
53,41	,	138579	,	66	,	847	,	101.75653
53,42	,	139506	,	66	,	927	,	101.65858
53,43	,	140338	,	67	,	832	,	101.53047
53,44	,	141201	,	67	,	863	,	101.17363
53,45	,	142145	,	67	,	944	,	100.65698
53,46	,	143072	,	67	,	927	,	100.20341
53,47	,	143952	,	67	,	880	,	100.355354
53,48	,	144863	,	67	,	911	,	100.3064
53,48	,	145758	,	67	,	895	,	100.30989
53,49	,	146622	,	67	,	864	,	100.128075
53,50	,	147534	,	67	,	912	,	100.24249
53,51	,	148460	,	67	,	926	,	100.546585
53,52	,	149308	,	66	,	848	,	100.5446
53,53	,	150172	,	66	,	864	,	100.665146
53,54	,	151067	,	67	,	895	,	100.61606
53,55	,	152043	,	66	,	976	,	101.01395
53,56	,	152906	,	67	,	863	,	101.11065
53,56	,	153801	,	67	,	895	,	100.87569
53,57	,	154697	,	67	,	896	,	101.0564
53,58	,	155576	,	67	,	879	,	101.14776
53,59	,	156456	,	67	,	880	,	101.2458
54,0	,	157367	,	67	,	911	,	100.790054
54,1	,	158310	,	66	,	943	,	100.47511
54,2	,	159206	,	66	,	896	,	100.49424
54,3	,	160133	,	66	,	927	,	100.91156
54,4	,	161045	,	66	,	912	,	100.69597
54,5	,	161924	,	66	,	879	,	100.49745
54,6	,	162804	,	66	,	880	,	100.6085
54,6	,	163715	,	66	,	911	,	100.56229
54,7	,	164642	,	66	,	927	,	100.70133
54,8	,	165538	,	66	,	896	,	100.6804
54,9	,	166497	,	65	,	959	,	101.03976
54,10	,	167441	,	65	,	944	,	101.544395
54,11	,	168368	,	65	,	927	,	101.431366
54,12	,	169264	,	65	,	896	,	101.607285
54,13	,	170159	,	65	,	895	,	101.67865
54,14	,	171055	,	65	,	896	,	101.7764
54,15	,	171934	,	65	,	879	,	101.42923
54,15	,	172781	,	66	,	847	,	101.47
54,16	,	173645	,	66	,	864	,	101.60001
54,17	,	174605	,	66	,	960	,	101.83345
54,18	,	175452	,	67	,	847	,	101.47992
54,19	,	176347	,	67	,	895	,	101.01994
54,20	,	177227	,	67	,	880	,	101.104965
54,21	,	178155	,	67	,	928	,	100.8289
54,22	,	178986	,	68	,	831	,	100.77336
54,23	,	179817	,	68	,	831	,	100.69339
54,23	,	180696	,	68	,	879	,	100.90161
54,24	,	181560	,	68	,	864	,	100.7722
54,25	,	182359	,	68	,	799	,	100.541306
54,26	,	183207	,	69	,	848	,	100.22486
54,27	,	184054	,	69	,	847	,	100.10399
54,28	,	184982	,	69	,	928	,	100.15611
54,29	,	185829	,	69	,	847	,	100.321396
54,29	,	186661	,	70	,	832	,	100.23797
54,30	,	187588	,	69	,	927	,	100.12516
