Data recorded on Wed Jun 21 13:51:23 CAT 2017
Time: 13:51:23
Time		Millis		objTemp		dieTemp		sensorVoltage
53,31	,	126173	,	37.07	,	32.53	,	109.0
53,33	,	130186	,	37.16	,	32.59	,	111.0
53,37	,	134200	,	37.17	,	32.63	,	109.0
53,41	,	138213	,	37.21	,	32.66	,	110.0
53,45	,	142243	,	37.22	,	32.69	,	108.0
53,49	,	146256	,	37.27	,	32.69	,	112.0
53,53	,	150270	,	37.29	,	32.72	,	111.0
53,57	,	154283	,	37.32	,	32.75	,	111.0
54,1	,	158296	,	37.35	,	32.78	,	111.0
54,5	,	162310	,	37.37	,	32.81	,	110.0
54,9	,	166324	,	37.34	,	32.81	,	108.0
54,13	,	170337	,	37.43	,	32.84	,	112.0
54,17	,	174351	,	37.42	,	32.88	,	109.0
54,21	,	178364	,	37.42	,	32.88	,	109.0
54,25	,	182378	,	37.44	,	32.88	,	111.0
54,29	,	186391	,	37.45	,	32.91	,	109.0
