Data recorded on Fri Jun 23 11:48:54 CAT 2017
Time: 11:49:2
Time		Millis		bpm		Period		SpO2
49,6	,	45093	,	55	,	1071	,	99.55626
49,6	,	46149	,	55	,	1056	,	99.77671
49,7	,	47125	,	56	,	976	,	100.22398
49,8	,	48180	,	56	,	1055	,	100.77659
49,9	,	49236	,	56	,	1056	,	100.70207
49,10	,	50260	,	56	,	1024	,	100.54474
49,11	,	51379	,	56	,	1119	,	100.91278
49,12	,	52435	,	56	,	1056	,	101.20747
49,13	,	53539	,	56	,	1104	,	101.53372
49,14	,	54610	,	56	,	1071	,	101.134926
49,15	,	55650	,	56	,	1040	,	101.28177
49,17	,	56801	,	56	,	1151	,	101.57999
49,18	,	57857	,	55	,	1056	,	101.57427
49,19	,	58960	,	55	,	1103	,	101.50029
49,20	,	60048	,	55	,	1088	,	101.43986
49,21	,	61136	,	55	,	1088	,	101.157394
49,22	,	62303	,	54	,	1167	,	101.156006
49,23	,	63359	,	54	,	1056	,	101.04695
49,24	,	64446	,	55	,	1087	,	100.96552
49,25	,	65550	,	54	,	1104	,	101.507454
49,26	,	66574	,	54	,	1024	,	101.24467
49,27	,	67725	,	54	,	1151	,	101.265625
49,29	,	68845	,	54	,	1120	,	101.368034
49,30	,	69916	,	54	,	1071	,	100.89692
49,31	,	71100	,	54	,	1184	,	100.94023
49,32	,	72219	,	54	,	1119	,	100.896774
49,33	,	73259	,	54	,	1040	,	100.66235
49,34	,	74347	,	54	,	1088	,	101.15633
49,35	,	75466	,	54	,	1119	,	100.93982
49,36	,	76474	,	54	,	1008	,	100.83451
49,37	,	77561	,	54	,	1087	,	100.8529
49,38	,	78729	,	54	,	1168	,	100.936295
49,39	,	79752	,	55	,	1023	,	100.67157
49,41	,	80872	,	54	,	1120	,	101.239296
49,42	,	82008	,	55	,	1136	,	101.69417
49,43	,	83127	,	55	,	1119	,	102.036575
49,44	,	84263	,	54	,	1136	,	102.25096
49,45	,	85446	,	54	,	1183	,	101.98244
49,46	,	86470	,	54	,	1024	,	102.08193
49,47	,	87685	,	53	,	1215	,	101.9548
49,49	,	88837	,	53	,	1152	,	101.71731
49,50	,	89893	,	53	,	1056	,	101.532684
49,51	,	91012	,	53	,	1119	,	101.62318
49,52	,	92196	,	53	,	1184	,	101.40626
49,53	,	93236	,	53	,	1040	,	100.86402
49,54	,	94339	,	53	,	1103	,	101.09158
49,55	,	95651	,	52	,	1312	,	101.2765
49,56	,	96770	,	53	,	1119	,	100.94153
49,58	,	97953	,	52	,	1183	,	101.25923
49,59	,	99201	,	52	,	1248	,	101.23886
50,0	,	100289	,	52	,	1088	,	101.55174
50,1	,	101409	,	52	,	1120	,	101.43922
50,2	,	102672	,	51	,	1263	,	101.50489
50,4	,	103840	,	51	,	1168	,	101.081116
50,5	,	104799	,	51	,	959	,	100.81147
