Data recorded on Fri Jun 23 15:45:05 CAT 2017
Time: 15:45:11
Time		Millis		objTemp		dieTemp		sensorVoltage
45,15	,	53871	,	38.34	,	33.03	,	165.0
45,18	,	57886	,	38.38	,	33.06	,	166.0
45,22	,	61900	,	38.54	,	33.13	,	173.0
45,26	,	65914	,	38.44	,	33.16	,	164.0
45,30	,	69929	,	38.39	,	33.19	,	158.0
45,34	,	73943	,	38.39	,	33.25	,	153.0
45,38	,	77958	,	38.38	,	33.28	,	150.0
45,42	,	81972	,	38.37	,	33.31	,	147.0
45,46	,	85987	,	38.34	,	33.34	,	143.0
45,50	,	90001	,	38.33	,	33.38	,	140.0
45,54	,	94015	,	38.37	,	33.41	,	140.0
45,58	,	98029	,	38.36	,	33.44	,	137.0
46,2	,	102044	,	38.36	,	33.47	,	135.0
46,6	,	106059	,	38.36	,	33.5	,	133.0
46,10	,	110073	,	38.37	,	33.53	,	131.0
46,14	,	114087	,	38.37	,	33.53	,	131.0
