RAW Data export file (comma separated)


Client:	Andre,Bestbier
Session:	Andre4 
Date:	23-06-2017
Time:	15:47:43
Duration:	146	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-34.913,651.805,,
-34.957,651.805,,
-34.457,651.805,,
-33.921,651.805,,
-33.716,646.563,,
-34.070,646.563,,
-34.610,646.563,,
-35.172,646.563,,
-35.712,646.447,,
-36.181,646.447,,
-36.659,646.447,,
-36.989,646.447,,
-37.369,646.419,,
-37.736,646.419,,
-37.933,646.419,,
-37.695,646.419,,
-37.413,646.257,,
-37.322,646.257,,
-37.468,646.257,,
-37.792,646.257,,
-38.027,646.221,,
-38.155,646.221,,
-38.033,646.221,,
-37.412,646.221,,
-36.418,646.119,,
-35.421,646.119,,
-34.750,646.119,,
-34.594,646.119,,
-34.648,645.995,,
-34.379,645.995,,
-33.773,645.995,,
-33.544,645.995,,
-33.806,646.000,,
-33.997,646.000,,
-33.916,646.000,,
-33.854,646.000,,
-34.048,645.910,,
-34.446,645.910,,
-34.877,645.910,,
-35.576,645.910,,
-36.384,645.897,,
-36.991,645.897,,
-36.973,645.897,,
-36.658,645.897,,
-36.416,645.937,,
-36.244,645.937,,
-36.159,645.937,,
-36.038,645.937,,
-35.858,645.856,,
-35.609,645.856,,
-35.314,645.856,,
-35.137,645.856,,
-35.201,645.884,,
-35.228,645.884,,
-35.203,645.884,,
-35.009,645.884,,
-35.267,645.866,,
-36.176,645.866,,
-37.457,645.866,,
-38.374,645.866,,
-38.643,645.808,,
-38.371,645.808,,
-38.119,645.808,,
-38.037,645.808,,
-38.115,645.809,,
-38.208,645.809,,
-38.123,645.809,,
-38.187,645.809,,
-38.626,645.603,,
-38.966,645.603,,
-38.940,645.603,,
-38.650,645.603,,
-38.104,645.502,,
-37.068,645.502,,
-35.252,645.502,,
-32.923,645.502,,
-30.357,645.432,,
-27.838,645.432,,
-25.190,645.432,,
-22.703,645.432,,
-20.877,645.348,,
-19.646,645.348,,
-18.710,645.348,,
-18.572,645.348,,
-19.064,645.464,,
-19.938,645.464,,
-20.540,645.464,,
-21.101,645.464,,
-21.678,645.484,,
-22.319,645.484,,
-23.088,645.484,,
-24.185,645.484,,
-25.695,645.612,,
-27.303,645.612,,
-28.579,645.612,,
-29.278,645.612,,
-29.812,645.743,,
-30.485,645.743,,
-31.386,645.743,,
-32.097,645.743,,
-32.329,645.758,,
-32.258,645.758,,
-31.935,645.758,,
-31.979,645.758,,
-32.447,645.916,,
-33.004,645.916,,
-33.639,645.916,,
-34.342,645.916,,
-34.880,646.046,,
-35.271,646.046,,
-35.545,646.046,,
-35.528,646.046,,
-35.057,646.179,,
-34.600,646.179,,
-34.146,646.179,,
-34.079,646.179,,
-34.240,646.416,,
-34.200,646.416,,
-34.040,646.416,,
-33.835,646.416,,
-33.603,646.544,,
-33.258,646.544,,
-33.057,646.544,,
-32.857,646.544,,
-32.449,646.763,,
-32.168,646.763,,
-32.048,646.763,,
-31.976,646.763,,
-31.971,647.027,,
-32.075,647.027,,
-32.424,647.027,,
-33.013,647.027,,
-33.584,647.170,,
-33.794,647.170,,
-33.805,647.170,,
-34.131,647.170,,
-34.811,647.463,,
-35.556,647.463,,
-36.052,647.463,,
-36.354,647.463,,
-36.531,647.694,,
-36.855,647.694,,
-37.515,647.694,,
-38.103,647.694,,
-38.494,647.936,,
-38.529,647.936,,
-38.327,647.936,,
-37.911,647.936,,
-37.449,648.288,,
-37.125,648.288,,
-37.009,648.288,,
-37.273,648.288,,
-37.537,648.484,,
-37.494,648.484,,
-37.320,648.484,,
-37.164,648.484,,
-37.009,648.805,,
-36.925,648.805,,
-36.916,648.805,,
-37.021,648.805,,
-36.934,649.094,,
-36.585,649.094,,
-36.186,649.094,,
-35.708,649.094,,
-35.489,649.325,,
-35.536,649.325,,
-35.946,649.325,,
-36.501,649.325,,
-36.822,649.714,,
-36.656,649.714,,
-36.102,649.714,,
-35.474,649.714,,
-34.750,650.003,,
-34.054,650.003,,
-33.493,650.003,,
-33.171,650.003,,
-32.964,650.405,,
-32.831,650.405,,
-32.955,650.405,,
-33.322,650.405,,
-33.770,650.838,,
-34.160,650.838,,
-34.584,650.838,,
-35.269,650.838,,
-36.009,651.168,,
-36.391,651.168,,
-36.156,651.168,,
-35.706,651.168,,
-35.349,651.520,,
-35.186,651.520,,
-35.288,651.520,,
-35.297,651.520,,
-35.359,651.748,,
-35.401,651.748,,
-35.442,651.748,,
-35.517,651.748,,
-35.552,651.878,,
-35.628,651.878,,
-35.480,651.878,,
-35.237,651.878,,
-35.309,652.123,,
-35.403,652.123,,
-35.406,652.123,,
-35.046,652.123,,
-33.961,652.192,,
-32.256,652.192,,
-30.409,652.192,,
-28.697,652.192,,
-27.058,652.401,,
-25.421,652.401,,
-24.004,652.401,,
-23.193,652.401,,
-22.698,652.684,,
-22.042,652.684,,
-21.492,652.684,,
-21.430,652.684,,
-21.867,652.906,,
-22.617,652.906,,
-23.659,652.906,,
-25.025,652.906,,
-26.626,653.250,,
-28.036,653.250,,
-28.663,653.250,,
-28.979,653.250,,
-29.339,653.420,,
-29.953,653.420,,
-30.753,653.420,,
-31.503,653.420,,
-32.291,653.441,,
-33.037,653.441,,
-33.379,653.441,,
-33.444,653.441,,
-33.586,653.481,,
-34.128,653.481,,
-34.533,653.481,,
-34.714,653.481,,
-34.752,653.344,,
-35.001,653.344,,
-35.674,653.344,,
-36.593,653.344,,
-37.473,653.278,,
-37.862,653.278,,
-37.834,653.278,,
-37.511,653.278,,
-37.090,653.172,,
-36.666,653.172,,
-36.172,653.172,,
-35.626,653.172,,
-35.077,652.975,,
-34.675,652.975,,
-34.457,652.975,,
-34.587,652.975,,
-34.680,652.907,,
-34.324,652.907,,
-33.567,652.907,,
-32.689,652.907,,
-32.183,652.714,,
-32.213,652.714,,
-32.297,652.714,,
-32.222,652.714,,
-32.386,652.555,,
-32.581,652.555,,
-32.727,652.555,,
-33.166,652.555,,
-33.716,652.439,,
-34.211,652.439,,
-34.771,652.439,,
-35.531,652.439,,
-35.874,652.206,,
-35.840,652.206,,
-35.785,652.206,,
-35.905,652.206,,
-36.323,652.092,,
-36.549,652.092,,
-36.287,652.092,,
-35.794,652.092,,
-35.350,651.885,,
-35.103,651.885,,
-35.091,651.885,,
-35.302,651.885,,
-35.666,651.635,,
-35.815,651.635,,
-36.081,651.635,,
-36.642,651.635,,
-37.364,651.523,,
-37.771,651.523,,
-37.677,651.523,,
-37.623,651.523,,
-37.516,651.298,,
-37.486,651.298,,
-37.377,651.298,,
-36.877,651.298,,
-36.367,651.150,,
-35.868,651.150,,
-35.095,651.150,,
-34.451,651.150,,
-33.912,651.033,,
-33.583,651.033,,
-33.386,651.033,,
-33.579,651.033,,
-34.057,650.831,,
-34.595,650.831,,
-35.382,650.831,,
-35.967,650.831,,
-36.199,650.700,,
-36.150,650.700,,
-35.882,650.700,,
-35.898,650.700,,
-36.279,650.517,,
-36.711,650.517,,
-37.059,650.517,,
-37.076,650.517,,
-36.692,650.238,,
-36.159,650.238,,
-35.537,650.238,,
-35.212,650.238,,
-35.317,649.973,,
-35.560,649.973,,
-35.717,649.973,,
-36.044,649.973,,
-36.641,649.555,,
-37.389,649.555,,
-38.173,649.555,,
-38.555,649.555,,
-38.558,649.233,,
-38.253,649.233,,
-37.767,649.233,,
-36.665,649.233,,
-35.126,648.894,,
-33.480,648.894,,
