Data recorded on Mon Jun 26 15:25:38 CAT 2017
Time: 15:25:46
Time		Millis		bpm		Period		SpO2
25,50	,	40203	,	64	,	832	,	99.70842
25,50	,	41050	,	64	,	847	,	100.73805
25,51	,	41978	,	65	,	928	,	101.04542
25,52	,	42889	,	65	,	911	,	101.01402
25,53	,	43880	,	64	,	991	,	101.522354
25,54	,	44840	,	65	,	960	,	101.94698
25,55	,	45896	,	64	,	1056	,	102.08202
25,56	,	46856	,	64	,	960	,	101.891624
25,57	,	47847	,	64	,	991	,	101.89444
25,58	,	48886	,	63	,	1039	,	101.17878
25,59	,	49862	,	62	,	976	,	100.96777
26,0	,	50870	,	61	,	1008	,	100.5981
26,1	,	51845	,	60	,	975	,	100.41145
26,2	,	52789	,	60	,	944	,	100.22215
26,3	,	53845	,	60	,	1056	,	99.95218
26,4	,	54852	,	59	,	1007	,	99.56256
26,5	,	55859	,	60	,	1007	,	99.489136
26,6	,	56915	,	59	,	1056	,	99.704254
26,7	,	57875	,	59	,	960	,	100.06018
26,8	,	58882	,	60	,	1007	,	100.69345
26,9	,	59906	,	59	,	1024	,	101.04379
26,10	,	60897	,	59	,	991	,	101.44295
26,11	,	61873	,	59	,	976	,	101.601746
26,12	,	62912	,	59	,	1039	,	101.83907
26,13	,	63920	,	59	,	1008	,	101.786606
26,14	,	64896	,	59	,	976	,	101.74059
26,15	,	65903	,	59	,	1007	,	101.819275
26,16	,	66863	,	60	,	960	,	102.14406
26,17	,	67838	,	60	,	975	,	101.837944
26,18	,	68862	,	60	,	1024	,	102.05099
26,19	,	69854	,	60	,	992	,	102.05673
26,20	,	70813	,	60	,	959	,	101.731316
26,21	,	71885	,	59	,	1072	,	101.82573
26,22	,	72892	,	60	,	1007	,	101.71896
26,23	,	73900	,	60	,	1008	,	101.85092
26,24	,	74987	,	59	,	1087	,	101.61276
26,25	,	76043	,	59	,	1056	,	101.612434
26,26	,	77051	,	58	,	1008	,	101.099915
26,27	,	78058	,	58	,	1007	,	101.07191
26,28	,	79113	,	58	,	1055	,	100.79649
26,29	,	80073	,	58	,	960	,	100.79779
26,30	,	81001	,	58	,	928	,	101.29463
26,31	,	81976	,	59	,	975	,	101.40667
26,32	,	83048	,	59	,	1072	,	101.76337
26,33	,	83992	,	59	,	944	,	101.68451
26,34	,	84935	,	60	,	943	,	102.26245
26,35	,	85959	,	60	,	1024	,	102.35701
26,36	,	86966	,	60	,	1007	,	102.51361
26,37	,	87910	,	60	,	944	,	102.26121
26,38	,	88949	,	61	,	1039	,	102.723015
26,39	,	89989	,	60	,	1040	,	102.251816
26,40	,	91029	,	59	,	1040	,	102.06803
26,41	,	91988	,	59	,	959	,	101.82051
26,42	,	92996	,	60	,	1008	,	101.66733
26,43	,	94020	,	59	,	1024	,	101.99189
26,44	,	94963	,	59	,	943	,	102.14732
26,45	,	95907	,	60	,	944	,	102.354866
26,46	,	96962	,	60	,	1055	,	102.39591
26,47	,	98034	,	59	,	1072	,	102.54076
26,48	,	99041	,	59	,	1007	,	101.6089
26,49	,	100161	,	58	,	1120	,	102.11258
