RAW Data export file (comma separated)


Client:	John,Sample
Session:	AndreV1 
Date:	25-07-2017
Time:	13:29:54
Duration:	662	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-177.987,735.069,,
-177.931,735.069,,
-177.801,735.069,,
-177.541,735.069,,
-177.482,735.596,,
-177.475,735.596,,
-177.480,735.596,,
-177.473,735.596,,
-177.420,736.163,,
-177.420,736.163,,
-177.557,736.163,,
-177.622,736.163,,
-177.558,736.706,,
-177.454,736.706,,
-177.389,736.706,,
-177.369,736.706,,
-177.369,737.331,,
-177.353,737.331,,
-177.277,737.331,,
-177.156,737.331,,
-177.075,737.958,,
-177.021,737.958,,
-176.990,737.958,,
-177.040,737.958,,
-177.018,738.550,,
-176.978,738.550,,
-177.045,738.550,,
-177.154,738.550,,
-177.217,739.231,,
-177.192,739.231,,
-177.174,739.231,,
-177.080,739.231,,
-177.087,739.909,,
-177.204,739.909,,
-177.267,739.909,,
-177.285,739.909,,
-177.247,740.445,,
-177.220,740.445,,
-177.221,740.445,,
-177.189,740.445,,
-177.177,741.038,,
-177.174,741.038,,
-177.146,741.038,,
-177.172,741.038,,
-177.136,741.688,,
-177.182,741.688,,
-177.199,741.688,,
-177.210,741.688,,
-177.215,742.277,,
-177.203,742.277,,
-177.309,742.277,,
-177.318,742.277,,
-177.312,742.839,,
-177.306,742.839,,
-177.241,742.839,,
-177.139,742.839,,
-177.117,743.305,,
-176.994,743.305,,
-176.993,743.305,,
-176.961,743.305,,
-177.019,743.630,,
-177.182,743.630,,
-177.286,743.630,,
-177.364,743.630,,
-177.388,743.750,,
-177.428,743.750,,
-177.316,743.750,,
-177.257,743.750,,
-177.252,743.862,,
-177.261,743.862,,
-177.308,743.862,,
-177.320,743.862,,
-177.378,743.871,,
-177.362,743.871,,
-177.254,743.871,,
-177.221,743.871,,
-177.225,743.775,,
-177.206,743.775,,
-177.158,743.775,,
-177.178,743.775,,
-177.181,743.534,,
-177.118,743.534,,
-177.137,743.534,,
-177.147,743.534,,
-177.224,743.299,,
-177.175,743.299,,
-177.121,743.299,,
-177.126,743.299,,
-177.138,743.122,,
-177.131,743.122,,
-177.092,743.122,,
-177.125,743.122,,
-177.112,742.925,,
-177.107,742.925,,
-177.089,742.925,,
-177.013,742.925,,
-177.045,742.715,,
-177.188,742.715,,
-177.216,742.715,,
-177.217,742.715,,
-177.153,742.651,,
-177.156,742.651,,
-177.134,742.651,,
-177.114,742.651,,
-177.065,742.571,,
-177.029,742.571,,
-177.074,742.571,,
-177.094,742.571,,
-177.071,742.459,,
-177.122,742.459,,
-177.157,742.459,,
-177.161,742.459,,
-177.126,742.520,,
-177.228,742.520,,
-177.259,742.520,,
-177.179,742.520,,
-177.150,742.645,,
-177.114,742.645,,
-177.070,742.645,,
-177.015,742.645,,
-177.056,742.823,,
-177.077,742.823,,
-177.174,742.823,,
-177.092,742.823,,
-177.072,743.185,,
-177.064,743.185,,
-177.087,743.185,,
-177.233,743.185,,
-177.257,743.475,,
-177.332,743.475,,
-177.228,743.475,,
-177.173,743.475,,
-177.162,743.518,,
-177.106,743.518,,
-177.093,743.518,,
-177.110,743.518,,
-177.121,743.290,,
-177.170,743.290,,
-177.144,743.290,,
-177.137,743.290,,
-177.071,742.900,,
-176.978,742.900,,
-176.965,742.900,,
-177.025,742.900,,
-177.122,742.221,,
-177.103,742.221,,
-177.102,742.221,,
-177.098,742.221,,
-177.056,741.546,,
-177.056,741.546,,
-176.993,741.546,,
-177.039,741.546,,
-177.072,741.252,,
-177.090,741.252,,
-177.071,741.252,,
-177.039,741.252,,
-177.062,741.215,,
-177.116,741.215,,
-177.175,741.215,,
-177.131,741.215,,
-177.247,741.172,,
-177.135,741.172,,
-177.045,741.172,,
-177.042,741.172,,
-177.028,741.073,,
-176.937,741.073,,
-176.883,741.073,,
-176.903,741.073,,
-176.930,740.915,,
-177.088,740.915,,
-177.237,740.915,,
-177.296,740.915,,
-177.283,740.770,,
-177.261,740.770,,
-177.256,740.770,,
-177.133,740.770,,
-177.012,740.661,,
-177.024,740.661,,
-176.969,740.661,,
-176.946,740.661,,
-176.982,740.329,,
-176.991,740.329,,
-176.959,740.329,,
-176.915,740.329,,
-176.962,739.992,,
-176.979,739.992,,
-176.919,739.992,,
-176.909,739.992,,
-176.913,739.941,,
-176.918,739.941,,
-176.931,739.941,,
-176.939,739.941,,
-176.994,739.727,,
-177.029,739.727,,
-177.023,739.727,,
-177.073,739.727,,
-177.153,739.532,,
-177.113,739.532,,
-177.084,739.532,,
-177.058,739.532,,
-177.032,739.859,,
-177.020,739.859,,
-177.019,739.859,,
-177.069,739.859,,
-177.019,739.979,,
-177.013,739.979,,
-176.989,739.979,,
-177.012,739.979,,
-177.037,739.588,,
-177.030,739.588,,
-177.020,739.588,,
-177.046,739.588,,
-176.977,739.505,,
-176.974,739.505,,
-176.952,739.505,,
-176.945,739.505,,
-176.987,739.476,,
-177.010,739.476,,
-177.035,739.476,,
-177.098,739.476,,
-177.129,739.345,,
-177.024,739.345,,
-176.924,739.345,,
-176.978,739.345,,
-177.001,739.359,,
-177.019,739.359,,
-177.036,739.359,,
-176.966,739.359,,
-176.992,739.237,,
-177.096,739.237,,
-177.128,739.237,,
-176.992,739.237,,
-176.952,739.056,,
-176.992,739.056,,
-176.939,739.056,,
-177.032,739.056,,
-177.074,739.027,,
-177.023,739.027,,
-176.933,739.027,,
-176.907,739.027,,
-176.956,739.018,,
-176.923,739.018,,
-176.871,739.018,,
-176.889,739.018,,
-176.909,739.117,,
-177.034,739.117,,
-177.110,739.117,,
-177.118,739.117,,
-177.031,739.271,,
-176.925,739.271,,
-176.899,739.271,,
-176.883,739.271,,
-176.889,739.285,,
-176.874,739.285,,
-176.857,739.285,,
-176.957,739.285,,
-177.028,739.347,,
-177.005,739.347,,
-176.980,739.347,,
-176.960,739.347,,
-176.876,739.183,,
-176.835,739.183,,
-176.920,739.183,,
-177.032,739.183,,
-177.108,738.888,,
-177.047,738.888,,
-177.034,738.888,,
-176.967,738.888,,
-176.991,738.745,,
-177.085,738.745,,
-177.097,738.745,,
-177.010,738.745,,
-176.969,738.638,,
-176.959,738.638,,
-176.922,738.638,,
-176.908,738.638,,
-176.979,738.555,,
-177.065,738.555,,
-177.095,738.555,,
-177.131,738.555,,
-177.072,738.634,,
-177.017,738.634,,
-177.017,738.634,,
-177.022,738.634,,
-177.032,738.496,,
-176.965,738.496,,
-177.015,738.496,,
-177.052,738.496,,
-177.012,738.049,,
-176.994,738.049,,
-176.967,738.049,,
-176.961,738.049,,
-176.935,737.942,,
-176.971,737.942,,
-176.924,737.942,,
-176.853,737.942,,
-176.809,737.748,,
-176.807,737.748,,
-176.884,737.748,,
-176.850,737.748,,
-176.861,737.329,,
-176.903,737.329,,
-176.922,737.329,,
-176.939,737.329,,
-176.960,736.957,,
-176.904,736.957,,
-176.911,736.957,,
-176.875,736.957,,
-176.815,736.472,,
-176.751,736.472,,
-176.829,736.472,,
-176.858,736.472,,
-176.877,735.914,,
-176.898,735.914,,
-176.967,735.914,,
-176.984,735.914,,
-177.007,735.246,,
-176.991,735.246,,
-176.974,735.246,,
-176.856,735.246,,
-176.750,734.548,,
-176.788,734.548,,
-176.741,734.548,,
-176.828,734.548,,
-176.874,734.008,,
-176.897,734.008,,
-176.898,734.008,,
-176.904,734.008,,
-176.927,733.741,,
-176.939,733.741,,
