Data recorded on Tue Jul 25 13-41-43 CAT 2017
Time: 13:41:53
Time		Millis		IR PPG		Red PPG		Filtered		SSF
42,2	,	25941	,	-27579	,	-25192	,	-1.5416622	,	9
42,2	,	25957	,	-27572	,	-25189	,	7.9163637	,	16
42,2	,	25973	,	-27576	,	-25173	,	17.534653	,	25
42,2	,	26005	,	-27573	,	-25161	,	25.94586	,	34
42,2	,	26021	,	-27574	,	-25157	,	32.078247	,	42
42,2	,	26053	,	-27558	,	-25165	,	35.45013	,	48
42,2	,	26069	,	-27561	,	-25156	,	36.22865	,	51
42,2	,	26085	,	-27572	,	-25171	,	34.867115	,	50
42,2	,	26117	,	-27564	,	-25171	,	31.75849	,	47
42,2	,	26133	,	-27553	,	-25137	,	27.414852	,	42
42,2	,	26149	,	-27553	,	-25144	,	22.610718	,	35
42,2	,	26181	,	-27549	,	-25152	,	18.069927	,	26
42,2	,	26197	,	-27560	,	-25158	,	14.165856	,	17
42,2	,	26213	,	-27539	,	-25158	,	10.997872	,	9
42,2	,	26245	,	-27558	,	-25140	,	8.599447	,	3
42,2	,	26261	,	-27548	,	-25149	,	6.8862224	,	0
42,2	,	26293	,	-27553	,	-25149	,	5.6464233	,	0
42,2	,	26309	,	-27550	,	-25138	,	4.7085757	,	0
42,2	,	26325	,	-27556	,	-25152	,	3.9404066	,	0
42,2	,	26357	,	-27559	,	-25142	,	3.1877859	,	0
42,2	,	26373	,	-27568	,	-25155	,	2.275433	,	0
42,2	,	26389	,	-27578	,	-25152	,	0.9984168	,	0
42,2	,	26421	,	-27580	,	-25165	,	-0.81079304	,	0
42,2	,	26436	,	-27580	,	-25155	,	-3.108999	,	0
42,2	,	26469	,	-27587	,	-25181	,	-5.619823	,	0
42,2	,	26485	,	-27598	,	-25162	,	-8.080212	,	0
42,2	,	26501	,	-27607	,	-25183	,	-10.42547	,	0
42,2	,	26533	,	-27618	,	-25185	,	-12.72403	,	0
42,2	,	26549	,	-27637	,	-25198	,	-15.101203	,	0
42,2	,	26565	,	-27637	,	-25188	,	-17.677675	,	0
42,2	,	26597	,	-27639	,	-25201	,	-20.352245	,	0
42,2	,	26613	,	-27648	,	-25209	,	-22.768011	,	0
42,2	,	26629	,	-27667	,	-25188	,	-24.669771	,	0
42,2	,	26661	,	-27661	,	-25189	,	-26.06247	,	0
42,2	,	26677	,	-27673	,	-25210	,	-26.963736	,	0
42,2	,	26709	,	-27673	,	-25184	,	-27.312334	,	0
42,2	,	26725	,	-27673	,	-25207	,	-27.046028	,	0
42,2	,	26740	,	-27648	,	-25202	,	-25.969902	,	0
42,2	,	26773	,	-27628	,	-25186	,	-23.597198	,	1
42,2	,	26788	,	-27591	,	-25174	,	-19.250471	,	3
42,2	,	26805	,	-27593	,	-25172	,	-12.480073	,	7
42,2	,	26837	,	-27566	,	-25165	,	-3.5110521	,	13
42,2	,	26853	,	-27557	,	-25154	,	6.843487	,	21
42,2	,	26884	,	-27545	,	-25163	,	17.568424	,	31
42,2	,	26900	,	-27547	,	-25154	,	27.580582	,	41
42,2	,	26916	,	-27538	,	-25169	,	35.82969	,	51
42,3	,	26948	,	-27550	,	-25130	,	41.488937	,	59
42,3	,	26964	,	-27545	,	-25145	,	44.060074	,	63
42,3	,	26980	,	-27548	,	-25150	,	43.47754	,	63
42,3	,	27013	,	-27553	,	-25136	,	40.119057	,	59
42,3	,	27029	,	-27538	,	-25144	,	34.699364	,	53
42,3	,	27060	,	-27543	,	-25149	,	28.182455	,	45
