Data recorded on Tue Jun 27 18-42-54 CAT 2017
Time: 18:43:5
Time		Millis		objTemp		dieTemp		sensorVoltage
43,14	,	81946	,	38.32	,	34.63	,	47.0
43,15	,	85961	,	38.23	,	34.59	,	43.0
43,19	,	89974	,	38.29	,	34.63	,	45.0
43,23	,	93988	,	38.26	,	34.63	,	43.0
43,27	,	98002	,	38.25	,	34.63	,	42.0
43,31	,	102016	,	38.28	,	34.66	,	42.0
43,35	,	106030	,	38.28	,	34.63	,	44.0
43,39	,	110044	,	38.32	,	34.66	,	45.0
43,43	,	114058	,	38.31	,	34.66	,	44.0
43,47	,	118072	,	38.28	,	34.66	,	42.0
43,51	,	122086	,	38.31	,	34.66	,	44.0
43,55	,	126100	,	38.33	,	34.66	,	46.0
43,59	,	130114	,	38.35	,	34.66	,	47.0
44,3	,	134128	,	38.32	,	34.66	,	45.0
44,7	,	138142	,	38.33	,	34.66	,	46.0
44,11	,	142156	,	38.36	,	34.66	,	48.0
