RAW Data export file (comma separated)


Client:	Andre,Bestbier
Session:	Andre_I 
Date:	27-06-2017
Time:	18:11:07
Duration:	183	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-20.682,639.506,,
-21.456,639.506,,
-22.362,639.506,,
-23.224,639.506,,
-24.000,639.284,,
-24.872,639.284,,
-25.741,639.284,,
-26.423,639.284,,
-26.904,639.096,,
-27.347,639.096,,
-27.973,639.096,,
-28.686,639.096,,
-29.226,638.881,,
-29.575,638.881,,
-30.017,638.881,,
-30.689,638.881,,
-31.372,638.643,,
-31.816,638.643,,
-31.969,638.643,,
-32.040,638.643,,
-32.221,638.382,,
-32.302,638.382,,
-32.135,638.382,,
-31.698,638.382,,
-31.205,638.189,,
-30.826,638.189,,
-30.285,638.189,,
-29.641,638.189,,
-28.951,638.035,,
-28.213,638.035,,
-27.709,638.035,,
-27.218,638.035,,
-26.806,637.853,,
-26.473,637.853,,
-26.334,637.853,,
-26.470,637.853,,
-26.592,637.629,,
-26.608,637.629,,
-26.576,637.629,,
-26.714,637.629,,
-27.213,637.391,,
-27.647,637.391,,
-27.888,637.391,,
-28.025,637.391,,
-28.194,637.164,,
-28.559,637.164,,
-28.888,637.164,,
-29.116,637.164,,
-29.305,636.919,,
-29.553,636.919,,
-29.866,636.919,,
-30.068,636.919,,
-30.163,636.654,,
-30.100,636.654,,
-30.091,636.654,,
-30.148,636.654,,
-30.056,636.366,,
-29.865,636.366,,
-29.687,636.366,,
-29.674,636.366,,
-29.804,636.034,,
-29.966,636.034,,
-30.009,636.034,,
-29.914,636.034,,
-29.915,635.745,,
-30.072,635.745,,
-30.230,635.745,,
-30.235,635.745,,
-30.137,635.573,,
-30.167,635.573,,
-30.265,635.573,,
-30.259,635.573,,
-30.061,635.422,,
-29.866,635.422,,
-29.846,635.422,,
-29.938,635.422,,
-29.943,635.204,,
-29.791,635.204,,
-29.634,635.204,,
-29.685,635.204,,
-29.906,635.046,,
-30.019,635.046,,
-29.856,635.046,,
-29.687,635.046,,
-29.739,634.929,,
-29.887,634.929,,
-29.977,634.929,,
-29.974,634.929,,
-29.963,634.849,,
-30.129,634.849,,
-30.263,634.849,,
-30.244,634.849,,
-30.174,634.678,,
-30.078,634.678,,
-30.200,634.678,,
-30.372,634.678,,
-30.447,634.363,,
-30.461,634.363,,
-30.412,634.363,,
-30.477,634.363,,
-30.448,634.012,,
-30.032,634.012,,
-29.049,634.012,,
-27.717,634.012,,
-26.327,633.711,,
-24.762,633.711,,
-22.995,633.711,,
-21.239,633.711,,
-19.721,633.522,,
-18.647,633.522,,
-17.807,633.522,,
-17.121,633.522,,
-16.764,633.455,,
-16.767,633.455,,
-17.206,633.455,,
-17.814,633.455,,
-18.475,633.416,,
-19.189,633.416,,
-19.994,633.416,,
-20.953,633.416,,
-21.873,633.409,,
-22.689,633.409,,
-23.410,633.409,,
-24.226,633.409,,
-25.177,633.373,,
-26.078,633.373,,
-26.821,633.373,,
-27.409,633.373,,
-27.918,633.348,,
-28.444,633.348,,
-28.831,633.348,,
-29.067,633.348,,
-29.153,633.361,,
-29.359,633.361,,
-29.675,633.361,,
-29.861,633.361,,
-29.903,633.362,,
-29.827,633.362,,
-29.832,633.362,,
-29.908,633.362,,
-29.661,633.313,,
-29.199,633.313,,
-28.672,633.313,,
-28.354,633.313,,
-28.120,633.289,,
-27.833,633.289,,
-27.556,633.289,,
-27.224,633.289,,
-27.012,633.300,,
-26.790,633.300,,
-26.418,633.300,,
-26.016,633.300,,
-25.752,633.349,,
-25.900,633.349,,
-26.275,633.349,,
-26.589,633.349,,
-26.839,633.436,,
-27.018,633.436,,
-27.423,633.436,,
-27.937,633.436,,
-28.257,633.535,,
-28.384,633.535,,
-28.417,633.535,,
-28.615,633.535,,
-28.938,633.647,,
-29.080,633.647,,
-29.090,633.647,,
-29.170,633.647,,
-29.464,633.760,,
-29.843,633.760,,
-29.979,633.760,,
-29.938,633.760,,
-29.885,633.923,,
-30.002,633.923,,
-30.167,633.923,,
-30.260,633.923,,
-30.199,634.120,,
-30.133,634.120,,
-30.247,634.120,,
-30.360,634.120,,
-30.374,634.307,,
-30.268,634.307,,
-30.138,634.307,,
-30.146,634.307,,
-30.114,634.505,,
-30.005,634.505,,
-29.760,634.505,,
-29.570,634.505,,
-29.644,634.709,,
-29.704,634.709,,
-29.575,634.709,,
-29.323,634.709,,
-29.208,634.942,,
-29.260,634.942,,
-29.254,634.942,,
-29.122,634.942,,
-28.846,635.209,,
-28.710,635.209,,
-28.771,635.209,,
-28.796,635.209,,
-28.765,635.450,,
-28.729,635.450,,
-28.877,635.450,,
-29.126,635.450,,
-29.241,635.720,,
-29.209,635.720,,
-29.068,635.720,,
-29.075,635.720,,
-29.271,636.008,,
-29.404,636.008,,
-29.477,636.008,,
-29.455,636.008,,
-29.534,636.291,,
-29.769,636.291,,
-29.943,636.291,,
-29.971,636.291,,
-29.917,636.487,,
-30.062,636.487,,
-30.357,636.487,,
-30.538,636.487,,
-30.545,636.605,,
-30.459,636.605,,
-30.408,636.605,,
-30.305,636.605,,
-29.933,636.729,,
-29.175,636.729,,
-28.116,636.729,,
-26.860,636.729,,
-25.433,636.972,,
-23.638,636.972,,
-21.624,636.972,,
-19.776,636.972,,
-18.437,637.255,,
-17.450,637.255,,
-16.717,637.255,,
-16.214,637.255,,
-16.017,637.594,,
-16.254,637.594,,
-16.787,637.594,,
-17.351,637.594,,
-18.014,637.984,,
-18.853,637.984,,
-20.005,637.984,,
-21.199,637.984,,
-22.196,638.367,,
-22.988,638.367,,
-23.648,638.367,,
-24.359,638.367,,
-25.096,638.802,,
-25.664,638.802,,
-26.062,638.802,,
-26.446,638.802,,
-26.986,639.235,,
-27.516,639.235,,
-27.921,639.235,,
-28.200,639.235,,
-28.557,639.628,,
-29.123,639.628,,
-29.579,639.628,,
-29.835,639.628,,
-29.851,640.082,,
-29.683,640.082,,
-29.534,640.082,,
-29.269,640.082,,
-28.903,640.522,,
-28.414,640.522,,
-28.011,640.522,,
-27.779,640.522,,
-27.471,640.947,,
-27.015,640.947,,
-26.507,640.947,,
-26.242,640.947,,
-26.212,641.403,,
-26.153,641.403,,
-26.006,641.403,,
-25.854,641.403,,
-25.918,641.919,,
-26.123,641.919,,
-26.382,641.919,,
-26.711,641.919,,
-27.041,642.502,,
-27.505,642.502,,
-28.032,642.502,,
-28.454,642.502,,
-28.657,643.075,,
-28.675,643.075,,
-28.769,643.075,,
-28.931,643.075,,
-29.030,643.496,,
-29.063,643.496,,
-29.073,643.496,,
-29.182,643.496,,
-29.351,643.668,,
-29.475,643.668,,
-29.449,643.668,,
-29.316,643.668,,
-29.388,643.746,,
-29.533,643.746,,
-29.688,643.746,,
-29.747,643.746,,
-29.853,643.844,,
-30.099,643.844,,
-30.329,643.844,,
-30.408,643.844,,
-30.379,643.908,,
-30.300,643.908,,
-30.381,643.908,,
-30.438,643.908,,
-30.397,643.754,,
-30.205,643.754,,
-29.943,643.754,,
-29.854,643.754,,
-29.785,643.464,,
-29.572,643.464,,
-29.245,643.464,,
-28.954,643.464,,
-28.960,643.111,,
-29.084,643.111,,
-29.070,643.111,,
-29.003,643.111,,
-28.944,642.616,,
-29.110,642.616,,
-29.317,642.616,,
-29.343,642.616,,
-29.248,642.249,,
-29.173,642.249,,
-29.382,642.249,,
-29.607,642.249,,
-29.683,641.937,,
-29.740,641.937,,
