Data recorded on Tue Jun 27 18-11-27 CAT 2017
Time: 18:11:55
Time		Millis		bpm		Period		SpO2
12,4	,	74261	,	62	,	944	,	101.86975
12,4	,	75188	,	61	,	927	,	102.05785
12,5	,	76116	,	61	,	928	,	102.473274
12,6	,	77059	,	61	,	943	,	102.80665
12,7	,	77923	,	62	,	864	,	103.10123
12,8	,	78835	,	62	,	912	,	103.07176
12,9	,	79763	,	63	,	928	,	102.94675
12,10	,	80626	,	64	,	863	,	102.15476
12,10	,	81538	,	65	,	912	,	101.92991
12,11	,	82401	,	66	,	863	,	100.95248
12,12	,	83345	,	66	,	944	,	100.507126
12,13	,	84209	,	66	,	864	,	100.35387
12,14	,	85184	,	66	,	975	,	100.16772
12,15	,	86112	,	66	,	928	,	100.05359
12,16	,	87120	,	65	,	1008	,	100.10061
12,17	,	88063	,	65	,	943	,	100.69187
12,18	,	89007	,	64	,	944	,	100.61857
12,19	,	89935	,	64	,	927	,	100.91382
12,20	,	90846	,	64	,	911	,	101.13987
12,21	,	91694	,	64	,	848	,	102.09256
12,21	,	92526	,	65	,	832	,	102.478
12,22	,	93469	,	64	,	943	,	102.394714
12,23	,	94349	,	65	,	880	,	102.48059
12,24	,	95261	,	65	,	912	,	102.28778
12,25	,	96252	,	65	,	991	,	102.04971
12,26	,	97164	,	65	,	912	,	101.480225
12,27	,	98107	,	66	,	943	,	101.67617
12,28	,	99115	,	65	,	1008	,	101.99854
12,29	,	100059	,	65	,	944	,	101.88688
12,30	,	101018	,	64	,	959	,	102.1432
12,31	,	102010	,	63	,	992	,	102.06241
12,32	,	102969	,	63	,	959	,	102.19606
12,33	,	103881	,	62	,	912	,	101.957275
12,34	,	104889	,	62	,	1008	,	102.25839
12,35	,	105897	,	62	,	1008	,	102.256714
12,36	,	106872	,	61	,	975	,	102.42412
12,37	,	107848	,	61	,	976	,	102.30376
12,38	,	108887	,	61	,	1039	,	102.31271
12,39	,	109863	,	61	,	976	,	102.28519
12,40	,	110854	,	61	,	991	,	101.779434
12,41	,	111814	,	61	,	960	,	102.11702
12,42	,	112870	,	60	,	1056	,	102.185646
12,43	,	113845	,	60	,	975	,	102.59569
12,44	,	114885	,	60	,	1040	,	102.176414
12,45	,	115860	,	60	,	975	,	102.178535
12,46	,	116868	,	60	,	1008	,	101.987625
12,47	,	117876	,	59	,	1008	,	102.04197
12,48	,	118883	,	60	,	1007	,	101.840355
12,49	,	119875	,	59	,	992	,	102.07816
12,50	,	120866	,	59	,	991	,	102.56559
12,51	,	121778	,	60	,	912	,	102.41846
12,52	,	122722	,	60	,	944	,	102.41018
12,53	,	123682	,	61	,	960	,	102.27241
12,53	,	124609	,	61	,	927	,	102.87939
12,54	,	125521	,	62	,	912	,	102.752495
12,55	,	126481	,	62	,	960	,	103.005646
12,56	,	127360	,	63	,	879	,	102.91546
12,57	,	128288	,	63	,	928	,	103.0637
12,58	,	129247	,	64	,	959	,	102.99879
12,59	,	130191	,	64	,	944	,	102.6355
13,0	,	131135	,	64	,	944	,	102.61375
13,1	,	132094	,	64	,	959	,	102.543175
13,2	,	132990	,	64	,	896	,	102.450195
13,3	,	133933	,	64	,	943	,	102.22958
