RAW Data export file (comma separated)


Client:	John,Sample
Session:	Cobus1 
Date:	24-07-2017
Time:	11:19:13
Duration:	468	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-10.370,1047.692,,
-12.768,1047.692,,
-15.680,1047.692,,
-18.085,1047.692,,
-19.904,1047.276,,
-22.236,1047.276,,
-23.230,1047.276,,
-24.325,1047.276,,
-25.215,1046.877,,
-25.288,1046.877,,
-26.290,1046.877,,
-25.918,1046.877,,
-25.381,1046.556,,
-24.881,1046.556,,
-23.005,1046.556,,
-22.056,1046.556,,
-20.386,1046.195,,
-18.818,1046.195,,
-17.978,1046.195,,
-16.357,1046.195,,
-16.471,1045.815,,
-16.356,1045.815,,
-16.054,1045.815,,
-16.723,1045.815,,
-16.817,1045.556,,
-17.711,1045.556,,
-18.528,1045.556,,
-18.755,1045.556,,
-19.937,1045.295,,
-19.560,1045.295,,
-19.206,1045.295,,
-19.317,1045.295,,
-19.145,1044.975,,
-20.527,1044.975,,
-21.328,1044.975,,
-21.952,1044.975,,
-22.822,1044.660,,
-22.426,1044.660,,
-22.875,1044.660,,
-22.807,1044.660,,
-22.298,1044.314,,
-22.641,1044.314,,
-21.606,1044.314,,
-21.511,1044.314,,
-21.557,1044.057,,
-21.410,1044.057,,
-22.814,1044.057,,
-23.104,1044.057,,
-23.832,1043.624,,
-24.397,1043.624,,
-23.998,1043.624,,
-24.529,1043.624,,
-23.653,1043.176,,
-22.953,1043.176,,
-23.073,1043.176,,
-22.394,1043.176,,
-23.190,1042.667,,
-23.658,1042.667,,
-24.304,1042.667,,
-25.514,1042.667,,
-24.638,1042.138,,
-24.011,1042.138,,
-22.350,1042.138,,
-18.765,1042.138,,
-14.743,1041.591,,
-8.432,1041.591,,
-2.029,1041.591,,
4.720,1041.591,,
11.699,1040.738,,
16.511,1040.738,,
21.320,1040.738,,
24.883,1040.738,,
26.892,1040.118,,
28.331,1040.118,,
27.232,1040.118,,
25.121,1040.118,,
21.609,1039.821,,
16.850,1039.821,,
12.616,1039.821,,
7.043,1039.821,,
2.288,1039.705,,
-1.695,1039.705,,
-6.467,1039.705,,
-10.039,1039.705,,
-13.954,1039.456,,
-17.020,1039.456,,
-18.882,1039.456,,
-21.398,1039.456,,
-22.293,1039.155,,
-22.889,1039.155,,
-23.533,1039.155,,
-23.030,1039.155,,
-23.709,1038.906,,
-24.187,1038.906,,
-25.514,1038.906,,
-27.648,1038.906,,
-28.426,1038.588,,
-29.845,1038.588,,
-30.202,1038.588,,
-29.962,1038.588,,
-30.298,1038.292,,
-29.029,1038.292,,
-28.043,1038.292,,
-26.280,1038.292,,
-23.826,1037.833,,
-22.741,1037.833,,
-21.035,1037.833,,
-19.849,1037.833,,
-19.449,1037.465,,
-18.703,1037.465,,
-19.264,1037.465,,
-19.156,1037.465,,
-19.187,1037.097,,
-19.572,1037.097,,
-18.579,1037.097,,
-18.641,1037.097,,
-18.282,1036.773,,
-17.966,1036.773,,
-18.792,1036.773,,
-19.190,1036.773,,
-21.063,1036.472,,
-22.711,1036.472,,
-23.557,1036.472,,
-24.764,1036.472,,
-24.115,1036.024,,
-23.836,1036.024,,
-23.954,1036.024,,
-23.710,1036.024,,
-24.573,1035.569,,
-24.254,1035.569,,
-23.705,1035.569,,
-23.455,1035.569,,
-22.270,1034.974,,
-22.301,1034.974,,
-21.091,1034.974,,
-19.794,1034.974,,
-19.758,1034.399,,
-19.269,1034.399,,
-20.167,1034.399,,
-20.837,1034.399,,
-21.230,1033.622,,
-22.545,1033.622,,
-22.853,1033.622,,
-23.582,1033.622,,
-24.068,1032.908,,
-23.819,1032.908,,
-24.046,1032.908,,
-22.855,1032.908,,
-22.280,1032.049,,
-22.526,1032.049,,
-22.075,1032.049,,
-22.668,1032.049,,
-21.562,1031.058,,
-18.977,1031.058,,
-15.400,1031.058,,
-9.598,1031.058,,
-4.293,1030.100,,
1.532,1030.100,,
6.616,1030.100,,
10.005,1030.100,,
13.931,1029.099,,
16.337,1029.099,,
18.135,1029.099,,
19.234,1029.099,,
18.084,1028.419,,
16.771,1028.419,,
13.458,1028.419,,
9.228,1028.419,,
5.898,1027.690,,
1.496,1027.690,,
-1.646,1027.690,,
-4.715,1027.690,,
-8.185,1026.976,,
-10.129,1026.976,,
-12.384,1026.976,,
-13.768,1026.976,,
-15.032,1026.217,,
-17.296,1026.217,,
-18.410,1026.217,,
-20.159,1026.217,,
-21.720,1025.473,,
-22.941,1025.473,,
-25.287,1025.473,,
-26.333,1025.473,,
-27.337,1024.889,,
-27.955,1024.889,,
-27.584,1024.889,,
-28.293,1024.889,,
-27.611,1024.390,,
-27.000,1024.390,,
-27.167,1024.390,,
-26.186,1024.390,,
-25.751,1023.959,,
-24.288,1023.959,,
-22.923,1023.959,,
-22.750,1023.959,,
-21.212,1023.395,,
-20.598,1023.395,,
-19.658,1023.395,,
-18.569,1023.395,,
-18.925,1022.993,,
-18.227,1022.993,,
-18.510,1022.993,,
-18.984,1022.993,,
-18.941,1022.470,,
-19.925,1022.470,,
-19.708,1022.470,,
-19.694,1022.470,,
-19.829,1021.968,,
-18.754,1021.968,,
-19.030,1021.968,,
-18.753,1021.968,,
-19.012,1021.522,,
-20.552,1021.522,,
-21.688,1021.522,,
-24.070,1021.522,,
-25.637,1021.083,,
-25.914,1021.083,,
-26.211,1021.083,,
-24.597,1021.083,,
-23.393,1020.811,,
-22.195,1020.811,,
-21.064,1020.811,,
-22.115,1020.811,,
-22.642,1020.495,,
-23.331,1020.495,,
-23.659,1020.495,,
-23.078,1020.495,,
-24.076,1020.311,,
-24.508,1020.311,,
-24.852,1020.311,,
-25.624,1020.311,,
-25.218,1019.996,,
-26.000,1019.996,,
-25.859,1019.996,,
-25.215,1019.996,,
-25.414,1019.688,,
-24.416,1019.688,,
-24.295,1019.688,,
-23.705,1019.688,,
-22.291,1019.201,,
-21.785,1019.201,,
-19.505,1019.201,,
-16.684,1019.201,,
-12.861,1018.760,,
-7.863,1018.760,,
-3.651,1018.760,,
1.831,1018.760,,
6.541,1018.446,,
10.572,1018.446,,
14.600,1018.446,,
16.326,1018.446,,
18.017,1018.089,,
18.802,1018.089,,
18.028,1018.089,,
17.601,1018.089,,
15.355,1017.939,,
12.390,1017.939,,
9.292,1017.939,,
5.214,1017.939,,
2.365,1017.715,,
-1.344,1017.715,,
-5.244,1017.715,,
-8.770,1017.715,,
-13.047,1017.637,,
-15.524,1017.637,,
-18.069,1017.637,,
-20.395,1017.637,,
-21.135,1017.474,,
-22.143,1017.474,,
-21.896,1017.474,,
-22.107,1017.474,,
-23.477,1017.328,,
-23.921,1017.328,,
-24.924,1017.328,,
-24.974,1017.328,,
-24.802,1017.236,,
-25.493,1017.236,,
-25.346,1017.236,,
-25.941,1017.236,,
-25.925,1017.122,,
-24.927,1017.122,,
-24.502,1017.122,,
-22.794,1017.122,,
-21.689,1017.052,,
-20.891,1017.052,,
-19.538,1017.052,,
-19.399,1017.052,,
-18.367,1016.866,,
-17.674,1016.866,,
-17.427,1016.866,,
-16.155,1016.866,,
-16.482,1016.908,,
-16.679,1016.908,,
-16.927,1016.908,,
-17.951,1016.908,,
-17.822,1016.865,,
-18.565,1016.865,,
-19.035,1016.865,,
-19.130,1016.865,,
-20.629,1016.887,,
-21.202,1016.887,,
-22.741,1016.887,,
-24.462,1016.887,,
-25.193,1016.867,,
-26.330,1016.867,,
