Data recorded on Mon Jul 24 11-28-05 CAT 2017
Time: 11:28:23
Time		Millis		bpm		Period		SpO2
28,32	,	33133	,	93	,	624	,	98.33798
28,32	,	33773	,	94	,	640	,	98.351906
28,33	,	34381	,	95	,	608	,	98.59352
28,33	,	35020	,	95	,	639	,	99.113144
28,34	,	35676	,	94	,	656	,	99.41351
28,35	,	36316	,	94	,	640	,	99.67099
28,35	,	37020	,	93	,	704	,	99.68411
28,36	,	37739	,	92	,	719	,	99.97815
28,37	,	38459	,	91	,	720	,	100.12912
28,38	,	39131	,	90	,	672	,	100.309494
28,38	,	39818	,	89	,	687	,	100.1666
28,39	,	40474	,	89	,	656	,	99.71482
28,40	,	41130	,	89	,	656	,	99.65617
28,40	,	41770	,	88	,	640	,	99.71342
28,41	,	42394	,	89	,	624	,	99.470085
28,41	,	43033	,	89	,	639	,	99.2436
28,42	,	43689	,	90	,	656	,	99.178024
28,43	,	44361	,	90	,	672	,	98.982376
28,43	,	45048	,	91	,	687	,	98.86038
28,44	,	45720	,	91	,	672	,	98.94624
28,45	,	46408	,	91	,	688	,	99.477554
28,45	,	47064	,	91	,	656	,	99.79516
28,46	,	47719	,	91	,	655	,	99.79072
28,47	,	48375	,	90	,	656	,	99.721756
28,47	,	49031	,	90	,	656	,	99.898926
28,48	,	49671	,	90	,	640	,	100.13569
28,49	,	50310	,	90	,	639	,	100.35414
28,49	,	50935	,	91	,	625	,	100.44916
28,50	,	51590	,	91	,	655	,	100.41385
28,51	,	52294	,	91	,	704	,	100.28995
28,51	,	53013	,	90	,	719	,	100.038605
28,52	,	53717	,	90	,	704	,	99.94202
28,53	,	54405	,	89	,	688	,	99.84181
28,53	,	55093	,	89	,	688	,	99.708565
28,54	,	55765	,	89	,	672	,	99.66566
28,55	,	56388	,	89	,	623	,	99.71898
28,55	,	57028	,	89	,	640	,	99.58378
28,56	,	57668	,	89	,	640	,	99.58425
28,57	,	58291	,	89	,	623	,	99.46803
28,57	,	58931	,	90	,	640	,	99.55028
28,58	,	59635	,	90	,	704	,	99.7471
28,59	,	60291	,	91	,	656	,	99.9108
28,59	,	60947	,	91	,	656	,	100.37767
29,0	,	61586	,	92	,	639	,	100.52864
29,1	,	62226	,	92	,	640	,	100.11659
29,1	,	62882	,	92	,	656	,	100.125046
29,2	,	63489	,	92	,	607	,	100.38227
29,2	,	64098	,	93	,	609	,	100.54096
29,3	,	64737	,	93	,	639	,	100.64899
29,4	,	65377	,	93	,	640	,	100.360596
29,4	,	66033	,	93	,	656	,	100.31532
29,5	,	66689	,	93	,	656	,	100.25092
29,6	,	67345	,	93	,	656	,	100.100395
29,6	,	67984	,	93	,	639	,	99.90195
29,7	,	68608	,	94	,	624	,	100.08565
29,8	,	69231	,	94	,	623	,	99.969894
29,8	,	69855	,	94	,	624	,	99.76079
29,9	,	70479	,	94	,	624	,	99.77534
29,9	,	71087	,	94	,	608	,	99.87176
29,10	,	71743	,	94	,	656	,	99.85047
29,11	,	72399	,	94	,	656	,	99.785164
29,11	,	73070	,	94	,	671	,	100.02281
29,12	,	73758	,	93	,	688	,	100.19278
29,13	,	74414	,	93	,	656	,	100.2992
29,13	,	75054	,	93	,	640	,	100.17598
29,14	,	75709	,	92	,	655	,	100.05965
29,15	,	76317	,	92	,	608	,	100.147
29,15	,	76925	,	93	,	608	,	100.09354
29,16	,	77549	,	92	,	624	,	99.98654
29,17	,	78156	,	93	,	607	,	100.15907
29,17	,	78796	,	93	,	640	,	100.099754
29,18	,	79452	,	94	,	656	,	100.049225
29,18	,	80108	,	94	,	656	,	100.071724
29,19	,	80763	,	94	,	655	,	100.44492
29,20	,	81403	,	94	,	640	,	100.856865
29,20	,	82043	,	94	,	640	,	100.89378
29,21	,	82667	,	94	,	624	,	100.765564
29,22	,	83291	,	94	,	624	,	100.66396
29,22	,	83898	,	94	,	607	,	100.77852
29,23	,	84538	,	94	,	640	,	100.64575
29,24	,	85162	,	94	,	624	,	100.73095
29,24	,	85817	,	94	,	655	,	100.57513
29,25	,	86521	,	93	,	704	,	100.32688
29,26	,	87161	,	93	,	640	,	100.45938
29,26	,	87865	,	92	,	704	,	100.05264
29,27	,	88489	,	93	,	624	,	99.86228
29,28	,	89129	,	92	,	640	,	99.96099
29,28	,	89768	,	92	,	639	,	100.08029
29,29	,	90376	,	92	,	608	,	100.005226
29,29	,	91000	,	92	,	624	,	100.094185
29,30	,	91624	,	92	,	624	,	100.05242
29,31	,	92279	,	92	,	655	,	100.066666
29,31	,	92919	,	93	,	640	,	100.26386
