Data recorded on Mon Jul 24 13-18-46 CAT 2017
Time: 13:18:54
Time		Millis		objTemp		dieTemp		sensorVoltage
19,3	,	25768	,	31.24	,	32.63	,	-310.0
19,4	,	29782	,	31.42	,	32.66	,	-300.0
19,8	,	33797	,	31.51	,	32.69	,	-296.0
19,12	,	37811	,	31.64	,	32.75	,	-292.0
19,16	,	41826	,	31.73	,	32.78	,	-288.0
19,20	,	45840	,	31.83	,	32.81	,	-283.0
19,25	,	49855	,	31.95	,	32.84	,	-277.0
19,29	,	53869	,	32.01	,	32.88	,	-275.0
19,33	,	57884	,	32.09	,	32.91	,	-272.0
19,37	,	61898	,	32.18	,	32.94	,	-268.0
19,41	,	65913	,	32.24	,	32.97	,	-266.0
19,45	,	69927	,	32.33	,	33.0	,	-262.0
19,49	,	73942	,	32.41	,	33.03	,	-259.0
19,53	,	77956	,	32.44	,	33.06	,	-259.0
19,57	,	81955	,	32.44	,	33.09	,	-256.0
20,1	,	85985	,	32.56	,	33.09	,	-253.0
