RAW Data export file (comma separated)


Client:	John,Sample
Session:	Danie2 
Date:	24-07-2017
Time:	13:21:36
Duration:	169	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-27.212,650.409,,
-27.272,650.409,,
-27.672,650.409,,
-27.099,650.409,,
-27.430,647.444,,
-27.326,647.444,,
-27.692,647.444,,
-28.361,647.444,,
-27.828,647.392,,
-28.377,647.392,,
-28.320,647.392,,
-28.049,647.392,,
-28.602,647.292,,
-28.297,647.292,,
-28.702,647.292,,
-28.724,647.292,,
-28.202,647.291,,
-27.846,647.291,,
-25.940,647.291,,
-24.658,647.291,,
-24.181,647.338,,
-23.756,647.338,,
-24.725,647.338,,
-24.859,647.338,,
-25.280,647.446,,
-26.012,647.446,,
-25.959,647.446,,
-26.851,647.446,,
-27.136,647.471,,
-27.060,647.471,,
-27.635,647.471,,
-27.104,647.471,,
-27.383,647.513,,
-27.353,647.513,,
-26.584,647.513,,
-26.494,647.513,,
-25.795,647.570,,
-25.809,647.570,,
-25.823,647.570,,
-25.236,647.570,,
-25.602,647.633,,
-25.590,647.633,,
-26.245,647.633,,
-27.040,647.633,,
-26.861,647.679,,
-27.616,647.679,,
-28.262,647.679,,
-28.937,647.679,,
-30.181,647.635,,
-30.112,647.635,,
-30.575,647.635,,
-30.326,647.635,,
-29.592,647.606,,
-29.667,647.606,,
-28.794,647.606,,
-28.540,647.606,,
-28.251,647.654,,
-27.076,647.654,,
-26.580,647.654,,
-25.112,647.654,,
-24.254,647.725,,
-24.534,647.725,,
-24.348,647.725,,
-24.822,647.725,,
-24.605,647.739,,
-24.347,647.739,,
-25.004,647.739,,
-25.357,647.739,,
-26.492,647.755,,
-26.676,647.755,,
-26.234,647.755,,
-26.607,647.755,,
-26.552,647.706,,
-27.799,647.706,,
-29.288,647.706,,
-30.120,647.706,,
-31.140,647.734,,
-30.802,647.734,,
-30.748,647.734,,
-30.606,647.734,,
-29.503,647.674,,
-29.521,647.674,,
-29.179,647.674,,
-28.971,647.674,,
-29.228,647.394,,
-28.749,647.394,,
-29.591,647.394,,
-30.564,647.394,,
-31.394,647.291,,
-32.351,647.291,,
-31.886,647.291,,
-31.944,647.291,,
-31.806,647.239,,
-31.402,647.239,,
-31.781,647.239,,
-30.828,647.239,,
-29.813,647.191,,
-28.929,647.191,,
-27.618,647.191,,
-27.254,647.191,,
-26.109,647.205,,
-24.896,647.205,,
-24.103,647.205,,
-22.996,647.205,,
-23.063,647.223,,
-22.531,647.223,,
-21.848,647.223,,
-22.533,647.223,,
-23.130,647.327,,
-24.529,647.327,,
-25.184,647.327,,
-25.151,647.327,,
-26.048,647.366,,
-26.228,647.366,,
-26.660,647.366,,
-27.096,647.366,,
-26.481,647.468,,
-26.518,647.468,,
-25.756,647.468,,
-25.258,647.468,,
-25.350,647.493,,
-24.975,647.493,,
-25.938,647.493,,
-26.554,647.493,,
-26.767,647.522,,
-27.368,647.522,,
-27.263,647.522,,
-28.512,647.522,,
-30.154,647.572,,
-31.395,647.572,,
-33.267,647.572,,
-33.372,647.572,,
-33.258,647.576,,
-33.003,647.576,,
-31.839,647.576,,
-31.666,647.576,,
-30.921,647.575,,
-30.618,647.575,,
-30.503,647.575,,
-29.617,647.575,,
-29.773,647.565,,
-29.610,647.565,,
-29.250,647.565,,
-29.552,647.565,,
-28.740,647.637,,
-28.517,647.637,,
-27.786,647.637,,
-26.593,647.637,,
-26.452,647.700,,
-25.785,647.700,,
-25.939,647.700,,
-26.034,647.700,,
-25.189,647.725,,
-25.362,647.725,,
-25.283,647.725,,
-25.403,647.725,,
-25.880,647.600,,
-25.558,647.600,,
-26.284,647.600,,
-26.845,647.600,,
-27.466,647.593,,
-28.483,647.593,,
-28.403,647.593,,
-29.170,647.593,,
-29.666,647.469,,
-29.609,647.469,,
-29.970,647.469,,
-28.734,647.469,,
-27.954,647.280,,
-28.251,647.280,,
-28.178,647.280,,
-28.681,647.280,,
-27.895,647.186,,
-27.423,647.186,,
-27.111,647.186,,
-25.939,647.186,,
-26.098,647.056,,
-26.187,647.056,,
-26.466,647.056,,
-26.611,647.056,,
-25.631,647.088,,
-25.529,647.088,,
-24.808,647.088,,
-23.906,647.088,,
-24.778,647.173,,
-25.283,647.173,,
-25.796,647.173,,
-25.641,647.173,,
-24.673,647.241,,
-24.833,647.241,,
-24.417,647.241,,
-24.502,647.241,,
-24.894,647.262,,
-24.200,647.262,,
-24.650,647.262,,
-24.368,647.262,,
-24.568,647.333,,
-25.856,647.333,,
-25.736,647.333,,
-26.152,647.333,,
-26.077,647.461,,
-26.171,647.461,,
-27.507,647.461,,
-27.709,647.461,,
-28.537,647.508,,
-29.217,647.508,,
-28.897,647.508,,
-29.298,647.508,,
-28.863,647.514,,
-28.780,647.514,,
-29.161,647.514,,
-28.606,647.514,,
-29.087,647.523,,
-28.392,647.523,,
-27.342,647.523,,
-27.302,647.523,,
-26.781,647.574,,
-27.436,647.574,,
-27.561,647.574,,
-27.107,647.574,,
-27.169,647.600,,
-26.421,647.600,,
-26.794,647.600,,
-27.735,647.600,,
-27.854,647.614,,
-28.353,647.614,,
-27.701,647.614,,
-27.728,647.614,,
-28.541,647.622,,
-28.587,647.622,,
-29.243,647.622,,
-28.783,647.622,,
-28.591,647.709,,
-28.508,647.709,,
-27.315,647.709,,
-27.423,647.709,,
-27.652,647.722,,
-28.115,647.722,,
-29.577,647.722,,
-29.664,647.722,,
-29.856,647.660,,
-29.767,647.660,,
-29.293,647.660,,
-30.013,647.660,,
-29.694,647.615,,
-29.431,647.615,,
-29.286,647.615,,
-28.424,647.615,,
-28.473,647.396,,
-28.309,647.396,,
-29.093,647.396,,
-30.291,647.396,,
-30.151,647.264,,
-31.163,647.264,,
-31.927,647.264,,
-32.051,647.264,,
-32.357,647.206,,
-31.392,647.206,,
-30.878,647.206,,
-30.370,647.206,,
-29.341,647.082,,
-28.791,647.082,,
-27.031,647.082,,
-25.783,647.082,,
-25.297,647.067,,
-24.267,647.067,,
-24.162,647.067,,
-22.865,647.067,,
-21.625,647.184,,
-21.520,647.184,,
-20.835,647.184,,
-21.276,647.184,,
-21.330,647.271,,
-21.144,647.271,,
-21.853,647.271,,
-21.793,647.271,,
-22.393,647.262,,
-23.334,647.262,,
-24.035,647.262,,
-25.739,647.262,,
-26.011,647.264,,
-26.380,647.264,,
-26.797,647.264,,
-26.373,647.264,,
-27.415,647.381,,
-28.084,647.381,,
-28.795,647.381,,
-29.885,647.381,,
-30.183,647.444,,
-31.312,647.444,,
-31.759,647.444,,
-31.621,647.444,,
-31.950,647.454,,
-31.065,647.454,,
-30.747,647.454,,
-30.284,647.454,,
-29.347,647.438,,
-29.293,647.438,,
-28.507,647.438,,
-28.505,647.438,,
-28.819,647.447,,
-28.367,647.447,,
-28.672,647.447,,
-28.090,647.447,,
-27.671,647.478,,
-28.208,647.478,,
-28.151,647.478,,
-28.949,647.478,,
-28.667,647.524,,
-28.336,647.524,,
-29.128,647.524,,
-28.711,647.524,,
-28.910,647.544,,
-28.767,647.544,,
-28.136,647.544,,
-28.698,647.544,,
-28.609,647.557,,
-29.455,647.557,,
-31.007,647.557,,
-31.690,647.557,,
-33.206,647.627,,
-33.863,647.627,,
-33.868,647.627,,
-33.410,647.627,,
-31.591,647.559,,
-30.650,647.559,,
-29.575,647.559,,
-28.872,647.559,,
-29.219,647.561,,
-28.531,647.561,,
