RAW Data export file (comma separated)


Client:	John,Sample
Session:	David1 
Date:	24-07-2017
Time:	11:56:49
Duration:	334	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-25.852,875.049,,
-26.273,875.049,,
-26.511,875.049,,
-26.584,875.049,,
-26.242,874.878,,
-25.522,874.878,,
-25.128,874.878,,
-25.790,874.878,,
-27.209,874.792,,
-28.252,874.792,,
-29.243,874.792,,
-30.583,874.792,,
-32.207,874.580,,
-33.899,874.580,,
-35.547,874.580,,
-37.171,874.580,,
-38.499,874.451,,
-38.948,874.451,,
-39.625,874.451,,
-40.127,874.451,,
-40.122,874.266,,
-40.326,874.266,,
-40.575,874.266,,
-40.753,874.266,,
-40.227,874.011,,
-39.600,874.011,,
-39.297,874.011,,
-38.945,874.011,,
-38.967,874.063,,
-39.643,874.063,,
-40.455,874.063,,
-41.242,874.063,,
-41.489,874.065,,
-41.383,874.065,,
-40.962,874.065,,
-39.863,874.065,,
-38.865,874.104,,
-37.821,874.104,,
-36.382,874.104,,
-35.168,874.104,,
-33.858,874.174,,
-32.950,874.174,,
-32.218,874.174,,
-31.867,874.174,,
-32.341,874.128,,
-32.898,874.128,,
-33.352,874.128,,
-33.634,874.128,,
-33.834,874.180,,
-34.288,874.180,,
-34.674,874.180,,
-34.855,874.180,,
-35.245,874.308,,
-35.157,874.308,,
-34.760,874.308,,
-34.383,874.308,,
-34.063,874.425,,
-34.042,874.425,,
-33.542,874.425,,
-32.504,874.425,,
-31.623,874.782,,
-30.981,874.782,,
-30.641,874.782,,
-30.527,874.782,,
-31.130,874.970,,
-32.130,874.970,,
-33.267,874.970,,
-34.523,874.970,,
-35.416,874.781,,
-36.385,874.781,,
-37.398,874.781,,
-38.261,874.781,,
-38.932,874.826,,
-38.291,874.826,,
-35.972,874.826,,
-32.239,874.826,,
-26.443,875.010,,
-18.472,875.010,,
-8.061,875.010,,
4.585,875.010,,
17.869,875.430,,
31.328,875.430,,
43.830,875.430,,
54.445,875.430,,
62.395,876.192,,
67.631,876.192,,
70.581,876.192,,
71.226,876.192,,
69.457,876.854,,
66.033,876.854,,
60.941,876.854,,
54.763,876.854,,
47.950,877.568,,
40.494,877.568,,
32.563,877.568,,
24.029,877.568,,
16.121,878.403,,
9.346,878.403,,
3.439,878.403,,
-1.707,878.403,,
-6.444,879.099,,
-10.418,879.099,,
-14.170,879.099,,
-17.756,879.099,,
-20.802,879.842,,
-23.563,879.842,,
-25.635,879.842,,
-27.170,879.842,,
-29.230,880.838,,
-31.341,880.838,,
-33.336,880.838,,
-34.874,880.838,,
-35.205,881.818,,
-34.700,881.818,,
-33.963,881.818,,
-33.226,881.818,,
-32.809,882.798,,
-32.502,882.798,,
-31.758,882.798,,
-29.874,882.798,,
-27.977,883.707,,
-26.732,883.707,,
-25.408,883.707,,
-24.309,883.707,,
-23.224,884.710,,
-21.988,884.710,,
-21.688,884.710,,
-22.297,884.710,,
-22.695,885.805,,
-22.907,885.805,,
-22.902,885.805,,
-22.866,885.805,,
-23.170,886.762,,
-24.408,886.762,,
-25.990,886.762,,
-27.498,886.762,,
-29.206,887.673,,
-31.212,887.673,,
-33.151,887.673,,
-34.912,887.673,,
-36.358,888.494,,
-38.267,888.494,,
-40.104,888.494,,
-40.934,888.494,,
-41.277,889.377,,
-40.724,889.377,,
-39.766,889.377,,
-39.351,889.377,,
-39.198,890.304,,
-38.800,890.304,,
-37.934,890.304,,
-36.717,890.304,,
-35.599,891.109,,
-34.966,891.109,,
-34.974,891.109,,
-34.946,891.109,,
-34.704,891.915,,
-34.372,891.915,,
-34.251,891.915,,
-34.603,891.915,,
-34.966,892.740,,
-35.392,892.740,,
-36.086,892.740,,
-36.926,892.740,,
-38.330,893.510,,
-39.275,893.510,,
-39.223,893.510,,
-39.368,893.510,,
-39.159,894.380,,
-38.610,894.380,,
-38.320,894.380,,
-37.766,894.380,,
-37.704,895.183,,
-38.414,895.183,,
-39.249,895.183,,
-40.148,895.183,,
-40.335,895.795,,
-39.838,895.795,,
-38.858,895.795,,
-38.032,895.795,,
-37.426,896.467,,
-36.338,896.467,,
-34.912,896.467,,
-33.214,896.467,,
-31.664,897.160,,
-31.089,897.160,,
-30.759,897.160,,
-31.044,897.160,,
-31.290,897.986,,
-31.433,897.986,,
-31.824,897.986,,
-32.372,897.986,,
-32.608,898.979,,
-32.724,898.979,,
-32.726,898.979,,
-32.881,898.979,,
-33.502,899.320,,
-33.968,899.320,,
-34.033,899.320,,
-33.564,899.320,,
-33.410,899.293,,
-33.948,899.293,,
-34.502,899.293,,
-35.411,899.293,,
-36.138,899.059,,
-36.291,899.059,,
-35.973,899.059,,
-35.329,899.059,,
-33.674,898.850,,
-30.243,898.850,,
-25.252,898.850,,
-17.804,898.850,,
-7.622,898.559,,
4.161,898.559,,
16.152,898.559,,
27.856,898.559,,
38.435,898.088,,
47.723,898.088,,
55.815,898.088,,
62.155,898.088,,
65.959,897.583,,
67.079,897.583,,
66.344,897.583,,
63.688,897.583,,
59.247,897.025,,
53.154,897.025,,
45.540,897.025,,
37.843,897.025,,
30.179,896.404,,
22.072,896.404,,
14.666,896.404,,
7.590,896.404,,
1.206,895.894,,
-4.353,895.894,,
-9.495,895.894,,
-13.786,895.894,,
-17.322,895.405,,
-20.674,895.405,,
-23.789,895.405,,
-26.912,895.405,,
-29.227,894.961,,
-31.805,894.961,,
-34.450,894.961,,
-36.484,894.961,,
-37.858,894.559,,
-38.221,894.559,,
-38.054,894.559,,
-37.844,894.559,,
-37.324,893.957,,
-36.782,893.957,,
-35.992,893.957,,
-34.818,893.957,,
-33.061,893.409,,
-30.458,893.409,,
-27.457,893.409,,
-24.450,893.409,,
-21.748,892.774,,
-20.220,892.774,,
-19.476,892.774,,
-19.444,892.774,,
-19.189,892.052,,
-19.038,892.052,,
-19.911,892.052,,
-21.403,892.052,,
-22.884,891.372,,
-24.156,891.372,,
-25.433,891.372,,
-27.121,891.372,,
-29.096,890.562,,
-30.818,890.562,,
-33.219,890.562,,
-35.459,890.562,,
-37.348,889.823,,
-38.582,889.823,,
-38.526,889.823,,
-37.787,889.823,,
-37.330,889.193,,
-37.443,889.193,,
-37.704,889.193,,
-37.708,889.193,,
-37.968,888.488,,
-38.265,888.488,,
-37.542,888.488,,
-36.343,888.488,,
-35.129,887.829,,
-34.543,887.829,,
-34.243,887.829,,
-34.231,887.829,,
-34.566,887.150,,
-34.795,887.150,,
-35.026,887.150,,
-34.908,887.150,,
-34.870,886.424,,
-35.385,886.424,,
-35.751,886.424,,
-36.142,886.424,,
-36.423,885.855,,
-36.315,885.855,,
-35.960,885.855,,
-35.353,885.855,,
-35.099,885.186,,
-34.899,885.186,,
-34.069,885.186,,
-33.254,885.186,,
-32.776,884.528,,
-32.444,884.528,,
-32.467,884.528,,
-31.789,884.528,,
-30.890,883.931,,
-30.256,883.931,,
-29.252,883.931,,
-28.874,883.931,,
-29.330,883.177,,
-29.974,883.177,,
-30.276,883.177,,
-30.668,883.177,,
-31.944,882.646,,
-33.614,882.646,,
-35.654,882.646,,
-37.717,882.646,,
-39.317,882.098,,
-40.660,882.098,,
-41.533,882.098,,
-41.758,882.098,,
-42.322,881.718,,
-42.366,881.718,,
-42.557,881.718,,
-43.110,881.718,,
-43.163,881.492,,
-43.108,881.492,,
-43.013,881.492,,
-42.632,881.492,,
-41.190,880.649,,
-39.774,880.649,,
