Data recorded on Mon Jul 24 12-02-54 CAT 2017
Time: 12:3:1
Time		Millis		bpm		Period		SpO2
3,10	,	16944	,	72	,	1023	,	99.61424
3,10	,	17840	,	69	,	896	,	98.218056
3,11	,	18784	,	66	,	944	,	96.87659
3,12	,	19760	,	66	,	976	,	96.60644
3,13	,	20719	,	65	,	959	,	97.51349
3,14	,	21631	,	64	,	912	,	99.44604
3,15	,	22574	,	64	,	943	,	99.85599
3,16	,	23534	,	63	,	960	,	99.631935
3,17	,	24541	,	62	,	1007	,	99.64822
3,18	,	25469	,	62	,	928	,	99.50347
3,19	,	26445	,	63	,	976	,	99.852295
3,20	,	27452	,	62	,	1007	,	100.06772
3,21	,	28396	,	62	,	944	,	100.055984
3,22	,	29388	,	62	,	992	,	100.48854
3,23	,	30363	,	62	,	975	,	100.808876
3,24	,	31355	,	61	,	992	,	100.599846
3,25	,	32346	,	61	,	991	,	100.75412
3,26	,	33354	,	61	,	1008	,	100.446144
3,27	,	34313	,	61	,	959	,	99.992905
3,28	,	35321	,	60	,	1008	,	100.08535
3,29	,	36329	,	60	,	1008	,	100.180916
3,30	,	37289	,	61	,	960	,	99.93019
3,30	,	38216	,	61	,	927	,	100.14802
3,31	,	39176	,	61	,	960	,	100.02873
3,32	,	40120	,	61	,	944	,	99.72232
3,33	,	41095	,	61	,	975	,	99.62463
3,34	,	42071	,	61	,	976	,	99.672
3,35	,	43046	,	61	,	975	,	99.84823
3,36	,	44070	,	61	,	1024	,	100.0506
3,37	,	45046	,	61	,	976	,	100.00873
3,38	,	46053	,	61	,	1007	,	100.13121
3,39	,	47061	,	61	,	1008	,	100.67458
3,40	,	48068	,	60	,	1007	,	100.43616
3,41	,	49076	,	60	,	1008	,	100.56689
3,42	,	50035	,	60	,	959	,	100.57758
3,43	,	51027	,	60	,	992	,	100.61974
3,44	,	51987	,	60	,	960	,	100.318245
3,45	,	52899	,	60	,	912	,	100.32652
3,46	,	53858	,	61	,	959	,	100.39319
3,47	,	54802	,	61	,	944	,	100.357445
3,48	,	55745	,	61	,	943	,	99.655495
3,49	,	56673	,	62	,	928	,	99.713615
3,50	,	57648	,	62	,	975	,	99.914635
3,51	,	58640	,	62	,	992	,	99.90601
3,52	,	59552	,	63	,	912	,	100.04592
3,53	,	60527	,	63	,	975	,	100.07614
3,54	,	61503	,	63	,	976	,	100.10908
3,55	,	62511	,	62	,	1008	,	99.92763
3,56	,	63486	,	62	,	975	,	100.29196
3,57	,	64414	,	62	,	928	,	100.52458
3,58	,	65358	,	62	,	944	,	101.234604
3,59	,	66349	,	62	,	991	,	101.05579
4,0	,	67293	,	62	,	944	,	101.120384
4,0	,	68252	,	62	,	959	,	101.350365
4,1	,	69196	,	62	,	944	,	101.68663
4,2	,	70155	,	62	,	959	,	101.521324
4,3	,	71147	,	62	,	992	,	101.72161
4,4	,	72107	,	62	,	960	,	101.91886
4,5	,	73082	,	62	,	975	,	101.82018
4,6	,	74026	,	62	,	944	,	101.82823
4,7	,	75018	,	62	,	992	,	101.673706
4,8	,	75977	,	62	,	959	,	101.826256
4,9	,	76969	,	62	,	992	,	101.62919
