Data recorded on Mon Jul 24 12-17-50 CAT 2017
Time: 12:17:57
Time		Millis		IR PPG		Red PPG		Filtered		SSF
18,6	,	56112	,	-24866	,	-23171	,	-8.135209	,	0
18,6	,	56144	,	-24866	,	-23165	,	-5.5608783	,	0
18,6	,	56160	,	-24838	,	-23166	,	-0.94769	,	2
18,6	,	56176	,	-24859	,	-23169	,	5.16081	,	6
18,6	,	56208	,	-24857	,	-23157	,	11.799102	,	12
18,6	,	56224	,	-24857	,	-23157	,	17.691107	,	18
18,6	,	56240	,	-24867	,	-23153	,	21.833624	,	23
18,6	,	56272	,	-24853	,	-23157	,	23.748291	,	27
18,6	,	56288	,	-24859	,	-23165	,	23.515495	,	28
18,6	,	56320	,	-24843	,	-23172	,	21.6594	,	28
18,6	,	56336	,	-24837	,	-23147	,	18.951126	,	28
18,6	,	56352	,	-24851	,	-23162	,	16.11216	,	26
18,6	,	56384	,	-24858	,	-23159	,	13.402406	,	22
18,6	,	56400	,	-24828	,	-23153	,	10.819368	,	16
18,6	,	56416	,	-24841	,	-23157	,	8.607498	,	10
18,6	,	56448	,	-24847	,	-23154	,	6.99334	,	5
18,6	,	56464	,	-24845	,	-23158	,	5.813715	,	1
18,6	,	56480	,	-24827	,	-23156	,	4.887129	,	0
18,6	,	56512	,	-24840	,	-23147	,	4.2889996	,	0
18,6	,	56528	,	-24847	,	-23152	,	3.9989882	,	0
18,6	,	56560	,	-24847	,	-23173	,	3.7110672	,	0
18,6	,	56576	,	-24847	,	-23129	,	3.148988	,	0
18,6	,	56592	,	-24855	,	-23167	,	2.2441452	,	0
18,6	,	56624	,	-24853	,	-23155	,	1.0226614	,	0
18,6	,	56640	,	-24870	,	-23163	,	-0.49075496	,	0
18,6	,	56656	,	-24857	,	-23162	,	-2.2598171	,	0
18,6	,	56688	,	-24860	,	-23163	,	-4.08744	,	0
18,6	,	56704	,	-24853	,	-23174	,	-5.6061263	,	0
18,6	,	56736	,	-24862	,	-23173	,	-6.527037	,	0
18,6	,	56752	,	-24880	,	-23166	,	-6.9074335	,	0
18,6	,	56768	,	-24884	,	-23172	,	-7.176077	,	0
18,6	,	56800	,	-24870	,	-23169	,	-7.6863866	,	0
18,6	,	56816	,	-24870	,	-23168	,	-8.303127	,	0
18,6	,	56832	,	-24867	,	-23168	,	-8.619852	,	0
18,6	,	56864	,	-24850	,	-23164	,	-8.277351	,	0
18,6	,	56880	,	-24878	,	-23166	,	-7.1259146	,	0
18,6	,	56911	,	-24844	,	-23163	,	-5.336057	,	1
18,6	,	56927	,	-24834	,	-23162	,	-3.0222895	,	2
18,6	,	56944	,	-24841	,	-23145	,	-0.07896876	,	4
18,6	,	56976	,	-24815	,	-23145	,	3.434486	,	6
18,6	,	56992	,	-24799	,	-23140	,	7.4067984	,	9
18,6	,	57008	,	-24811	,	-23147	,	11.765424	,	12
18,6	,	57040	,	-24810	,	-23135	,	16.065449	,	16
18,6	,	57056	,	-24816	,	-23131	,	19.535578	,	20
18,6	,	57072	,	-24802	,	-23133	,	21.593596	,	23
18,6	,	57103	,	-24808	,	-23130	,	22.123604	,	24
18,6	,	57120	,	-24808	,	-23126	,	21.31184	,	23
18,7	,	57152	,	-24811	,	-23125	,	19.394554	,	21
18,7	,	57168	,	-24808	,	-23134	,	16.64455	,	19
18,7	,	57184	,	-24796	,	-23120	,	13.473042	,	16
18,7	,	57216	,	-24792	,	-23130	,	10.440571	,	13
18,7	,	57232	,	-24803	,	-23126	,	7.999521	,	9
18,7	,	57247	,	-24791	,	-23140	,	6.258129	,	5
18,7	,	57279	,	-24802	,	-23107	,	5.1113777	,	2
18,7	,	57296	,	-24793	,	-23130	,	4.3939075	,	0
18,7	,	57328	,	-24802	,	-23134	,	3.916289	,	0
18,7	,	57344	,	-24806	,	-23129	,	3.4688406	,	0
18,7	,	57360	,	-24805	,	-23124	,	2.8414347	,	0
18,7	,	57392	,	-24806	,	-23139	,	1.9582386	,	0
18,7	,	57408	,	-24815	,	-23132	,	0.8677943	,	0
18,7	,	57424	,	-24815	,	-23137	,	-0.40918255	,	0
18,7	,	57455	,	-24824	,	-23139	,	-1.8811522	,	0
18,7	,	57471	,	-24815	,	-23131	,	-3.4799042	,	0
18,7	,	57488	,	-24809	,	-23136	,	-4.946597	,	0
18,7	,	57519	,	-24819	,	-23127	,	-5.9379783	,	0
18,7	,	57535	,	-24821	,	-23143	,	-6.3503804	,	0
18,7	,	57567	,	-24833	,	-23137	,	-6.400416	,	0
18,7	,	57583	,	-24823	,	-23137	,	-6.3767223	,	0
18,7	,	57600	,	-24825	,	-23143	,	-6.366754	,	0
18,7	,	57632	,	-24844	,	-23137	,	-6.3578725	,	0
18,7	,	57647	,	-24825	,	-23137	,	-6.438301	,	0
18,7	,	57663	,	-24835	,	-23148	,	-6.5925035	,	0
18,7	,	57696	,	-24848	,	-23145	,	-6.728251	,	0
18,7	,	57712	,	-24841	,	-23160	,	-6.9232197	,	0
18,7	,	57743	,	-24839	,	-23132	,	-7.2007055	,	0
18,7	,	57760	,	-24847	,	-23146	,	-7.403804	,	0
18,7	,	57776	,	-24812	,	-23143	,	-7.286723	,	0
18,7	,	57807	,	-24800	,	-23144	,	-6.3482046	,	0
18,7	,	57823	,	-24788	,	-23135	,	-3.989195	,	0
18,7	,	57839	,	-24789	,	-23137	,	-0.0641737	,	2
18,7	,	57871	,	-24787	,	-23136	,	4.939661	,	5
18,7	,	57887	,	-24778	,	-23128	,	10.209605	,	10
18,7	,	57919	,	-24776	,	-23124	,	15.016259	,	15
18,7	,	57935	,	-24792	,	-23124	,	18.784575	,	19
18,7	,	57951	,	-24784	,	-23144	,	20.998772	,	22
18,7	,	57983	,	-24786	,	-23107	,	21.403223	,	24
18,7	,	58000	,	-24772	,	-23120	,	20.217361	,	24
18,7	,	58016	,	-24780	,	-23116	,	17.994587	,	24
18,7	,	58047	,	-24768	,	-23121	,	15.3132715	,	22
18,7	,	58063	,	-24770	,	-23121	,	12.638588	,	19
18,7	,	58095	,	-24770	,	-23114	,	10.28832	,	14
18,7	,	58111	,	-24766	,	-23121	,	8.390135	,	9
18,7	,	58127	,	-24759	,	-23112	,	6.9896884	,	5
