Data recorded on Mon Jul 24 12-23-40 CAT 2017
Time: 12:23:56
Time		Millis		bpm		Period		SpO2
24,5	,	34857	,	75	,	896	,	98.083694
24,5	,	35704	,	74	,	847	,	98.50865
24,6	,	36568	,	73	,	864	,	98.66118
24,7	,	37464	,	72	,	896	,	99.275665
24,8	,	38391	,	71	,	927	,	99.47803
24,9	,	39222	,	71	,	831	,	100.148254
24,9	,	40055	,	70	,	833	,	100.39108
24,10	,	40950	,	69	,	895	,	100.650665
24,11	,	41862	,	68	,	912	,	100.7337
24,12	,	42757	,	68	,	895	,	100.6918
24,13	,	43589	,	68	,	832	,	100.30177
24,14	,	44357	,	69	,	768	,	100.22568
24,15	,	45188	,	69	,	831	,	100.135185
24,15	,	46004	,	70	,	816	,	99.98692
24,16	,	46900	,	70	,	896	,	99.860245
24,17	,	47748	,	70	,	848	,	99.76098
24,18	,	48547	,	70	,	799	,	99.26756
24,19	,	49347	,	71	,	800	,	99.34235
24,20	,	50210	,	71	,	863	,	99.51363
24,20	,	51106	,	71	,	896	,	99.63812
24,21	,	52002	,	71	,	896	,	100.16646
24,22	,	52850	,	70	,	848	,	99.959656
24,23	,	53713	,	70	,	863	,	100.068146
24,24	,	54593	,	69	,	880	,	100.16618
24,25	,	55440	,	70	,	847	,	100.240585
24,26	,	56320	,	70	,	880	,	100.278076
24,27	,	57168	,	69	,	848	,	100.15394
24,27	,	57936	,	69	,	768	,	100.23887
24,28	,	58767	,	70	,	831	,	100.311844
24,29	,	59663	,	70	,	896	,	100.04795
24,30	,	60591	,	69	,	928	,	100.03102
24,31	,	61486	,	69	,	895	,	100.19945
24,32	,	62318	,	69	,	832	,	100.113686
24,33	,	63150	,	70	,	832	,	100.02228
24,33	,	64045	,	69	,	895	,	100.149925
24,34	,	64925	,	69	,	880	,	100.31547
24,35	,	65869	,	68	,	944	,	100.56027
24,36	,	66700	,	68	,	831	,	100.10698
24,37	,	67500	,	68	,	800	,	99.70606
24,38	,	68315	,	69	,	815	,	99.852905
24,39	,	69147	,	70	,	832	,	100.18639
24,39	,	69995	,	70	,	848	,	100.31417
24,40	,	70907	,	69	,	912	,	100.55621
24,41	,	71834	,	69	,	927	,	100.48358
24,42	,	72634	,	69	,	800	,	100.326866
24,43	,	73417	,	70	,	783	,	100.23638
24,44	,	74265	,	71	,	848	,	100.09682
24,44	,	75097	,	71	,	832	,	100.42909
24,45	,	75977	,	70	,	880	,	100.89296
24,46	,	76904	,	69	,	927	,	101.04918
24,47	,	77768	,	69	,	864	,	100.96335
24,48	,	78584	,	69	,	816	,	101.00607
24,49	,	79351	,	71	,	767	,	101.05829
24,50	,	80167	,	72	,	816	,	100.86894
24,50	,	80967	,	72	,	800	,	100.988846
24,51	,	81846	,	71	,	879	,	101.02994
24,52	,	82774	,	70	,	928	,	101.28635
24,53	,	83622	,	70	,	848	,	100.72649
24,54	,	84437	,	70	,	815	,	98.833855
24,55	,	85333	,	71	,	896	,	98.80065
24,56	,	86213	,	71	,	880	,	98.787346
24,56	,	87124	,	70	,	911	,	98.71566
24,57	,	88052	,	68	,	928	,	99.063614
24,58	,	88884	,	68	,	832	,	99.3712
24,59	,	89667	,	68	,	783	,	99.325645
25,0	,	90499	,	69	,	832	,	99.36514
25,1	,	91347	,	70	,	848	,	99.24226
25,2	,	92243	,	69	,	896	,	100.28114
25,2	,	93058	,	69	,	815	,	101.860146
25,3	,	93906	,	70	,	848	,	101.47047
25,4	,	94657	,	71	,	751	,	101.23078
