Data recorded on Mon Jul 24 12-23-40 CAT 2017
Time: 12:23:56
Time		Millis		objTemp		dieTemp		sensorVoltage
24,5	,	33781	,	38.12	,	33.38	,	124.0
24,7	,	37795	,	38.12	,	33.38	,	125.0
24,11	,	41810	,	38.13	,	33.41	,	122.0
24,15	,	45824	,	38.12	,	33.41	,	124.0
24,19	,	49839	,	38.15	,	33.41	,	124.0
24,23	,	53853	,	38.15	,	33.41	,	124.0
24,27	,	57868	,	38.15	,	33.41	,	124.0
24,31	,	61882	,	38.13	,	33.41	,	123.0
24,35	,	65897	,	38.15	,	33.41	,	124.0
24,39	,	69911	,	38.18	,	33.44	,	124.0
24,43	,	73925	,	38.17	,	33.44	,	123.0
24,47	,	77940	,	38.19	,	33.44	,	125.0
24,51	,	81955	,	38.15	,	33.44	,	122.0
24,55	,	85969	,	38.21	,	33.44	,	126.0
24,59	,	89983	,	38.21	,	33.44	,	126.0
25,3	,	93998	,	38.14	,	33.44	,	121.0
