RAW Data export file (comma separated)


Client:	John,Sample
Session:	Dean3 
Date:	24-07-2017
Time:	12:26:34
Duration:	168	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-24.855,891.605,,
-25.060,891.605,,
-24.485,891.605,,
-25.405,891.605,,
-24.716,893.307,,
-24.573,893.307,,
-25.115,893.307,,
-24.613,893.307,,
-26.072,893.070,,
-26.135,893.070,,
-25.783,893.070,,
-26.136,893.070,,
-25.259,892.808,,
-26.124,892.808,,
-26.255,892.808,,
-25.947,892.808,,
-26.729,892.593,,
-26.089,892.593,,
-26.662,892.593,,
-26.975,892.593,,
-26.392,892.324,,
-27.414,892.324,,
-26.869,892.324,,
-26.826,892.324,,
-26.920,891.984,,
-25.565,891.984,,
-26.301,891.984,,
-26.239,891.984,,
-26.342,891.608,,
-26.956,891.608,,
-25.989,891.608,,
-26.934,891.608,,
-27.143,891.282,,
-26.942,891.282,,
-27.425,891.282,,
-26.091,891.282,,
-26.490,891.016,,
-26.612,891.016,,
-25.848,891.016,,
-26.635,891.016,,
-25.993,890.677,,
-26.468,890.677,,
-26.965,890.677,,
-26.122,890.677,,
-26.888,890.427,,
-26.450,890.427,,
-26.841,890.427,,
-27.917,890.427,,
-27.330,890.046,,
-27.905,890.046,,
-27.301,890.046,,
-26.817,890.046,,
-27.461,889.579,,
-26.475,889.579,,
-26.857,889.579,,
-26.753,889.579,,
-26.417,889.048,,
-27.280,889.048,,
-26.406,889.048,,
-26.562,889.048,,
-26.193,888.542,,
-24.854,888.542,,
-25.181,888.542,,
-24.215,888.542,,
-23.911,888.194,,
-24.160,888.194,,
-23.338,888.194,,
-24.266,888.194,,
-24.061,887.943,,
-23.957,887.943,,
-24.970,887.943,,
-24.607,887.943,,
-25.544,887.742,,
-25.296,887.742,,
-24.734,887.742,,
-25.350,887.742,,
-24.267,887.620,,
-24.464,887.620,,
-24.600,887.620,,
-23.971,887.620,,
-24.826,887.596,,
-24.281,887.596,,
-24.505,887.596,,
-24.790,887.596,,
-24.040,887.519,,
-25.341,887.519,,
-25.427,887.519,,
-25.734,887.519,,
-26.267,887.375,,
-25.353,887.375,,
-26.560,887.375,,
-26.846,887.375,,
-26.656,887.286,,
-27.071,887.286,,
-25.829,887.286,,
-26.190,887.286,,
-26.088,887.228,,
-25.192,887.228,,
-25.844,887.228,,
-24.997,887.228,,
-25.381,887.174,,
-25.468,887.174,,
-24.319,887.174,,
-24.990,887.174,,
-24.474,887.136,,
-24.755,887.136,,
-25.286,887.136,,
-23.861,887.136,,
-23.836,887.135,,
-23.070,887.135,,
-22.937,887.135,,
-24.017,887.135,,
-23.464,887.077,,
-24.358,887.077,,
-24.632,887.077,,
-24.342,887.077,,
-25.504,887.042,,
-25.149,887.042,,
-25.932,887.042,,
-26.420,887.042,,
-25.765,887.021,,
-26.775,887.021,,
-26.667,887.021,,
-27.325,887.021,,
-28.004,887.022,,
-27.337,887.022,,
-28.105,887.022,,
-27.470,887.022,,
-27.069,887.026,,
-27.828,887.026,,
-27.285,887.026,,
-28.069,887.026,,
-27.379,887.026,,
-26.518,887.026,,
-27.097,887.026,,
-26.176,887.026,,
-26.697,886.988,,
-26.650,886.988,,
-25.980,886.988,,
-26.862,886.988,,
-26.199,886.973,,
-26.456,886.973,,
-26.848,886.973,,
-25.886,886.973,,
-26.443,887.007,,
-25.377,887.007,,
-24.848,887.007,,
-25.185,887.007,,
-24.421,886.988,,
-25.636,886.988,,
-25.439,886.988,,
-25.094,886.988,,
-25.839,887.016,,
-25.524,887.016,,
-26.881,887.016,,
-27.368,887.016,,
-27.022,887.060,,
-27.825,887.060,,
-27.007,887.060,,
-27.096,887.060,,
-26.995,886.960,,
-25.807,886.960,,
-26.366,886.960,,
-25.815,886.960,,
-26.081,886.764,,
-26.549,886.764,,
-25.539,886.764,,
-26.266,886.764,,
-25.884,886.505,,
-25.669,886.505,,
-26.076,886.505,,
-24.711,886.505,,
-24.857,886.368,,
-24.323,886.368,,
-23.338,886.368,,
-23.636,886.368,,
-22.421,886.322,,
-22.586,886.322,,
-22.704,886.322,,
-22.197,886.322,,
-23.347,886.379,,
-23.088,886.379,,
-23.887,886.379,,
-25.035,886.379,,
-24.933,886.512,,
-26.185,886.512,,
-25.891,886.512,,
-26.067,886.512,,
-27.109,886.747,,
-26.366,886.747,,
-26.877,886.747,,
-26.078,886.747,,
-25.354,887.055,,
-26.178,887.055,,
-25.552,887.055,,
-26.223,887.055,,
-26.041,887.424,,
-25.472,887.424,,
-26.635,887.424,,
-26.058,887.424,,
-26.232,887.783,,
-26.468,887.783,,
-25.694,887.783,,
-26.351,887.783,,
-25.341,888.232,,
-24.719,888.232,,
-24.981,888.232,,
-24.220,888.232,,
-25.302,888.814,,
-25.225,888.814,,
-25.219,888.814,,
-26.045,888.814,,
-25.260,889.424,,
-25.968,889.424,,
-25.914,889.424,,
-25.282,889.424,,
-26.018,890.155,,
-25.253,890.155,,
-25.455,890.155,,
-25.345,890.155,,
-24.319,890.987,,
-25.162,890.987,,
-24.849,890.987,,
-25.159,890.987,,
-25.588,891.844,,
-24.763,891.844,,
-25.740,891.844,,
-25.474,891.844,,
-25.429,892.727,,
-26.128,892.727,,
-25.243,892.727,,
-26.150,892.727,,
-26.348,893.732,,
-26.051,893.732,,
-26.737,893.732,,
-25.710,893.732,,
-26.159,894.819,,
-26.323,894.819,,
-25.589,894.819,,
-26.488,894.819,,
-25.984,895.860,,
-26.572,895.860,,
-27.076,895.860,,
-26.101,895.860,,
-26.633,896.924,,
-25.911,896.924,,
-25.899,896.924,,
-26.641,896.924,,
-25.885,897.956,,
-26.368,897.956,,
-25.921,897.956,,
-25.645,897.956,,
-26.756,898.979,,
-26.105,898.979,,
-26.789,898.979,,
-26.859,898.979,,
-26.456,899.988,,
-27.621,899.988,,
-27.095,899.988,,
-27.140,899.988,,
-26.846,900.919,,
-25.536,900.919,,
-25.674,900.919,,
-24.478,900.919,,
-24.445,901.868,,
-25.596,901.868,,
-25.718,901.868,,
-27.291,901.868,,
-26.859,902.856,,
-25.923,902.856,,
-25.937,902.856,,
-24.582,902.856,,
-25.048,903.622,,
-24.936,903.622,,
-24.542,903.622,,
-25.504,903.622,,
-24.908,904.249,,
-25.639,904.249,,
-26.077,904.249,,
-25.554,904.249,,
-26.752,904.846,,
-26.106,904.846,,
-25.939,904.846,,
-26.011,904.846,,
-25.115,905.468,,
-26.468,905.468,,
-26.346,905.468,,
-26.272,905.468,,
-26.696,906.212,,
-25.372,906.212,,
-25.497,906.212,,
-24.487,906.212,,
-23.404,907.027,,
-23.716,907.027,,
-22.638,907.027,,
-23.225,907.027,,
-23.357,907.836,,
-22.716,907.836,,
-23.765,907.836,,
-23.504,907.836,,
-24.441,908.777,,
-25.218,908.777,,
-24.772,908.777,,
-25.922,908.777,,
-25.738,909.752,,
-26.186,909.752,,
-27.112,909.752,,
-26.469,909.752,,
-27.257,910.685,,
-27.025,910.685,,
-26.940,910.685,,
-27.870,910.685,,
-27.020,911.517,,
-27.362,911.517,,
-27.025,911.517,,
-26.332,911.517,,
-27.063,912.369,,
-26.173,912.369,,
-26.475,912.369,,
-26.567,912.369,,
-25.659,913.219,,
-26.112,913.219,,
-24.604,913.219,,
-23.825,913.219,,
-23.934,914.110,,
-22.917,914.110,,
-23.514,914.110,,
-22.719,914.110,,
-22.303,915.023,,
-23.074,915.023,,
